id,nom,sexe,naissance,race,pays,info,infoyear
SHpmdDVUam5PNDMyOTJuWDJBVUFidz09,GOLDEN HORN,,0,,,golden horn gb m.ps. 3 a.,2015
d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,FLINTSHIRE,M,2010,PS,GB,flintshire gb m.ps. 5 a.,2015
bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09,NEW BAY,M,2012,PS,GB,new bay gb m.ps. 3 a.,2015
d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09,TREVE,F,2010,PS,FR,treve  f.ps. 5 a.,2015
ajVkellKNDFIQnFMQVVmVzVnSmt6dz09,ERUPT,M,2012,PS,IRE,erupt (ire) m.ps. 3 a.,2015
SGJDenBYdWpaWXFERUJ6eWRBU1lNUT09,FREE EAGLE,M,2011,PS,IRE,free eagle ire m.ps. 4 a.,2015
T0FSOXFzQ0VpbVNickZvcm15c0FvQT09,PRINCE GIBRALTAR,M,2011,PS,FR,prince gibraltar  m.ps. 4 a.,2015
aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09,SILJAN'S SAGA,F,2010,PS,FR,siljan's saga  f.ps. 5 a.,2015
RjBiUHlWMCs1OFJJb3NOd09HdytWdz09,FOUND,F,2012,PS,IRE,found ire f.ps. 3 a.,2015
eElISExrSmJ5bTJud3BsV0hIa09xdz09,SILVERWAVE,M,2012,PS,FR,silverwave  m.ps. 3 a.,2015
Y29qVCtTMmJzQXhZYzdvR1A5aVpUQT09,MANATEE,M,2011,PS,GB,manatee gb m.ps. 4 a.,2015
WERKQUcxZHlmWnphSys3SjB4bXJSZz09,SPIRITJIM,M,2010,PS,FR,spiritjim  m.ps. 5 a.,2015
WWRNU2l1QUQ4YktjMkZQUFBJRysrdz09,DOLNIYA,F,2011,PS,FR,dolniya  f.ps. 4 a.,2015
U3ErcmtqUjhsRDdPS0FheXdpNlBVQT09,FRINE,F,2010,PS,IRE,frine ire f.ps. 5 a.,2015
Y1puWTl6ZGpLY2Fvd3UyTmMwQVhlZz09,EAGLE TOP,M,2011,PS,GB,eagle top gb m.ps. 4 a.,2015
a3ZsWE50QllNQ2p2M1hxM2pUQ2d2QT09,TAPESTRY,F,2011,PS,IRE,tapestry ire f.ps. 4 a.,2015
ZkZBbmwrWCt6TklKTHgzOCs5bnd5Zz09,SHAHAH,F,2012,PS,GB,shahah gb f.ps. 3 a.,2015
SCtLRU5VVkVkK1ZGMjVBamZTWTZFUT09,MELEAGROS,M,2009,PS,IRE,MELEAGROS,2015
c2hTVHkvbXJ6clRTR3UwTlZMRDJOUT09,DYLAN THOMAS,,0,,,dylan thomas ire m.ps. 4 a.,2007
NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09,YOUMZAIN,M,2003,PS,IRE,youmzain ire m.ps. 4 a.,2007
QU9BR0xQQzRVK3BVSjBVS0tHaWVZUT09,SAGARA,,0,,,sagara usa m.ps. 3 a.,2007
OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09,GETAWAY,M,2003,PS,GER,getaway ger m.ps. 4 a.,2007
TlVwdUJtc1N6SEFGZk1aTThYYVRGdz09,SOLDIER OF FORTUNE,M,2004,PS,IRE,soldier of fortune ire m.ps. 3 a.,2007
cHFPQXFzVytvaGpaTXN5WTN2WjRTdz09,SADDEX,,0,,,saddex (gb) m.ps. 4 a.,2007
c2l4MEFnMXRsRHkvRnJLeVk2dXNCQT09,MANDESHA,,0,,,mandesha  f.ps. 4 a.,2007
L1Z1bVhvZ3VMNlQ5eDdOYVJVRXU2dz09,ZAMBEZI SUN,M,2004,PS,GB,zambezi sun gb m.ps. 3 a.,2007
Mks0bm96Y3ZwNyt2SUp4WE45V1l2Zz09,DRAGON DANCER,,0,,,dragon dancer gb m.ps. 4 a.,2007
MGVYS2YwbTVFUHpuMmlSejNvOUNYQT09,AUTHORIZED,,0,,,authorized ire m.ps. 3 a.,2007
OUFyT1lLKzMxNVBUVG5oSk4xME9JUT09,SONG OF HIAWATHA,,0,,,SONG OF HIAWATHA GB M.PS. 3 a.,2007
QkdLOENhdzBPbllkcm50WWtyVW13Zz09,YELLOWSTONE,,0,,,yellowstone ire m.ps. 3 a.,2007
QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09,HIGHLAND REEL,M,2012,PS,IRE,highland reel ire m.ps. 4 a.,2016
SXFsNEYvUmtRVERCV2RSeE93Skl6UT09,ORDER OF ST GEORGE,M,2012,PS,IRE,order of st george ire m.ps. 4 a.,2016
N3labVdLZXlaZHA2YVhtb2RrUmFidz09,POSTPONED,M,2011,PS,IRE,postponed ire m.ps. 5 a.,2016
RWR5RWt3QWVRWFdnRitibDhxbGh0UT09,ONE FOOT IN HEAVEN,H,2012,PS,IRE,one foot in heaven (ire) h.ps. 4 a.,2016
bDZjOTYzdnkvRUliV3dyKzYzMDZZZz09,SAVOIR VIVRE,M,2013,PS,IRE,savoir vivre ire m.ps. 3 a.,2016
ZlVKV1p1aVFreVFka3pCOWVHc3Jsdz09,HARZAND,M,2013,PS,IRE,harzand ire m.ps. 3 a.,2016
TnQrMC85ZWdnMFJtZ0ZRbEZyLzJUQT09,VEDEVANI,M,2013,PS,FR,vedevani  m.ps. 3 a.,2016
Z2I5elZrWUt2dW1KQ0lvb2lvVFhTdz09,TALISMANIC,M,2013,PS,GB,talismanic gb m.ps. 3 a.,2016
czU4dVB6aEQxV01OeGNYMFpuaW11Zz09,LEFT HAND,F,2013,PS,GB,left hand (gb) f.ps. 3 a.,2016
eGFJU09vRmZhSTNoWmhCam95UkNWUT09,MAKAHIKI,M,2013,PS,JPN,makahiki jpn m.ps. 3 a.,2016
Rk1Hd2ZZNXgza0VvaHg5S01kZjBkUT09,MIGWAR,,0,,,migwar (ire) m.ps. 4 a.,2016
eGEzek1uazFKVHQvbHIvWTJPMzlRUT09,THE GREY GATSBY,M,2011,PS,IRE,the grey gatsby (ire) m.ps. 5 a.,2016
cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09,ENABLE,F,2014,PS,GB,enable gb f.ps. 3 a.,2017
c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09,CLOTH OF STARS,M,2013,PS,IRE,cloth of stars ire m.ps. 4 a.,2017
cTd4UlF5R2FGTnRpR0tlNjRWY3RDdz09,ULYSSES,M,2013,PS,IRE,ulysses ire m.ps. 4 a.,2017
M0FkVEhqWWFwdkMrTWw3VGtTa3VuUT09,BRAMETOT,M,2014,PS,IRE,brametot ire m.ps. 3 a.,2017
K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09,DSCHINGIS SECRET,M,2013,PS,GER,dschingis secret ger m.ps. 4 a.,2017
TTFWM04rREc0aTFGcVl2Zyt5dVZJZz09,IQUITOS,M,2012,PS,GER,iquitos ger m.ps. 5 a.,2017
TVhMSVg4TlJHU2EwZFVuVHFsRVVXUT09,IDAHO,M,2013,PS,IRE,idaho ire m.ps. 4 a.,2017
d2huMXJ6SFNpbkR6aXNzUUlnZ2tlUT09,WINTER,F,2014,PS,IRE,winter ire f.ps. 3 a.,2017
bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09,ZARAK,M,2013,PS,FR,zarak  m.ps. 4 a.,2017
NUp0OVJCUU5CVENhQUczcVJ4Y2JpZz09,DOHA DREAM,M,2013,PS,FR,doha dream  m.ps. 4 a.,2017
YXVNNGJ2ejN5Tmh3emJqZ0xocEh3Zz09,PLUMATIC,M,2014,PS,GB,plumatic (gb) m.ps. 3 a.,2017
NHZoWlVHMUxmNmFIeUdTa09jbDB5dz09,SEVENTH HEAVEN,,0,,,seventh heaven ire f.ps. 4 a.,2017
WFRSdmloSlRtRmJXNGtORzR4ckFRQT09,SATONO DIAMOND,M,2013,PS,JPN,satono diamond jpn m.ps. 4 a.,2017
cnphcHp4eGdSNHFJOVBFYk05MmZBZz09,SATONO NOBLESSE,M,2010,PS,JPN,satono noblesse jpn m.ps. 7 a.,2017
aVNwNVk4YjBqZis5Yjc4K1NKbHJOZz09,CAPRI,,0,,,capri ire m.ps. 3 a.,2017
TFRBMCs2V2N4RXRvVEJJd20xY2loUT09,RAIL LINK,,0,,,rail link gb m.ps. 3 a.,2006
Ymhld1Y4K1B0Ni81bEU2akFBK0MyZz09,PRIDE,,0,,,pride  f.ps. 6 a.,2006
NXhNQ3U3NHhTQ1k4ZU9tSTc5Qmprdz09,HURRICANE RUN,,0,,,hurricane run ire m.ps. 4 a.,2006
K3JEdDhSdVhKdENiTUZtUzllY0JuQT09,BEST NAME,,0,,,best name gb m.ps. 3 a.,2006
ekhsYzRqakZGTE1oOTR6SjBlSmQ5Zz09,IRISH WELLS,,0,,,irish wells  m.ps. 3 a.,2006
WlJ2TStIa2d5ODFaTDFqRk5sbG8xZz09,SIXTIES ICON,,0,,,sixties icon gb m.ps. 3 a.,2006
UE5CN0FVb2pEckhpVU1NeWNFNHNDQT09,SHIROCCO,,0,,,shirocco ger m.ps. 5 a.,2006
YW1OcVc4TjVIS251TndRQU52YUpwZz09,DEEP IMPACT,,0,,,deep impact jpn m.ps. 4 a.,2006
c3NOZGpYL21vTnJBVXo4NXJaZWdRdz09,SEA THE STARS,M,2006,PS,IRE,sea the stars ire m.ps. 3 a.,2009
U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09,CAVALRYMAN,M,2006,PS,GB,cavalryman gb m.ps. 3 a.,2009
SXRnUEJUcVJTcjZpSkY2ZHJCZzZsQT09,CONDUIT,M,2005,PS,IRE,conduit ire m.ps. 4 a.,2009
ekZpcjZmZk0wQ3dudmlQTGpnc2M1dz09,DAR RE MI,F,2005,PS,GB,dar re mi gb f.ps. 4 a.,2009
UE15eDlDeGYrMHBMcDRYTEJZaHk3dz09,FAME AND GLORY,,0,,,fame and glory gb m.ps. 3 a.,2009
THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09,LA BOUM,F,2003,PS,GER,la boum ger f.ps. 6 a.,2009
bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,STACELITA,F,2006,PS,FR,stacelita  f.ps. 3 a.,2009
OUdvYWhXcTdneHpmSGVNc3ZaMERxZz09,MAGADAN,M,2005,PS,IRE,magadan ire m.ps. 4 a.,2009
RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09,VISION D'ETAT,M,2005,PS,FR,vision d'etat  m.ps.+,2009
SlFKWldCajFReWxLNG1wbnNYbldDZz09,THE BOGBERRY,M,2005,PS,USA,the bogberry usa m.ps. 4 a.,2009
TWNvYXlyZytKS1pqaGpVbG01bE1LQT09,STEELE TANGO,M,2005,PS,USA,steele tango usa m.ps. 4 a.,2009
aElqYUloS2ZkRzRIVFZXUmpBRTlRUT09,TULLAMORE,M,2005,PS,USA,TULLAMORE USA M.PS. 4 a.,2009
WTh4VFBlSHE5RWZCZEh2OFFWRmxGUT09,HOT SIX,M,2005,PS,BRZ,hot six brz m.ps. 4 a.,2009
T21FMkpQRDZnRzYvZXRZRHR5VUFCdz09,TANGASPEED,F,2005,PS,FR,tangaspeed  f.ps. 4 a.,2009
d0VXamJZZGlFTjVNY2pXbFRYRWRJUT09,CARTHAGE,M,2006,PS,FR,carthage  m.ps. 3 a.,2009
MlN2ZHRiU1VFcFllandZYmh1SFF1dz09,SET SAIL,M,2006,PS,IRE,set sail ire m.ps. 3 a.,2009
UTBLamNvYSs0QnZrWHJESXc2WDVkZz09,GRAND DUCAL,M,2006,PS,IRE,grand ducal ire m.ps. 3 a.,2009
NkRXM3c5TUloZ3BMSExvbkdyS2g4QT09,WESTERNER,,0,,,westerner (gb) m.ps. 6 a.,2005
NzJIVnlBNlFhRzlic3JDWmFTZ1M5dz09,BAGO,,0,,,bago  m.ps. 4 a.,2005
VnlRVW1Ic29FNlUyWENoZlk2a3JDZz09,MOTIVATOR,,0,,,motivator gb m.ps. 3 a.,2005
ZEwrQmZLa2NhOUQ4emlFVkdUZTlZUT09,SHAWANDA,,0,,,shawanda ire f.ps. 3 a.,2005
MFgydTJBQmZoaUdDTVZKaTdDUkFCUT09,WARRSAN,,0,,,warrsan ire m.ps. 7 a.,2005
dWFMZFVIYkVPaHBSMlNDM1BlbVNLQT09,MUBTAKER,,0,,,mubtaker usa m.ps. 8 a.,2005
K2tUZEFqcU5ZREVYZ0tvMlNLUXo0dz09,SCORPION,,0,,,scorpion ire m.ps. 3 a.,2005
QmV0ckRkNXI0Q0JseWNnMDhsQVNxdz09,CHERRY MIX,,0,,,cherry mix  m.ps. 4 a.,2005
clRYN3ZBc0RQb2JoTEdUSHJZamthUT09,NORSE DANCER,,0,,,norse dancer ire m.ps. 5 a.,2005
Zk85ZCtxNkpUaUhtSm0xOVVwSTZBQT09,SAMANDO,,0,,,samando  f.ps.+,2005
enhhcm8wMHljS0QrQ1pZSDVoUzNYUT09,VOLTMETER,,0,,,voltmeter (ire) m.ps. 3 a.,2005
V0pnQWFmbjdyM2hGREtoWmk5UnpXdz09,WINDYA,,0,,,windya  f.ps. 3 a.,2005
NVRMa3p3MjduelJRSUxRRU0vU2xQZz09,HELISSIO,,0,,,helissio  m.ps. 3 a.,1996
T1FSUTdXMWFzaEhxc2lINnVXTFFHZz09,PILSUDSKI,,0,,,pilsudski ire m.ps. 4 a.,1996
ZUNocmNGWVFTME9hN24zRjFwQy9MZz09,OSCAR SCHINDLER,,0,,,oscar schindler ire m.ps. 4 a.,1996
ZWhsREtNSWVCN0FBVUlKcmhUR2szQT09,SWAIN,,0,,,swain ire m.ps. 4 a.,1996
eGZRRkMybVdVeEJBZnlVVnU1ZDczZz09,LUNA WELLS,,0,,,luna wells (ire) f.ps. 3 a.,1996
