Unnamed: 0,id,nom,sexe,naissance,race,pays,info,infoyear
0,SHpmdDVUam5PNDMyOTJuWDJBVUFidz09,GOLDEN HORN,M,2012,PS,GB,golden horn gb m.ps. 3 a.,2015
1,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,FLINTSHIRE,M,2010,PS,GB,flintshire gb m.ps. 5 a.,2015
2,bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09,NEW BAY,M,2012,PS,GB,new bay gb m.ps. 3 a.,2015
3,d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09,TREVE,F,2010,PS,FR,treve  f.ps. 5 a.,2015
4,ajVkellKNDFIQnFMQVVmVzVnSmt6dz09,ERUPT,M,2012,PS,IRE,erupt (ire) m.ps. 3 a.,2015
5,SGJDenBYdWpaWXFERUJ6eWRBU1lNUT09,FREE EAGLE,M,2011,PS,IRE,free eagle ire m.ps. 4 a.,2015
6,T0FSOXFzQ0VpbVNickZvcm15c0FvQT09,PRINCE GIBRALTAR,M,2011,PS,FR,prince gibraltar  m.ps. 4 a.,2015
7,aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09,SILJAN'S SAGA,F,2010,PS,FR,siljan's saga  f.ps. 5 a.,2015
8,RjBiUHlWMCs1OFJJb3NOd09HdytWdz09,FOUND,F,2012,PS,IRE,found ire f.ps. 3 a.,2015
9,eElISExrSmJ5bTJud3BsV0hIa09xdz09,SILVERWAVE,M,2012,PS,FR,silverwave  m.ps. 3 a.,2015
10,Y29qVCtTMmJzQXhZYzdvR1A5aVpUQT09,MANATEE,M,2011,PS,GB,manatee gb m.ps. 4 a.,2015
11,WERKQUcxZHlmWnphSys3SjB4bXJSZz09,SPIRITJIM,M,2010,PS,FR,spiritjim  m.ps. 5 a.,2015
12,WWRNU2l1QUQ4YktjMkZQUFBJRysrdz09,DOLNIYA,F,2011,PS,FR,dolniya  f.ps. 4 a.,2015
13,U3ErcmtqUjhsRDdPS0FheXdpNlBVQT09,FRINE,F,2010,PS,IRE,frine ire f.ps. 5 a.,2015
14,Y1puWTl6ZGpLY2Fvd3UyTmMwQVhlZz09,EAGLE TOP,M,2011,PS,GB,eagle top gb m.ps. 4 a.,2015
15,a3ZsWE50QllNQ2p2M1hxM2pUQ2d2QT09,TAPESTRY,F,2011,PS,IRE,tapestry ire f.ps. 4 a.,2015
16,ZkZBbmwrWCt6TklKTHgzOCs5bnd5Zz09,SHAHAH,F,2012,PS,GB,shahah gb f.ps. 3 a.,2015
17,SCtLRU5VVkVkK1ZGMjVBamZTWTZFUT09,MELEAGROS,M,2009,PS,IRE,MELEAGROS,2015
18,c2hTVHkvbXJ6clRTR3UwTlZMRDJOUT09,DYLAN THOMAS,M,2003,PS,IRE,dylan thomas ire m.ps. 4 a.,2007
19,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09,YOUMZAIN,M,2003,PS,IRE,youmzain ire m.ps. 4 a.,2007
20,QU9BR0xQQzRVK3BVSjBVS0tHaWVZUT09,SAGARA,M,2004,PS,USA,sagara usa m.ps. 3 a.,2007
21,OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09,GETAWAY,M,2003,PS,GER,getaway ger m.ps. 4 a.,2007
22,TlVwdUJtc1N6SEFGZk1aTThYYVRGdz09,SOLDIER OF FORTUNE,M,2004,PS,IRE,soldier of fortune ire m.ps. 3 a.,2007
23,cHFPQXFzVytvaGpaTXN5WTN2WjRTdz09,SADDEX,M,2003,PS,GB,saddex (gb) m.ps. 4 a.,2007
24,c2l4MEFnMXRsRHkvRnJLeVk2dXNCQT09,MANDESHA,F,2003,PS,FR,mandesha  f.ps. 4 a.,2007
25,L1Z1bVhvZ3VMNlQ5eDdOYVJVRXU2dz09,ZAMBEZI SUN,M,2004,PS,GB,zambezi sun gb m.ps. 3 a.,2007
26,Mks0bm96Y3ZwNyt2SUp4WE45V1l2Zz09,DRAGON DANCER,M,2003,PS,GB,dragon dancer gb m.ps. 4 a.,2007
27,MGVYS2YwbTVFUHpuMmlSejNvOUNYQT09,AUTHORIZED,M,2004,PS,IRE,authorized ire m.ps. 3 a.,2007
28,OUFyT1lLKzMxNVBUVG5oSk4xME9JUT09,SONG OF HIAWATHA,M,2004,PS,GB,SONG OF HIAWATHA GB M.PS. 3 a.,2007
29,QkdLOENhdzBPbllkcm50WWtyVW13Zz09,YELLOWSTONE,M,2004,PS,IRE,yellowstone ire m.ps. 3 a.,2007
30,QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09,HIGHLAND REEL,M,2012,PS,IRE,highland reel ire m.ps. 4 a.,2016
31,SXFsNEYvUmtRVERCV2RSeE93Skl6UT09,ORDER OF ST GEORGE,M,2012,PS,IRE,order of st george ire m.ps. 4 a.,2016
32,N3labVdLZXlaZHA2YVhtb2RrUmFidz09,POSTPONED,M,2011,PS,IRE,postponed ire m.ps. 5 a.,2016
33,RWR5RWt3QWVRWFdnRitibDhxbGh0UT09,ONE FOOT IN HEAVEN,H,2012,PS,IRE,one foot in heaven (ire) h.ps. 4 a.,2016
34,bDZjOTYzdnkvRUliV3dyKzYzMDZZZz09,SAVOIR VIVRE,M,2013,PS,IRE,savoir vivre ire m.ps. 3 a.,2016
35,ZlVKV1p1aVFreVFka3pCOWVHc3Jsdz09,HARZAND,M,2013,PS,IRE,harzand ire m.ps. 3 a.,2016
36,TnQrMC85ZWdnMFJtZ0ZRbEZyLzJUQT09,VEDEVANI,M,2013,PS,FR,vedevani  m.ps. 3 a.,2016
37,Z2I5elZrWUt2dW1KQ0lvb2lvVFhTdz09,TALISMANIC,M,2013,PS,GB,talismanic gb m.ps. 3 a.,2016
38,czU4dVB6aEQxV01OeGNYMFpuaW11Zz09,LEFT HAND,F,2013,PS,GB,left hand (gb) f.ps. 3 a.,2016
39,eGFJU09vRmZhSTNoWmhCam95UkNWUT09,MAKAHIKI,M,2013,PS,JPN,makahiki jpn m.ps. 3 a.,2016
40,Rk1Hd2ZZNXgza0VvaHg5S01kZjBkUT09,MIGWAR,M,2012,PS,IRE,migwar (ire) m.ps. 4 a.,2016
41,eGEzek1uazFKVHQvbHIvWTJPMzlRUT09,THE GREY GATSBY,M,2011,PS,IRE,the grey gatsby (ire) m.ps. 5 a.,2016
42,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09,ENABLE,F,2014,PS,GB,enable gb f.ps. 3 a.,2017
43,c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09,CLOTH OF STARS,M,2013,PS,IRE,cloth of stars ire m.ps. 4 a.,2017
44,cTd4UlF5R2FGTnRpR0tlNjRWY3RDdz09,ULYSSES,M,2013,PS,IRE,ulysses ire m.ps. 4 a.,2017
45,M0FkVEhqWWFwdkMrTWw3VGtTa3VuUT09,BRAMETOT,M,2014,PS,IRE,brametot ire m.ps. 3 a.,2017
46,K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09,DSCHINGIS SECRET,M,2013,PS,GER,dschingis secret ger m.ps. 4 a.,2017
