Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,urban sea usa f.ps. 4 a.,QVBjY3U4T0hlMHhpcHpRQndEKzQwUT09,0,Par: MISWAKI  et ALLEGRETTA (LOMBARD),(Corde:09),,DAVID  TSUI,J. LESBORDES,MR ERIC  SAINT-MARTIN,"57,5kg",762.245,,,,,,MARYSTEAD FARM
2,white muzzle gb m.ps. 3 a.,R2JzOXpndkhFeWFsWVRHb3dHM0R6Zz09,0,Par: DANCING BRAVE  et FAIR OF THE FURZE (ELA MANA MOU),ENC (Corde:23),,SUCC ZENYA YOSHIDA,PW. CHAPPLE-HYAM,MR JOHN-ANDREW  REID,56 kg,304.898,,,,,,AIRLIE STUD
3,opera house gb m.ps. 5 a.,Z3hBWVB1RWpmV20xa3MrcnVnVFFkUT09,0,Par: SADLER'S WELLS  et COLORSPIN (HIGH TOP),1/2 (Corde:15),,CHEIK MOHAMMED  AL MAKTOUM,SIR MR. STOUTE,MICHAEL  ROBERTS,59 kg,152.449,,,,,,MEON VALLEY STUD
4,intrepidity gb f.ps. 3 a.,alFQYXlRZVR4cmdQZXM3ZVRNM1NSUT09,0,Par: SADLER'S WELLS  et INTREPID LADY (BOLD RULER),3/4 (Corde:14),,CHEIK MOHAMMED  AL MAKTOUM,A. FABRE,THIERRY  JARNET,"54,5kg",76.225,,,,,,MJ. RYAN
5,only royale ire f.ps. 4 a.,dFhkeERHK0JNRWpQUnQzdTE3dmp4dz09,0,Par: CAERLEON  et ETOILE DE PARIS (CROWNED PRINCE),1.L (Corde:16),,GIUSEPPE  SAINAGHI,LM. CUMANI,RAYMOND  COCHRANE,"57,5kg",,,,,,,BARRONSTOWN STUD
6,bob's return ire m.ps. 3 a.,UFJyRjg3WkxsaVdXWDllTUtncnhXZz09,0,Par: BOB BACK  et QUALITY OF LIFE (AUCTION RING),1.5 (Corde:12),,MME G.A.E.  SMITH,MH. TOMPKINS,PHILIP-PETER  ROBINSON,56 kg,,,,,,,BARONRATH STUD LTD
7,misil usa m.ps. 5 a.,U0FsaDZKaXQ1M04veHZjZ2g1S0JQQT09,0,Par: MISWAKI  et APRIL EDGE (THE AXE II),3/4 (Corde:11),,LAGHI SNC DI G. SAIBENE,V. CARUSO,LANFRANCO  DETTORI,59 kg,,,,,,,GW. HUMPHREY
8,talloires usa m.ps. 3 a.,OVg2WjhoZDJ4alM3VnRwbU9XR1I1Zz09,0,Par: TREMPOLINO  et LOGICIEL (KNOWN FACT),1/2 (Corde:19),,SUC. PAUL DE MOUSSAC,A. FABRE,OLIVIER  PESLIER,56 kg,,,,,,,MARYSTEAD FARM
9,vert amande  m.ps. 5 a.,Rm4yclZydUFyWTBBTFNaaDVPN09NUT09,0,Par: KENMARE  et LADY BERRY (VIOLON D'INGRES),1.5 (Corde:10),,SUC. ENRIQUE  SARASOLA,E. LELLOUCHE,MR FREDERIC  HEAD,59 kg,,,,,,,SUC. G.DE ROTHSCHILD
10,market booster usa f.ps. 4 a.,eVh6UmRFeUhzVlVZWkxUcDN0WEh6dz09,0,Par: GREEN DANCER  et FINAL FIGURE (SUPER CONCORDE),1/2 (Corde:20),,MOYGLARE STUD FARM LTD,DK. WELD,MR MICHAEL J.  KINANE,"57,5kg",,,,,,,MOYGLARE STUD FARM LTD
--,always friendly gb f.ps. 5 a.,Z1NpdDJNU085QVJsNGFTNEJCampOZz09,0,Par: HIGH LINE  et WISE SPECULATION (MR PROSPECTOR),(Corde:21),,SUC. FAHD  SALMAN,H. CANDY,ALAN-KEITH  MUNRO,"57,5kg",,,,,,,BLACK HILLS STUD LTD
--,armiger gb m.ps. 3 a.,U05CRWlMR0VRUStmRTk1QldwRjFDUT09,0,Par: RAINBOW QUEST  et ARMERIA (NORTHERN DANCER),(Corde:02),,SUC. KHALID  ABDULLAH,SUC. HRA. CECIL,WILLIAM-FISCHER  CARSON,56 kg,,,,,,,JUDDMONTE FARMS IRELAND
--,badolato usa m.ps.+,ZHAvNEJLUVBYTG0rdFRIZzR5QnZSdz09,0,Par: FAR NORTH  et ABSARETCH (DANCER'S IMAGE),(Corde:07),,SUC. PETER  BAUMGARTNER,A. SPANU,MR JEAN-MICHEL  BREUX,56 kg,,,,,,,P. FULLER
--,bright moon usa f.ps.+,TXBPQlhTdWpIdnE4amFzc3lvd1BtZz09,0,Par: ALYSHEBA  et BONSHAMILE (ILE DE BOURBON),(Corde:06),,SUC. DANIEL  WILDENSTEIN,A. FABRE,MR SYLVAIN  GUILLOT,"54,5kg",,,,,,,ALLEZ FRANCE STABLES
--,dancienne  f.ps. 3 a.,eUN1b2p2LzY1blY2Y2NKV2JVWk5YUT09,0,Par: GROOM DANCER  et TERMIENNE (ARMOS),(Corde:05),,HIDEO  YOKOYAMA,E. LELLOUCHE,MR DOMINIQUE  BOEUF,"54,5kg",,,,,,,"MME N. SARMANT-PIAU, ML. WARNER JR,SUC. C. SARMANT"
