Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,lammtarra usa m.ps. 3 a.,d3ZkNDdhdEIwU291cEMydDdRc3NqQT09,12,Par: NIJINSKY  et SNOW BRIDE (BLUSHING GROOM),(Corde:07),,SAEED MAKTOUM  AL MAKTOUM,S. BIN SUROOR,LANFRANCO  DETTORI,56 kg,609.796,,,,,,GAINSBOROUGH FARM INC.
2,freedom cry gb m.ps. 4 a.,OWlHaU9CYlJPeXVITy84SHFDeWlvZz09,6,Par: SOVIET STAR  et FALLING STAR (MOUNT HAGEN),3/4 (Corde:03),,SUC. DANIEL  WILDENSTEIN,A. FABRE,OLIVIER  PESLIER,"59,5kg",243.918,,,,,2.0,DAYTON INVESTMENTS LTD
3,swain ire m.ps. 3 a.,ZWhsREtNSWVCN0FBVUlKcmhUR2szQT09,11,Par: NASHWAN  et LOVE SMITTEN (KEY TO THE MINT),2.L (Corde:11),,CHEIK MOHAMMED  AL MAKTOUM,A. FABRE,MR MICHAEL J.  KINANE,56 kg,121.959,,,,,1.0,CHEIK MOBR. AL MAKTOUM
4,lando ger m.ps. 5 a.,KzhDK2dKUjVJM0p2eUw1VFUvT0ZSQT09,4,Par: ACATENANGO  et LAUREA (SHARPMAN),1.5 (Corde:15),,GESTUT HAUS ITTLINGEN,H. JENTZSCH,MICHAEL  ROBERTS,"59,5kg",60.98,,,,,,GESTUT ITTLINGEN
5,pure grain gb f.ps. 3 a.,UGROVTFmRkRDbjhORkYwbk5ObzdlQT09,15,Par: POLISH PRECEDENT  et MILL LINE (MILL REEF),2.5 (Corde:04),,ROBERT  BARNETT,SIR MR. STOUTE,MR JOHN-ANDREW  REID,"54,5kg",30.49,,,,,,W. & R. BARNETT LTD
6,carnegie ire m.ps. 4 a.,aURsenJ5KzdvSGhpOXhLT2xvN0NjZz09,1,Par: SADLER'S WELLS  et DETROIT (RIVERMAN),1/2 (Corde:14),,CHEIK MOHAMMED  AL MAKTOUM,A. FABRE,THIERRY  JARNET,"59,5kg",,,,,,1.0,SWETTENHAM STUD
7,partipral (usa) m.ps. 6 a.,THBkV2VycFhzbGI5emwrR1dwa1k0QT09,5,Par: PROCIDA  et PARTITION (TOP VILLE),1.L (Corde:09),,SUC. ENRIQUE  SARASOLA,E. LELLOUCHE,MR GUY  GUIGNARD,"59,5kg",,,,,,,THORP INVESTMENTS LTD
8,gunboat diplomacy  m.ps.+,RkY3Uzg1TCt1TDkwTDVMWUM2a2VkZz09,7,Par: DOMINION  et SINGAPORE GIRL (LYPHARD),1.L (Corde:08),,SUC. DANIEL  WILDENSTEIN,E. LELLOUCHE,MR DOMINIQUE  BOEUF,"59,5kg",,,,,,2.0,"LONDON THOROUGHBRED SERVICES, G. STRAWBRIDGE"
9,carling  f.ps. 3 a.,RTI1djZ1UDBmOFdmL3Npc3VCKzYxZz09,16,Par: GARDE ROYALE  et CORRALEJA (CARVIN),8.L (Corde:13),,TERUYA  YOSHIDA,MME C. BARANDE BARBE,MR THIERRY  THULLIEZ,"54,5kg",,,,,,,SUC. J. DELBART
10,balanchine usa f.ps. 4 a.,TE5RWXhVWGZtZDRIQU5hcGFCaVFrUT09,9,Par: STORM BIRD  et MORNING DEVOTION (AFFIRMED),CTE (Corde:02),,MAKTOUM AL MAKTOUM/GODOLPHIN,S. BIN SUROOR,MR WALTER-ROBERT  SWINBURN,58 kg,,,,,,1.0,SWETTENHAM STUD
--,strategic choice usa m.ps. 4 a.,c2p5TFNQcW5Hc0dyeVZQcWhoZVB4Zz09,2,Par: ALLEGED  et DANLU (DANZIG),(Corde:05),,SIR MARTYN  ARBIB,PFI. COLE,THOMAS-RICHARD  QUINN,"59,5kg",,,,,,,SIR M. ARBIB
--,tot ou tard ire m.ps.+,NGI3dlJia3phMkVScElneitxdUJrdz09,3,Par: ROBELLINO  et SHE'S MY LOVELY (SHARPO),(Corde:01),,ECURIE KURA,S. WATTEL,MR ERIC  SAINT-MARTIN,"59,5kg",,,,,,,M. KURA
--,el sembrador arg m.ps. 4 a.,aEg4VDB3RUYzRlJpT3BHaDR0d1NPZz09,8,Par: OCTANTE  et NINA FLOR (EXACTLY NATIVE),(Corde:16),,GILBERTO LUIS H.  MONTAGNA,JL. PALACIOS,GUILLERMO ENRIQUE  SENA,59 kg,,,,S,,,HARAS EL PARAISO
--,sunrise song  f.ps. 4 a.,bEhsakV6TzBxb1cxU3RkZ01mT2pxZz09,10,Par: GENERAL HOLME  et MARISSIYA (NISHAPOUR),(Corde:06),,SUC. JEAN  PERCEPIED,F. DOUMEN,GERALD  MOSSE,58 kg,,,,,,,SUCC CHARLES E. SCHMIDT
--,luso gb m.ps. 3 a.,bFZ2Y2I2NXRMcXk0ZDRtQWhaUlpGdz09,13,Par: SALSE  et LUCAYAN PRINCESS (HIGH LINE),(Corde:10),,SAEED  MANANA,CE. BRITTAIN,CASH  ASMUSSEN,56 kg,,,,,,,S. MANANA
--,el tenor  m.ps. 3 a.,NWU3UHRoSzVvOW5nSExYb1NTbkxVUT09,14,Par: BON SANG  et PRIMA SINFONIA (ACAMAS),(Corde:12),,NAJI  PHARAON,A. SPANU,MR STEPHANE  COERETTE,56 kg,,,,,,,N. PHARAON
