Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,peintre celebre usa m.ps. 3 a.,T29BOHFrSVdxK0RGdGYzejBxNnZ6dz09,13,Par: NUREYEV  et PEINTURE BLEUE (ALYDAR),(Corde:02),,SUC. DANIEL  WILDENSTEIN,A. FABRE,OLIVIER  PESLIER,56 kg,609.796,,,,,,ALLEZ FRANCE STABLES
2,pilsudski ire m.ps. 5 a.,T1FSUTdXMWFzaEhxc2lINnVXTFFHZz09,9,Par: POLISH PRECEDENT  et COCOTTE (TROY),5.L (Corde:15),,LORD WEINSTOCK/SUC S.WEINSTOCK,SIR MR. STOUTE,MR MICHAEL J.  KINANE,"59,5kg",243.918,,,,,,BALLYMACOLL STUD FARM LTD
3,borgia ger f.ps. 3 a.,Ri9OeUVIOXBCWmtlSnZLZ3htQm03UT09,15,Par: ACATENANGO  et BRITANNIA (TARIM),2.5 (Corde:01),,GESTUT AMMERLAND,SUC. B. SCHUTZ,KIEREN-FRANCIS  FALLON,"54,5kg",121.959,,,S,,,GESTUT AMMERLAND
4,oscar schindler ire m.ps. 5 a.,ZUNocmNGWVFTME9hN24zRjFwQy9MZz09,8,Par: ROYAL ACADEMY  et SARADAY (NORTHFIELDS),CTT (Corde:12),,OLIVER  LEHANE,K. PRENDERGAST,CASH  ASMUSSEN,"59,5kg",60.98,,,,,,O. LEHANE
5,predappio gb m.ps. 4 a.,RWUra25OV0hpbno0VndHZ2cwTktjZz09,6,Par: POLISH PRECEDENT  et KHALAFIYA (DARSHAAN),CTT (Corde:11),,GODOLPHIN,S. BIN SUROOR,MR JOHN-ANDREW  REID,"59,5kg",30.49,,,,,1.0,CHEIK MOBR. AL MAKTOUM
6,helissio  m.ps. 4 a.,NVRMa3p3MjduelJRSUxRRU0vU2xQZz09,11,Par: FAIRY KING  et HELICE (SLEWPY),CTE (Corde:05),,SUC. ENRIQUE  SARASOLA,E. LELLOUCHE,MR DOMINIQUE  BOEUF,"59,5kg",,,,,,,ECURIE SKYMARC FARM
7,swain ire m.ps. 5 a.,ZWhsREtNSWVCN0FBVUlKcmhUR2szQT09,7,Par: NASHWAN  et LOVE SMITTEN (KEY TO THE MINT),ENC (Corde:13),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,1.0,CHEIK MOBR. AL MAKTOUM
8,que belle can f.ps. 3 a.,RHo4V2NlSGlxNmVqWVhxZi9mVnpIUT09,16,Par: SEATTLE DANCER  et QUI BID (SPECTACULAR BID),1.5 (Corde:06),,STALL STOOF,H. REMMERT,MR KEVIN  WOODBURN,"54,5kg",,,,,,,HEDGESTONE MANAGEMENT
9,posidonas gb m.ps. 5 a.,WlBBRkdSeEt6ekVWTUtnMzZKazlmZz09,1,Par: SLIP ANCHOR  et TAMASSOS (DANCE IN TIME),2.5 (Corde:07),,ATHOS  CHRISTODOULOU,PFI. COLE,THOMAS-RICHARD  QUINN,"59,5kg",,,,,,,A. CHRISTODOULOU
10,busy flight gb m.ps. 4 a.,WSt4QlI4dW1zYWF3VHEyeXhVNjBwUT09,5,Par: PHARLY  et BUSTLING NELLY (BUSTINO),1/2 (Corde:10),,S.WINGFIELD  DIGBY,BW. HILLS,MICHAEL  HILLS,"59,5kg",,,,,,,SW. DIGBY
--,steward  m.ps. 4 a.,bW1QcVNNQ1YvdHBrWEUyanJuYmRJQT09,2,Par: SAUMAREZ  et BELLE OMBRE (DANCING BRAVE),(Corde:03),,SUC. GEORGES  COUDE,D. SEPULCHRE,MR SYLVAIN  GUILLOT,"59,5kg",,,,,,,JC. COUDE
--,nothin'leica dane aus m.ps. 5 a.,NzRJWHlKM2c2Q2N0RitqNU1UQyszZz09,3,Par: DANEHILL  et LEICA PRETENDER (SIR TRISTRAM),(Corde:18),,DALTON HODGE ECURIE SYNDICATE,JE. HAMMOND,GERALD  MOSSE,"59,5kg",,,,,,,ARROWFIELD GROUP PTY LTD
--,le destin  m.ps. 4 a.,TVVVTlREMCtHTGlhVDY2eTVOQWgwZz09,4,Par: ZAYYANI  et MY DARLING (ELA MANA MOU),(Corde:08),,MICHEL  DEBEUSSCHER,P. DEMERCASTEL,THIERRY  GILLET,"59,5kg",,,,,,,"M. DEBEUSSCHER, JC. DEBEUSSCHER"
--,yokohama usa m.ps. 6 a.,MGV3bEM3OXF1SVRUeWloSlhCRTRsUT09,10,Par: THEATRICAL  et GRIDDLE (OFF SHORE GAMBLE),(Corde:17),,MME ALLEN  PAULSON,MME C. HEAD,OLIVIER  DOLEUZE,"59,5kg",,,,,,,SUC. A. PAULSON
--,my emma gb f.ps. 4 a.,RHNZanF6WGpyWi9QcGJER2VERWJnUT09,12,Par: MARJU  et PATO (HIGH TOP),(Corde:14),,MATTHEWS BREEDING AND RACING,RAE. GUEST,DARRYLL-PAUL  HOLLAND,58 kg,,,,,,,LORD  MATTHEWS
--,ebadiyla ire f.ps. 3 a.,K25VT0dkK1preHVuYWlMNGpha3BZdz09,14,Par: SADLER'S WELLS  et EBAZIYA (DARSHAAN),(Corde:09),,S.A.   AGA KHAN,J. OXX,JOHN-PATRICK  MURTAGH,"54,5kg",,,,,,,S.A.  AGA KHAN
--,queen maud ire f.ps. 3 a.,TjJRdjZld1RGQWRxTWpubmxFeTd5dz09,17,Par: AKARAD  et MODIYNA (NISHAPOUR),(Corde:16),,GARY A.  TANAKA,J.DE ROUALLE,THIERRY  JARNET,"54,5kg",,,,,,,"BARRONSTOWN STUD,  RON CON LTD"
--,gazelle royale  f.ps. 3 a.,UU0rT3pmTDFIZVN6MGg5Wm9ISnpFUT09,18,Par: GARDE ROYALE  et BEAUTYWAL (MAGWAL),(Corde:04),,KATSUMI  YOSHIDA,JE. HAMMOND,MICHAEL  ROBERTS,"54,5kg",,,,,,,MME J. BESNOUIN
