Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,sinndar ire m.ps.+,L0QxVDM5Z1RTRngwcVZQRitlVHkyUT09,5.0,Par: GRAND LODGE  et SINNTARA (LASHKARI),(Corde:07),,S.A.   AGA KHAN,J. OXX,JOHN-PATRICK  MURTAGH,56 kg,914.694,,,,,1.0,S.A.  AGA KHAN
2,egyptband usa f.ps. 3 a.,bTF0a1pWZWQ3N29CUVFXMTVEM3NBQT09,10.0,Par: DIXIELAND BAND  et EGYPTOWN (TOP VILLE),1.5 (Corde:09),,WERTHEIMER & FRERE,MME C. HEAD,OLIVIER  DOLEUZE,"54,5kg",365.878,,,,,,WERTHEIMER & FRERE
3,volvoreta gb f.ps.+,ZXh0dk9yUXEzcEJtTXR4SWZTK1drdz09,9.0,Par: SUAVE DANCER  et ROBERTIYA (DON ROBERTO),3.L (Corde:02),,SUC. ENRIQUE  SARASOLA,C. LERNER,OLIVIER  PESLIER,"54,5kg",182.939,,,,,,C. GARCIA-PARDO
4,Montjeu,alRCUjJscmNsR0xuQUFjV2d1cVpOZz09,2.0,,,,,JOHN HAMMOND,MICHAEL KINANE,,,,,,,,
5,Hightori,UWhuTjRaQjZpUGVHT1hLb0NjdVpTQT09,6.0,,,,,PHILIPPE DEMERCASTEL,GERALD MOSSE,,,,,,,,
6,Samum,Y0pKZlJPOWFCQkZqTmRpdkZ2Ky9OUT09,,,,,,ANDREAS SCHUTZ,ANDRASCH STARKE,,,,,,,,
7,Daring Miss,ejAwT1hiTXcwNk5VdEttdSs5R1lUdz09,,,,,,ANDRE FABRE,CHRISTOPHE SOUMILLON,,,,,,,,
8,Russian Hope,MW5QQ214MmVTQVFBVG1JWkVaYkthZz09,,,,,,HENRI-ALEX PANTALL,THIERRY JARNET,,,,,,,,
9,Hesiode,QUJyRWxweHNWOUJFZGovZmd3ZmVGZz09,,,,,,JEAN-CLAUDE ROUGET,FRANKIE DETTORI,,,,,,,,
10,Raypour,VnR6UGVHK3NuYkkyTGNGMlpFQTkvQT09,,,,,,JOHN OXX,NIALL MCCULLAGH,,,,,,,,
