Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,sakhee usa m.ps. 4 a.,dFdtYXAvbk1SMUxyOHI0L1R5U1NpQT09,3,Par: BAHRI  et THAWAKIB (SADLER'S WELLS),(Corde:15),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",914.694,,,,,,SHADWELL FARM
2,aquarelliste  f.ps. 3 a.,Y2s5ZWxMbTd0SGo3TU1SejBhRUhHdz09,17,Par: DANEHILL  et AGATHE (MANILA),6.L (Corde:04),,SUC. DANIEL  WILDENSTEIN,E. LELLOUCHE,MR DOMINIQUE  BOEUF,"54,5kg",365.878,,60.98,,,,ALLEZ FRANCE STABLES
3,sagacity  m.ps. 3 a.,VG45RTdmYTlwV3U1ZnV6T0dLdDhaUT09,10,Par: HIGHEST HONOR  et SAGANECA (SAGACE),1.L (Corde:11),,SNC   LAGARDERE ELEVAGE,A. FABRE,YUTAKA  TAKE,56 kg,182.939,,30.49,,,1.0,SNC  LAGARDERE ELEVAGE
4,golan ire m.ps. 3 a.,Mjh1UWtDdXVuTnBveHBaZ0RWZ0FSZz09,15,Par: SPECTRUM  et HIGHLAND GIFT (GENEROUS),CTT (Corde:06),,SUC. LORD  WEINSTOCK,SIR MR. STOUTE,KIEREN-FRANCIS  FALLON,56 kg,91.469,,,,,,BALLYMACOLL STUD FARM LTD
5,milan gb m.ps. 3 a.,WHdRd3MzcGk5RUtCU3paWFUxZ3F3UT09,11,Par: SADLER'S WELLS  et KITHANGA (DARSHAAN),1.L (Corde:01),,MICHAEL TABOR/MME JOHN MAGNIER,AP. O'BRIEN,MR MICHAEL J.  KINANE,56 kg,45.735,,,,,2.0,FITTOCKS STUD LTD
6,little rock gb m.ps.+,bjN0NkdZMm0xRk5xWHgralpGQmh6Zz09,5,Par: WARNING  et MUCH TOO RISKY (BUSTINO),1.5 (Corde:16),,J.M.  GREETHAM,SIR MR. STOUTE,JAMES PETER  SPENCER,"59,5kg",,,,,,,JM. GREETHAM
7,hightori  m.ps. 4 a.,UWhuTjRaQjZpUGVHT1hLb0NjdVpTQT09,7,Par: VETTORI  et HIGH MECENE (HIGHEST HONOR),1/2 (Corde:09),,GARY A.  TANAKA,P. DEMERCASTEL,GERALD  MOSSE,"59,5kg",,,,,,,SCEA  ECURIE BADER
8,egyptband usa f.ps. 4 a.,bTF0a1pWZWQ3N29CUVFXMTVEM3NBQT09,9,Par: DIXIELAND BAND  et EGYPTOWN (TOP VILLE),3.L (Corde:10),,WERTHEIMER & FRERE,MME C. HEAD,OLIVIER  DOLEUZE,58 kg,,,,,,,WERTHEIMER & FRERE
9,anabaa blue (gb) m.ps. 3 a.,TDZWWU5GekZ4dWRDVzVobkh4Mk0xUT09,12,Par: ANABAA  et ALLEZ LES TROIS (RIVERMAN),2.5 (Corde:17),,CHARLES-ERIC  MIMOUNI,C. LERNER,CHRISTOPHE  SOUMILLON,56 kg,,,,,,,"HARAS D'ETREHAM,  M3 ELEVAGE"
10,foreign affairs gb m.ps. 3 a.,SUVEMTFjeEQ4bTA4cEV4MEJpV2ZuUT09,14,Par: HERNANDO  et ENTENTE CORDIALE (AFFIRMED),4.L (Corde:13),,THE SPECULATORS,SIR M. PRESCOTT,GEORGE  DUFFIELD,56 kg,,,,S,,,MLLE K. RAUSING
