Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,bago  m.ps. 3 a.,NzJIVnlBNlFhRzlic3JDWmFTZ1M5dz09,14,Par: NASHWAN  et MOONLIGHT'S BOX (NUREYEV),(Corde:05),,FAMILLE  NIARCHOS,JE. PEASE,THIERRY  GILLET,56 kg,914.24,,87.995,,,,SUC. S. NIARCHOS
2,cherry mix  m.ps. 3 a.,QmV0ckRkNXI0Q0JseWNnMDhsQVNxdz09,11,Par: LINAMIX  et CHERRY MOON (QUIET AMERICAN),1/2 (Corde:01),,FAMILLE  LAGARDERE,A. FABRE,CHRISTOPHE  SOUMILLON,56 kg,365.76,,35.204,,,2.0,SNC  LAGARDERE ELEVAGE
3,ouija board gb f.ps. 3 a.,VkNNTVc2bnJoWTg2dHVjMEFoWnU2dz09,20,Par: CAPE CROSS  et SELECTION BOARD (WELSH PAGEANT),1.L (Corde:09),,LORD   DERBY,EAL. DUNLOP,JOHN-PATRICK  MURTAGH,"54,5kg",182.88,,,,,,STANLEY ESTATE AND STUD CO.
4,acropolis ire m.ps. 3 a.,b0dKWDZVMkZSTlN0Z1B2VzNwTXBkUT09,13,Par: SADLER'S WELLS  et DEDICATED LADY (PENNINE WALK),2.L (Corde:19),,MICHAEL TABOR/MME JOHN MAGNIER,AP. O'BRIEN,JAMES PETER  SPENCER,56 kg,91.36,,,,,,"QUAY BLOODSTOCK,  SAMAC LTD"
5,north light ire m.ps. 3 a.,amMwaThOQUlmMFM0TXIra2RoVVVCUT09,9,Par: DANEHILL  et SOUGHT OUT (RAINBOW QUEST),CTT (Corde:12),,BALLYMACOLL STUD FARM LTD,SIR MR. STOUTE,KIEREN-FRANCIS  FALLON,56 kg,45.76,,,,,,BALLYMACOLL STUD FARM LTD
6,vallee enchantee (ire) f.ps. 4 a.,NDFzWTc1WThONWp3a3BwbjY4VEg0dz09,7,Par: PEINTRE CELEBRE  et VERVEINE (LEAR FAN),1/2 (Corde:16),,ECURIE WILDENSTEIN,E. LELLOUCHE,STEPHANE  PASQUIER,58 kg,,,,,,1.0,DAYTON INVESTMENTS LTD
7,latice (ire) f.ps. 3 a.,cWo2SFE1QTN4MzFMcVdlMjN6cjUydz09,19,Par: INCHINOR  et LARAMIE (GULCH),CTE (Corde:13),,ENRICO  CIAMPI,JM. BEGUIGNE,MR MICHAEL J.  KINANE,"54,5kg",,,,,,,PETRA BLOODSTOCK AGENCY LTD
8,silverskaya usa f.ps. 3 a.,OTYrL3Vpbmo4S3lIRGt4SFdBVHpyUT09,18,Par: SILVER HAWK  et BOUBSKAIA (NINISKI),2.5 (Corde:06),,EARL . CHAMP GIGNOUX,JC. ROUGET-(S),IORITZ  MENDIZABAL,"54,5kg",,,,,,,"M3 ELEVAGE,  HARAS D'ETREHAM,  PONTCHARTRAIN STUD"
9,warrsan ire m.ps. 6 a.,MFgydTJBQmZoaUdDTVZKaTdDUkFCUT09,4,Par: CAERLEON  et LUCAYAN PRINCESS (HIGH LINE),1/2 (Corde:08),,SAEED  MANANA,CE. BRITTAIN,KERRIN  MCEVOY,"59,5kg",,,,,,,S. MANANA
10,valixir (ire) m.ps. 3 a.,VUUzclVzRngwQko4UTZaUmRlWVg4QT09,12,Par: TREMPOLINO  et VADLAMIXA (LINAMIX),CTT (Corde:20),,FAMILLE  LAGARDERE,A. FABRE,MR ERIC  LEGRIX,56 kg,,,,,,2.0,SNC  LAGARDERE ELEVAGE
