Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,hurricane run ire m.ps. 3 a.,NXhNQ3U3NHhTQ1k4ZU9tSTc5Qmprdz09,13,Par: MONTJEU  et HOLD ON (SURUMU),(Corde:06),,M.TABOR/D.SMITH/S.MAGNIER,A. FABRE,KIEREN-FRANCIS  FALLON,56 kg,1.028.520,,,,,2.0,GESTUT AMMERLAND
2,westerner (gb) m.ps. 6 a.,NkRXM3c5TUloZ3BMSExvbkdyS2g4QT09,2,Par: DANEHILL  et WALENSEE (TROY),2.L (Corde:04),,ECURIE WILDENSTEIN,E. LELLOUCHE,OLIVIER  PESLIER,"59,5kg",411.480,,35.204,,,1.0,DAYTON INVESTMENTS LTD
3,bago  m.ps. 4 a.,NzJIVnlBNlFhRzlic3JDWmFTZ1M5dz09,5,Par: NASHWAN  et MOONLIGHT'S BOX (NUREYEV),1.5 (Corde:13),,FAMILLE  NIARCHOS,JE. PEASE,THIERRY  GILLET,"59,5kg",205.740,,17.602,,,,SUC. S. NIARCHOS
4,shirocco ger m.ps. 4 a.,UE5CN0FVb2pEckhpVU1NeWNFNHNDQT09,7,Par: MONSUN  et SO SEDULOUS (THE MINSTREL),3/4 (Corde:15),,BARON GEORG VON ULLMANN,A. FABRE,STEPHANE  PASQUIER,"59,5kg",102.780,,,,,,BARON G.VON ULLMANN
5,motivator gb m.ps. 3 a.,VnlRVW1Ic29FNlUyWENoZlk2a3JDZz09,12,Par: MONTJEU  et OUT WEST (GONE WEST),CTT (Corde:08),,ROYAL ASCOT RACING CLUB,MLW. BELL,JOHN-PATRICK  MURTAGH,56 kg,51.480,,,,,,DEERFIELD FARM
6,shawanda ire f.ps. 3 a.,ZEwrQmZLa2NhOUQ4emlFVkdUZTlZUT09,15,Par: SINNDAR  et SHAMAWNA (DARSHAAN),1.5 (Corde:01),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,"54,5kg",,,,,,3.0,S.A.  AGA KHAN
7,pride  f.ps. 5 a.,Ymhld1Y4K1B0Ni81bEU2akFBK0MyZz09,8,Par: PEINTRE CELEBRE  et SPECIFICITY (ALLEGED),1.5 (Corde:14),,FAIR SALINIA LTD,A.DE ROYER DUPRE,CHRISTOPHE-PATRICE  LEMAIRE,58 kg,,,,,,,FAIR SALINIA LTD
8,warrsan ire m.ps. 7 a.,MFgydTJBQmZoaUdDTVZKaTdDUkFCUT09,4,Par: CAERLEON  et LUCAYAN PRINCESS (HIGH LINE),1.5 (Corde:02),,SAEED  MANANA,CE. BRITTAIN,KERRIN  MCEVOY,"59,5kg",,,,,,,S. MANANA
9,mubtaker usa m.ps. 8 a.,dWFMZFVIYkVPaHBSMlNDM1BlbVNLQT09,1,Par: SILVER HAWK  et GAZAYIL (IRISH RIVER),3.L (Corde:09),,SHADWELL FRANCE,MP. TREGONING,RICHARD-JAMES  HILLS,"59,5kg",,,,,,,WW. ROSENTHAL
10,scorpion ire m.ps. 3 a.,K2tUZEFqcU5ZREVYZ0tvMlNLUXo0dz09,11,Par: MONTJEU  et ARDMELODY (LAW SOCIETY),1.5 (Corde:10),,MME JOHN MAGNIER/MICHAEL TABOR,AP. O'BRIEN,MR MICHAEL J.  KINANE,56 kg,,,,,,2.0,GRANGEMORE STUD
--,cherry mix  m.ps. 4 a.,QmV0ckRkNXI0Q0JseWNnMDhsQVNxdz09,3,Par: LINAMIX  et CHERRY MOON (QUIET AMERICAN),(Corde:11),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,,SNC  LAGARDERE ELEVAGE
--,norse dancer ire m.ps. 5 a.,clRYN3ZBc0RQb2JoTEdUSHJZamthUT09,6,Par: HALLING  et RIVER PATROL (ROUSILLON),(Corde:05),,JEFFREY COLIN  SMITH,DRC. ELSWORTH,JOHN  EGAN,"59,5kg",,,,,,,"B. FAUST, R. ERGNST"
--,samando  f.ps.+,Zk85ZCtxNkpUaUhtSm0xOVVwSTZBQT09,9,Par: HERNANDO  et SAMSHU (NASHWAN),(Corde:03),,HANS  WIRTH,F. DOUMEN (S),TERENCE  HELLIER,58 kg,,,,,,,B. ROOT
--,voltmeter (ire) m.ps. 3 a.,enhhcm8wMHljS0QrQ1pZSDVoUzNYUT09,10,Par: GIANT'S CAUSEWAY  et VERVEINE (LEAR FAN),(Corde:12),,ECURIE WILDENSTEIN,E. LELLOUCHE,MR THIERRY  THULLIEZ,56 kg,,,,,,1.0,DAYTON INVESTMENTS LTD
--,windya  f.ps. 3 a.,V0pnQWFmbjdyM2hGREtoWmk5UnpXdz09,14,Par: LINAMIX  et WINDY GULCH (GULCH),(Corde:07),,H.H.   AGA KHAN,JC. ROUGET-(S),THIERRY  JARNET,"54,5kg",,,,S,,3.0,SNC  LAGARDERE ELEVAGE
