Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,dylan thomas ire m.ps. 4 a.,c2hTVHkvbXJ6clRTR3UwTlZMRDJOUT09,2,Par: DANEHILL  et LAGRION (DIESIS),(Corde:06),,MME JOHN MAGNIER/MICHAEL TABOR,AP. O'BRIEN,KIEREN-FRANCIS  FALLON,"59,5kg",1.142.800,,,,,1.0,TOWER BLOODSTOCK
2,youmzain ire m.ps. 4 a.,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09,1,Par: SINNDAR  et SADIMA (SADLER'S WELLS),T (Corde:04),,JABER  ABDULLAH,MR. CHANNON,RICHARD  HUGHES,"59,5kg",457.200,,,,,,F. DUNNE
3,sagara usa m.ps. 3 a.,QU9BR0xQQzRVK3BVSjBVS0tHaWVZUT09,11,Par: SADLER'S WELLS  et RANGOON RUBY (KINGMAMBO),1.5 (Corde:11),,FAMILLE  NIARCHOS,JE. PEASE,THIERRY  GILLET,56 kg,228.600,,,,,,FLAXMAN HOLDINGS LTD
4,getaway ger m.ps. 4 a.,OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09,5,Par: MONSUN  et GUERNICA (UNFUWAIN),CTT (Corde:10),,BARON GEORG VON ULLMANN,A. FABRE,OLIVIER  PESLIER,"59,5kg",114.200,,,S,,,BARON G.VON ULLMANN
5,soldier of fortune ire m.ps. 3 a.,TlVwdUJtc1N6SEFGZk1aTThYYVRGdz09,10,Par: GALILEO  et AFFIANCED (ERINS ISLE),1/2 (Corde:05),,MME J.MAGNIER/D.SMITH/M.TABOR,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,56 kg,57.200,,,,,1.0,JS. BOLGER
6,saddex (gb) m.ps. 4 a.,cHFPQXFzVytvaGpaTXN5WTN2WjRTdz09,4,Par: SADLER'S WELLS  et REMOTE ROMANCE (IRISH RIVER),4.L (Corde:02),,STALL AVENA,P. RAU,MR TORSTEN  MUNDRY,"59,5kg",,,,,,,SUC. S. NIARCHOS
7,mandesha  f.ps. 4 a.,c2l4MEFnMXRsRHkvRnJLeVk2dXNCQT09,6,Par: DESERT STYLE  et MANDALARA (LAHIB),3/4 (Corde:03),,PCSSE ZAHRA  AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,58 kg,,,,,,,PCSSE Z. AGA KHAN
8,zambezi sun gb m.ps. 3 a.,L1Z1bVhvZ3VMNlQ5eDdOYVJVRXU2dz09,7,Par: DANSILI  et IMBABALA (ZAFONIC),2.5 (Corde:08),,SUC. KHALID  ABDULLAH,P. BARY (S),STEPHANE  PASQUIER,56 kg,,,,,,,JUDDMONTE FARMS IRELAND
9,dragon dancer gb m.ps. 4 a.,Mks0bm96Y3ZwNyt2SUp4WE45V1l2Zz09,3,Par: SADLER'S WELLS  et ALAKANANDA (HERNANDO),1.5 (Corde:01),,SUC. J.L.C.  PEARCE,SUC. G. WRAGG,DARRYLL-PAUL  HOLLAND,"59,5kg",,,,,,,"MLLE K. RAUSING,  ABBEY BLOODSTOCK LTD"
10,authorized ire m.ps. 3 a.,MGVYS2YwbTVFUHpuMmlSejNvOUNYQT09,12,Par: MONTJEU  et FUNSIE (SAUMAREZ),CTE (Corde:12),,SALEH AL HOMAIZI/IMAD AL SAGAR,PW. CHAPPLE-HYAM,LANFRANCO  DETTORI,56 kg,,,,,,,"MARENGO INVESTMENTS LIMITED,  KNIGHTON HOUSE LTD, MJ. KINANE"
--,SONG OF HIAWATHA GB M.PS. 3 a.,OUFyT1lLKzMxNVBUVG5oSk4xME9JUT09,8,Par: SADLER'S WELLS  et SABRIA (MISWAKI),(Corde:07),,D.SMITH/M.TABOR/MME J.MAGNIER,AP. O'BRIEN,DAVID  MC CABE,56 kg,,,,S,,1.0,ROCKWELL BLOODSTOCK
--,yellowstone ire m.ps. 3 a.,QkdLOENhdzBPbllkcm50WWtyVW13Zz09,9,Par: ROCK OF GIBRALTAR  et LOVE AND AFFECTION (EXCLUSIVE ERA),(Corde:09),,M.TABOR/MME J.MAGNIER/D.SMITH,AP. O'BRIEN,SUC. PATRICK JOSEPH  SMULLEN,56 kg,,,,,,1.0,TULLAMAINE CASTLE STUD & PARTN
