Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,treve  f.ps. 4 a.,d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09,8,Par: MOTIVATOR  et TREVISE (ANABAA),(Corde:03),,AL SHAQAB RACING,MME C. HEAD,THIERRY  JARNET,58 kg,2.857.000,,135.0,,,1.0,HARAS DU QUESNAY
2,flintshire gb m.ps. 4 a.,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,1,Par: DANSILI  et DANCE ROUTINE (SADLER'S WELLS),2.L (Corde:04),,SUC. KHALID  ABDULLAH,A. FABRE (S),MAXIME  GUYON,"59,5kg",1.143.000,,,,,,JUDDMONTE FARMS IRELAND
3,taghrooda gb f.ps. 3 a.,T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09,18,Par: SEA THE STARS  et EZIMA (SADLER'S WELLS),5/4 (Corde:15),,SHADWELL FRANCE,J. GOSDEN,PAUL  HANAGAN,"54,5kg",571.500,,,,,,SHADWELL ESTATE CO. LTD
4,kingston hill gb m.ps. 3 a.,MmZuaHFKMHNuc0RzbHJpN1Z3QUhEZz09,14,Par: MASTERCRAFTSMAN  et AUDACIEUSE (RAINBOW QUEST),3/4 (Corde:20),,P.D.  SMITH,R. VARIAN,ANDREA  ATZENI,56 kg,285.500,,,,,,RIDGECOURT STUD
5,dolniya  f.ps. 3 a.,WWRNU2l1QUQ4YktjMkZQUFBJRysrdz09,17,Par: AZAMOUR  et DALTAMA (INDIAN RIDGE),ENC (Corde:05),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,"54,5kg",143.000,,6.75,,,,S.A.  AGA KHAN
6,harp star jpn f.ps. 3 a.,aVIvN05EZW12VkNJa3ZyN1dXTU80QT09,19,Par: DEEP IMPACT  et HISTORIC STAR (FALBRAV),ENC (Corde:12),,CARROT FARM,H. MATSUDA,YUGA  KAWADA,"54,5kg",,,,,,,NORTHERN FARM
7,prince gibraltar  m.ps. 3 a.,T0FSOXFzQ0VpbVNickZvcm15c0FvQT09,13,Par: ROCK OF GIBRALTAR  et PRINCESS SOFIA (PENNEKAMP),T (Corde:09),,ECURIE LA VALLEE MARTIGNY EARL,JC. ROUGET-(S),JEAN-BERNARD  EYQUEM,56 kg,,,,,,,JF. GRIBOMONT
8,just a way jpn m.ps. 5 a.,RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09,7,Par: HEART'S CRY  et SIBYL (WILD AGAIN),CTT (Corde:14),,AKATSUKI  YAMATOYA,N. SUGAI,YUICHI  FUKUNAGA,"59,5kg",,,,,,,SHADAI CORPORATION INC
9,ruler of the world ire m.ps. 4 a.,T284Ny8xbGpaUUxSQXhJUDcrNTl4dz09,2,Par: GALILEO  et LOVE ME TRUE (KINGMAMBO),3/4 (Corde:06),,AL SHAQAB/MAGNIER/TABOR/SMITH,AP. O'BRIEN,LANFRANCO  DETTORI,"59,5kg",,,,,,1.0,SOUTHERN BLOODSTOCK
10,al kazeem gb m.ps. 6 a.,Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09,3,Par: DUBAWI  et KAZEEM (DARSHAAN),NEZ (Corde:07),,DANIEL JOHN  DEER,RJ. CHARLTON,JAMES WILLIAM  DOYLE,"59,5kg",,,,,,,"DJ. DEER,MME DJ. DEER"
11,avenir certain  f.ps. 3 a.,REdDazBNSHVPeDUxRzdXNElncFVBQT09,16,Par: LE HAVRE  et PUGGY (MARK OF ESTEEM),3/4 (Corde:01),,A.CARO/G.AUGUSTIN-NORMAND,JC. ROUGET-(S),CHRISTOPHE-PATRICE  LEMAIRE,"54,5kg",,,,,,,MME E. RIBARD
12,siljan's saga  f.ps. 4 a.,aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09,10,Par: SAGAMIX  et HUMORISTE (SAINT CYRIEN),NEZ (Corde:16),,E. PALLUAT DE BESSET / E. TASSIN,JP. GAUVIN,PIERRE-CHARLES  BOUDOT,58 kg,,,,,,,SUC. A. OUVRY
13,tapestry ire f.ps. 3 a.,a3ZsWE50QllNQ2p2M1hxM2pUQ2d2QT09,20,Par: GALILEO  et RUMPLESTILTSKIN (DANEHILL),1.L (Corde:08),,MAGNIER/TABOR/SMITH/FLAXMAN S.,AP. O'BRIEN,RYAN-LEE  MOORE,"54,5kg",,,,S,,,"ORPENDALE,SUC. S. NIARCHOS"
14,gold ship jpn m.ps. 5 a.,MlZBWmg3bVdCRmdqQzIxQ0lELzdIUT09,6,Par: STAY GOLD  et POINT FLAG (MEJIRO MCQUEEN),T (Corde:02),,KOBAYASHI EIICHI HOLDINGS LLC.,N. SUGAI,NORIHIRO  YOKOYAMA,"59,5kg",,,,,,,E. KOBAYASHI
15,chicquita (ire) f.ps. 4 a.,eTNtTHY4SXAxczc5ajZOTVp0OWxMZz09,9,Par: MONTJEU  et PRUDENZIA (DANSILI),1.5 (Corde:18),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOSEPH PATRICK  O'BRIEN,58 kg,,,,,,,MONCEAUX / SKYMARC
16,spiritjim  m.ps. 4 a.,WERKQUcxZHlmWnphSys3SjB4bXJSZz09,5,Par: GALILEO  et HIDDEN SILVER (ANABAA),NEZ (Corde:13),,HSPIRIT,P. BARY (S),STEPHANE  PASQUIER,"59,5kg",,,,,,,"HARAS DES SABLONNETS,COMTE H.DE TALHOUET-ROY,  BLOODSTOCK AMARVILLAS"
17,ectot (gb) m.ps. 3 a.,Mlp1ejhKMHZENFhrUHlqanc5V3NFZz09,11,Par: HURRICANE RUN  et TONNARA (LINAMIX),(Corde:10),,AL SHAQAB RACING,E. LELLOUCHE,GREGORY  BENOIST,56 kg,,,,,,1.0,MONCEAUX / SKYMARC
18,ivanhowe ger m.ps. 4 a.,ZGpkOS83OFFpWmJZWm1VOUdRQzk3dz09,4,Par: SOLDIER HOLLOW  et INDIGO GIRL (STERNKOENIG),(Corde:19),,GESTUT SCHLENDERHAN,JP. CARVALHO,WILLIAM  BUICK,"59,5kg",,,,,,,GESTUT SCHLENDERHAN
19,free port lux (gb) m.ps. 3 a.,c0U5QS90bmdJdFNCV3d6SWhEKzlRUT09,15,Par: OASIS DREAM  et ROYAL HIGHNESS (MONSUN),(Corde:17),,OLIVIER  THOMAS,FRE. HEAD (S),MICKAEL  BARZALONA,56 kg,,,,,,,ECURIE DES MONCEAUX
20,MONTVIRON  M.PS. 3 a.,NmlmTFY0WGZ6bTB0MGI1SkxLa2hwZz09,12,Par: LE HAVRE  et MANITA (PEINTRE CELEBRE),(Corde:11),,GERARD  AUGUSTIN-NORMAND,E. LELLOUCHE,CYRILLE  STEFAN,56 kg,,,,,,,FRANKLIN FINANCE S.A.
