Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,waldgeist gb m.ps. 5 a.,RG1DS2Y3R0tTdWJjNmk1ZWpuelpmQT09,2,Par: GALILEO  et WALDLERCHE (MONSUN),(Corde:03),,GESTUT AMMERLAND/NEWSELLS PARK,A. FABRE (S),PIERRE-CHARLES  BOUDOT,"59,5kg",2.857.000,,,,,,THE WALDLERCHE PARTNERSHIP
2,enable gb f.ps. 5 a.,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09,8,Par: NATHANIEL  et CONCENTRIC (SADLER'S WELLS),7/4 (Corde:09),,SUC. KHALID  ABDULLAH,J. GOSDEN,LANFRANCO  DETTORI,58 kg,1.143.000,,,,,,JUDDMONTE FARMS IRELAND
3,sottsass  m.ps. 3 a.,VmpxdVlzR1R1VGNtdUxJOGVxL0VGZz09,12,Par: SIYOUNI  et STARLET'S SISTER (GALILEO),7/4 (Corde:01),,WHITE BIRCH FARM,JC. ROUGET (S),CRISTIAN  DEMURO,"56,5kg",571.500,,27.0,,,,ECURIE DES MONCEAUX
4,japan gb m.ps. 3 a.,aER2UWw3NU5WUWlhNHZoRno1Y1FJdz09,10,Par: GALILEO  et SHASTYE (DANEHILL),1/2 (Corde:10),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,RYAN-LEE  MOORE,"56,5kg",285.500,,,,,,NEWSELLS PARK STUD
5,magical ire f.ps. 4 a.,SVBpN2FvMnJyN1hZYkJ2dUNVRWxDUT09,9,Par: GALILEO  et HALFWAY TO HEAVEN (PIVOTAL),6.L (Corde:08),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,DONNACHA AIDAN  O'BRIEN,58 kg,143.000,,,,,,"ORPENDALE,  CHELSTON (IRELAND),  WYNATT"
6,soft light  m.ps. 3 a.,dlFLNFhzN2c3WStrNWd3a090Zy9pQT09,11,Par: AUTHORIZED  et LIGHT SABER (KENDOR),3.5 (Corde:06),,CLAUDIO  MARZOCCO,JC. ROUGET (S),YUTAKA  TAKE,"56,5kg",,,,S,,,"SARL  JEDBURGH STUD,MME I. CORBANI"
7,kiseki jpn m.ps. 5 a.,RGpqVzFISThLazdkQm1zRVFKaDJuUT09,4,Par: RULERSHIP  et BLITZ FINALE (DEEP IMPACT),8.L (Corde:07),,MME TATSUE  ISHIKAWA,K. SUMII,CHRISTOPHE  SOUMILLON,"59,5kg",,,,,,,SHIMOKOBE FARM
8,nagano gold gb m.ps. 5 a.,bEZ1Zko4L2lMSG40aHRaa3owaVB4Zz09,7,Par: SIXTIES ICON  et NEVER ENOUGH (MONSUN),4.5 (Corde:11),,SYNDIKAT V3J,V. LUKA,MICKAEL  BARZALONA,"59,5kg",,,,,,,"J. KNIGHT, EJ. CANTILLON"
9,french king (gb) m.ps. 4 a.,bUZEU1hQSjJkbXFqNDBtcGhSSVFydz09,1,Par: FRENCH FIFTEEN  et MARINA PICCOLA (HALLING),4.5 (Corde:05),,S.A. CHEIKH ABDULLAH BIN KHALIFA  AL THA,HA. PANTALL,OLIVIER  PESLIER,"59,5kg",,,,,,,UMM QARN MANAGEMENT CO. LTD
10,ghaiyyath ire m.ps. 4 a.,OEVXa3VKb1gwRzVtenBOdkFVdjJBZz09,3,Par: DUBAWI  et NIGHTIME (GALILEO),2.5 (Corde:12),,GODOLPHIN,C. APPLEBY,WILLIAM  BUICK,"59,5kg",,,,,,,SPRINGBANK WAY STUD
11,blast onepiece jpn m.ps. 4 a.,bytINmx4MVZBT3Z1cGlVTTEzYUlTQT09,5,Par: HARBINGER  et TSURUMARU ONEPIECE (KING KAMEHAMEHA),NEZ (Corde:04),,SILK RACING CO. LTD,M. OTAKE,YUGA  KAWADA,"59,5kg",,,,,,,NORTHERN FARM
12,fierement jpn m.ps. 4 a.,cTI2WHFvOXhGY0pXUmJCSDBpRWgyQT09,6,Par: DEEP IMPACT  et LUNE D'OR (GREEN TUNE),15L (Corde:02),,SUNDAY RACING CO. LTD,T. TEZUKA,CHRISTOPHE-PATRICE  LEMAIRE,"59,5kg",,,,,,,NORTHERN RACING
