Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,carnegie ire m.ps. 3 a.,aURsenJ5KzdvSGhpOXhLT2xvN0NjZz09,0,Par: SADLER'S WELLS  et DETROIT (RIVERMAN),(Corde:02),,CHEIK MOHAMMED  AL MAKTOUM,A. FABRE,THIERRY  JARNET,56 kg,609.796,,,,,,SWETTENHAM STUD
2,hernando  m.ps. 4 a.,SklKaW9ZV0k2dnlobHR2Wlk0Q1Uydz09,0,Par: NINISKI  et WHAKILYRIC (MISWAKI),CTE (Corde:10),,SUC. S.  NIARCHOS,SUC. F. BOUTIN,CASH  ASMUSSEN,59 kg,243.918,,38.112,,,,SUC. S. NIARCHOS
3,apple tree  m.ps. 5 a.,R3kwbmR3ZnRKYlpjR2NuOG5OcmJ4UT09,0,Par: BIKALA  et POMME ROSE (CARVIN),1/2 (Corde:01),,SULTAN  AL KABEER,A. FABRE,MR JOHN-ANDREW  REID,59 kg,121.959,,19.056,,,,SUC. P.DE MOUSSAC
4,ezzoud ire m.ps.+,cDlLZ3poRWZYOVZ0cVhSKzFSaHVSUT09,0,Par: LAST TYCOON  et ROYAL SISTER II (CLAUDE),CTE (Corde:03),,SUC. MAKTOUM  AL MAKTOUM,SIR MR. STOUTE,MR WALTER-ROBERT  SWINBURN,59 kg,60.98,,,,,,TJ. MONAGHAN
5,bright moon usa f.ps.+,TXBPQlhTdWpIdnE4amFzc3lvd1BtZz09,0,Par: ALYSHEBA  et BONSHAMILE (ILE DE BOURBON),CTT (Corde:04),,SUC. DANIEL  WILDENSTEIN,A. FABRE,OLIVIER  PESLIER,"57,5kg",,,,,,,ALLEZ FRANCE STABLES
6,white muzzle gb m.ps. 4 a.,R2JzOXpndkhFeWFsWVRHb3dHM0R6Zz09,0,Par: DANCING BRAVE  et FAIR OF THE FURZE (ELA MANA MOU),1.L (Corde:09),,TERUYA  YOSHIDA,PW. CHAPPLE-HYAM,YUTAKA  TAKE,59 kg,,,,,,,AIRLIE STUD
7,only royale ire f.ps. 5 a.,dFhkeERHK0JNRWpQUnQzdTE3dmp4dz09,0,Par: CAERLEON  et ETOILE DE PARIS (CROWNED PRINCE),ENC (Corde:07),,GIUSEPPE  SAINAGHI,LM. CUMANI,LANFRANCO  DETTORI,"57,5kg",,,,,,,BARRONSTOWN STUD
8,lando ger m.ps. 4 a.,KzhDK2dKUjVJM0p2eUw1VFUvT0ZSQT09,0,Par: ACATENANGO  et LAUREA (SHARPMAN),3/4 (Corde:20),,GESTUT HAUS ITTLINGEN,H. JENTZSCH,MICHAEL  ROBERTS,59 kg,,,,,,,GESTUT ITTLINGEN
9,millkom gb m.ps. 3 a.,WXNMTFRrS3h2Z3paQWNEb1RMTUh6Zz09,0,Par: CYRANO DE BERGERAC  et GOOD GAME (MUMMY'S GAME),T (Corde:12),,JEAN-CLAUDE  GOUR,JC. ROUGET,MR JEAN-RENE  DUBOSC,56 kg,,,,,,,RG. PERCIVAL
10,king's theatre ire m.ps. 3 a.,ZlFKRTluczZqT3pRdEdVOTZTVFFQZz09,0,Par: SADLER'S WELLS  et REGAL BEAUTY (PRINCELY NATIVE),1/2 (Corde:05),,CHEIK MOHAMMED  AL MAKTOUM,SUC. HRA. CECIL,MR MICHAEL J.  KINANE,56 kg,,,,,,,M. POLAND
