Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,helissio  m.ps. 3 a.,NVRMa3p3MjduelJRSUxRRU0vU2xQZz09,14,Par: FAIRY KING  et HELICE (SLEWPY),(Corde:05),,SUC. ENRIQUE  SARASOLA,E. LELLOUCHE,OLIVIER  PESLIER,56 kg,609.796,,95.281,,,,ECURIE SKYMARC FARM
2,pilsudski ire m.ps. 4 a.,T1FSUTdXMWFzaEhxc2lINnVXTFFHZz09,5,Par: POLISH PRECEDENT  et COCOTTE (TROY),5.L (Corde:10),,LORD WEINSTOCK/SUC S.WEINSTOCK,SIR MR. STOUTE,MR WALTER-ROBERT  SWINBURN,"59,5kg",243.918,,,,,,BALLYMACOLL STUD FARM LTD
3,oscar schindler ire m.ps. 4 a.,ZUNocmNGWVFTME9hN24zRjFwQy9MZz09,4,Par: ROYAL ACADEMY  et SARADAY (NORTHFIELDS),CTE (Corde:11),,OLIVER  LEHANE,K. PRENDERGAST,CASH  ASMUSSEN,"59,5kg",121.959,,,,,,O. LEHANE
4,swain ire m.ps. 4 a.,ZWhsREtNSWVCN0FBVUlKcmhUR2szQT09,1,Par: NASHWAN  et LOVE SMITTEN (KEY TO THE MINT),1.L (Corde:13),,CHEIK MOHAMMED  AL MAKTOUM,A. FABRE,THIERRY  JARNET,"59,5kg",60.98,,,,,1.0,CHEIK MOBR. AL MAKTOUM
5,luna wells (ire) f.ps. 3 a.,eGZRRkMybVdVeEJBZnlVVnU1ZDczZz09,15,Par: SADLER'S WELLS  et LUNADIX (BRETON),1.5 (Corde:09),,SNC   LAGARDERE ELEVAGE,A. FABRE,MR THIERRY  THULLIEZ,"54,5kg",30.49,,4.764,,,,SNC  LAGARDERE ELEVAGE
6,le destin  m.ps. 3 a.,TVVVTlREMCtHTGlhVDY2eTVOQWgwZz09,12,Par: ZAYYANI  et MY DARLING (ELA MANA MOU),3/4 (Corde:01),,MICHEL  DEBEUSSCHER,P. DEMERCASTEL,MR DOMINIQUE  BOEUF,56 kg,,,,,,,"M. DEBEUSSCHER, JC. DEBEUSSCHER"
7,shaamit ire m.ps.+,MWdFM0xSdlRUanY2YU56bGdNb0N1UT09,8,Par: MTOTO  et SHOMOOSE (HABITAT),1/2 (Corde:06),,KHALIFA  DASMAL,WJ. HAGGAS,SUC. PAT  EDDERY,56 kg,,,,,,,K. DASMAL
8,leeds (ire) m.ps.+,R2VBaHVicytuVkNpN2pZYzNWdWlNZz09,6,Par: LAW SOCIETY  et MISS PERSIA (PERSIAN BOLD),1/2 (Corde:08),,SUC. ROLAND  SOULA,SUC. H. VAN DE POELE,OLIVIER  DOLEUZE,"59,5kg",,,,,,,SUC. R. SOULA
9,leonila ire f.ps. 3 a.,SWlKZFJ5a3FkSGdDcHdmQVo4RmowQT09,16,Par: CAERLEON  et DINALINA (TOP VILLE),CTT (Corde:04),,R.C.  STRAUSS,ROB. COLLET,MR GUY  GUIGNARD,"54,5kg",,,,,,,KILFRUSH STUD FARM
10,pentire gb m.ps. 4 a.,VUpUUWx4a3QyTmpiVVZzT0JoK3Q4QT09,7,Par: BE MY GUEST  et GULL NOOK (MILL REEF),1.L (Corde:07),,TERUYA  YOSHIDA,SUC. G. WRAGG,MICHAEL  HILLS,"59,5kg",,,,,,,LORD  HALIFAX
--,tamure ire m.ps. 4 a.,WXJuYlN5MGZ6clFyZmhvQjJ0RklVUT09,2,Par: SADLER'S WELLS  et THREE TAILS (BLAKENEY),(Corde:14),,CHEIK MOHAMMED  AL MAKTOUM,J. GOSDEN,MR FREDERIC  HEAD,"59,5kg",,,,,,1.0,CHEIK MOBR. AL MAKTOUM
--,classic cliche ire m.ps. 4 a.,VUEzZ2xMNUZZd0ZBb2dvU2VHOWtDZz09,3,Par: SALSE  et PATO (HIGH TOP),(Corde:12),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,1.0,LORD  MATTHEWS
--,radevore gb m.ps. 3 a.,cE5pUUoxSitwdGM5STNUR3VmUGV5UT09,9,Par: GENEROUS  et BLOUDAN (DAMASCUS),(Corde:02),,SUC. KHALID  ABDULLAH,A. FABRE,MR SYLVAIN  GUILLOT,56 kg,,,,,,,JUDDMONTE FARMS IRELAND
--,darazari ire m.ps. 3 a.,bEVjQ24rSEsvSENHckljazNxc2Q5Zz09,10,Par: SADLER'S WELLS  et DARARA (TOP VILLE),(Corde:16),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,56 kg,,,,,,,S.A.  AGA KHAN
--,zagreb usa m.ps. 3 a.,MHNITFFMYS9OR2g5Vkt2RHl6OHpPQT09,13,Par: THEATRICAL  et SOPHONISBE (WOLLOW),(Corde:03),,SUC. ALLEN  PAULSON,DK. WELD,MR MICHAEL J.  KINANE,56 kg,,,,,,,SUC. A. PAULSON
TB,polaris flight usa m.ps. 3 a.,dUJXR1p5ci8wNnNDazZ5R0NxengyUT09,11,Par: NORTHERN FLAGSHIP  et ANYTIMEATALL (IT'S FREEZING),(Corde:15),,MITAAB  BIN ABDULLAH,PW. CHAPPLE-HYAM,MR JOHN-ANDREW  REID,56 kg,,,,,,,B. VAN DEN DOOL
