Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,sagamix  m.ps. 3 a.,NS9GM3M5SEFXNjJrSjI0aUl2RzluQT09,8,Par: LINAMIX  et SAGANECA (SAGACE),(Corde:07),,SNC   LAGARDERE ELEVAGE,A. FABRE,OLIVIER  PESLIER,56 kg,609.796,,95.281,,,2.0,SNC  LAGARDERE ELEVAGE
2,leggera ire f.ps. 3 a.,a2d4UWRmNmlEL3lKWEExeGZMY2ROZz09,14,Par: SADLER'S WELLS  et LADY AMBASSADOR (GENERAL ASSEMBLY),ENC (Corde:02),,SUC. HILDEGARD  FOCKE,SUC. JL. DUNLOP,THOMAS-RICHARD  QUINN,"54,5kg",243.918,,,S,,,SUC. H. FOCKE
3,tiger hill ire m.ps. 3 a.,KzF6Y3V2TDE4YTUwS054TEJjWC83Zz09,12,Par: DANEHILL  et THE FILLY (APPIANI),3/4 (Corde:09),,BARON GEORG VON ULLMANN,P. SCHIERGEN,ANDREAS  SUBORICS,56 kg,121.959,,,,,,GESTUT WITTEKINDSHOF
4,croco rouge ire m.ps. 3 a.,b1FicmRzR2x5dFVEd2JrVi9ERW1nQT09,10,Par: RAINBOW QUEST  et ALLIGATRIX (ALLEGED),3/4 (Corde:13),,WAFIC  SAID,P. BARY (S),MR SYLVAIN  GUILLOT,56 kg,60.98,,,,,,"W. LAZY, CH. WACKER"
5,caitano gb m.ps. 4 a.,YXBUWDVLZ3ovVDlkU3BCRnpWK0tOdz09,4,Par: NINISKI  et EVERSINCE (FOOLISH PLEASURE),3/4 (Corde:05),,GARY A.  TANAKA,A. SCHUTZ,ANDRASCH  STARKE,"59,5kg",30.49,,,,,,OVERBURY STUD
6,fragrant mix (ire) m.ps.+,UTFsekZtRUQ4TnNRTW4rck0zU1Zwdz09,3,Par: LINAMIX  et FRAGRANT HILL (SHIRLEY HEIGHTS),1/2 (Corde:01),,SNC   LAGARDERE ELEVAGE,A. FABRE,MR ALAIN  JUNK,"59,5kg",,,,,,2.0,SNC  LAGARDERE ELEVAGE
7,high rise ire m.ps. 3 a.,RXhxU0k1a0ZVWVVyT0RSRWYrcG5sUT09,6,Par: HIGH ESTATE  et HIGH TERN (HIGH LINE),T (Corde:06),,CHEIK MOHAMMED OBAID  AL MAKTOUM,LM. CUMANI,MR MICHAEL J.  KINANE,56 kg,,,,,,,CHEIK MOBR. AL MAKTOUM
--,posidonas gb m.ps. 6 a.,WlBBRkdSeEt6ekVWTUtnMzZKazlmZz09,1,Par: SLIP ANCHOR  et TAMASSOS (DANCE IN TIME),(Corde:03),,ATHOS  CHRISTODOULOU,PFI. COLE,SUC. PAT  EDDERY,"59,5kg",,,,,,,A. CHRISTODOULOU
--,happy valentine gb m.ps. 4 a.,MFdUQ2dKK2VRN1NEN1ZZVDFmMkpXUT09,2,Par: RAINBOW QUEST  et NEARCTIC FLAME (SADLER'S WELLS),(Corde:11),,GODOLPHIN,S. BIN SUROOR,DARAGH  O'DONOHOE,"59,5kg",,,,,,1.0,CHEVELEY PARK STUD
--,limpid gb m.ps. 3 a.,MlNxdkxLaTV6dm5WcWF2QnNpWHBrUT09,5,Par: SOVIET STAR  et ISLE OF GLASS (AFFIRMED),(Corde:10),,CHEIK MOHAMMED  AL MAKTOUM,A. FABRE,THIERRY  JARNET,56 kg,,,,S,,1.0,CHEIK MOBR. AL MAKTOUM
--,sea wave ire m.ps. 3 a.,WU53WFJRTlpydk1XOTBPR2pUNzVPZz09,7,Par: SADLER'S WELLS  et THREE TAILS (BLAKENEY),(Corde:08),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,56 kg,,,,S,,1.0,CHEIK MOBR. AL MAKTOUM
--,dream well  m.ps. 3 a.,SzlTc1FMTk5YODJpTUtITG4rdUY2QT09,9,Par: SADLER'S WELLS  et SOUL DREAM (ALLEGED),(Corde:14),,FAMILLE NIARCHOS/J.L. BOUCHARD,P. BARY (S),CASH  ASMUSSEN,56 kg,,,,,,,SUC. S. NIARCHOS
--,courteous gb m.ps. 3 a.,Q2RLVEl6SWJacGVWNHVicG5nUmUvQT09,11,Par: GENEROUS  et DAYANATA (SHIRLEY HEIGHTS),(Corde:04),,SUC. FAHD  SALMAN,PFI. COLE,KIEREN-FRANCIS  FALLON,56 kg,,,,,,,NEWGATE STUD CO.
--,zainta ire f.ps.+,ZnhnRjBWWnlzdXI0alJhcEllNGMyQT09,13,Par: KAHYASI  et ZAILA (DARSHAAN),(Corde:12),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,"54,5kg",,,,,,,S.A.  AGA KHAN
