Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,montjeu (ire) m.ps. 3 a.,alRCUjJscmNsR0xuQUFjV2d1cVpOZz09,11,Par: SADLER'S WELLS  et FLORIPEDES (TOP VILLE),(Corde:04),,MICHAEL  TABOR,JE. HAMMOND,MR MICHAEL J.  KINANE,56 kg,609.796,,95.281,,,1.0,SUC. J. GOLDSMITH
2,el condor pasa usa m.ps. 4 a.,cEZDR25PdjRiTEk2OUlsVmgvS1VHQT09,5,Par: KINGMAMBO  et SADDLERS GAL (SADLER'S WELLS),1/2 (Corde:01),,TAKASHI  WATANABE,Y. NINOMIYA,MASAYOSHI  EBINA,"59,5kg",243.918,,,,,,T. WATANABE
3,croco rouge ire m.ps. 4 a.,b1FicmRzR2x5dFVEd2JrVi9ERW1nQT09,2,Par: RAINBOW QUEST  et ALLIGATRIX (ALLEGED),6.L (Corde:14),,W.SAID/IRISH NATIONAL STUD,P. BARY (S),THIERRY  JARNET,"59,5kg",121.959,,,,,,"W. LAZY, CH. WACKER"
4,leggera ire f.ps. 4 a.,a2d4UWRmNmlEL3lKWEExeGZMY2ROZz09,7,Par: SADLER'S WELLS  et LADY AMBASSADOR (GENERAL ASSEMBLY),5.L (Corde:08),,SUC. HILDEGARD  FOCKE,SUC. JL. DUNLOP,THOMAS-RICHARD  QUINN,58 kg,60.98,,,,,,SUC. H. FOCKE
5,tiger hill ire m.ps. 4 a.,KzF6Y3V2TDE4YTUwS054TEJjWC83Zz09,4,Par: DANEHILL  et THE FILLY (APPIANI),3/4 (Corde:06),,BARON GEORG VON ULLMANN,P. SCHIERGEN,TERENCE  HELLIER,"59,5kg",30.49,,,,,,GESTUT WITTEKINDSHOF
6,greek dance ire m.ps. 4 a.,S1V3bDJ3elR2M28vODRMckRuczVZQT09,6,Par: SADLER'S WELLS  et HELLENIC (DARSHAAN),ENC (Corde:05),,SUC. LORD  WEINSTOCK,SIR MR. STOUTE,KIEREN-FRANCIS  FALLON,"59,5kg",,,,,,,BALLYMACOLL STUD FARM LTD
7,borgia ger f.ps. 5 a.,Ri9OeUVIOXBCWmtlSnZLZ3htQm03UT09,8,Par: ACATENANGO  et BRITANNIA (TARIM),2.L (Corde:11),,GESTUT AMMERLAND,A. FABRE,OLIVIER  PESLIER,58 kg,,,,,,,GESTUT AMMERLAND
--,daylami ire m.ps. 5 a.,K2wvMS8vK3RBcThtYW55RVQ5ckVDUT09,1,Par: DOYOUN  et DALTAWA (MISWAKI),(Corde:10),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,,S.A.  AGA KHAN
--,albaran ger m.ps. 6 a.,cWczYkxoRXhVS0JtamoxOE9xM0FPQT09,3,Par: SURE BLADE  et ARAQUEEN (KONIGSSTUHL),(Corde:12),,STALL ALBARAN,MME C. ERICHSEN,JANOS  TANDARI,"59,5kg",,,,,,,GESTUT ERLENGRUND
--,fantastic light usa m.ps. 3 a.,TE5HN1AwZGpoU05FNlhZS1RwMEN2UT09,9,Par: RAHY  et JOOD (NIJINSKY),(Corde:13),,SUC. MAKTOUM  AL MAKTOUM,SIR MR. STOUTE,MR JOHN-ANDREW  REID,56 kg,,,,,,,GAINSBOROUGH FARM INC.
--,GENGHIS KHAN IRE M.PS. 3 a.,ZTVNYng4K3JFMHQrYVZrTmFDdFl3dz09,10,Par: SADLER'S WELLS  et DOFF THE DERBY (MASTER DERBY),(Corde:02),,MME JOHN MAGNIER/MICHAEL TABOR,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,56 kg,,,,,,1.0,"BARRONSTOWN STUD,  RON CON LTD"
--,daryaba ire f.ps. 3 a.,cit6d2drLzlXUjZlWjJpQ2pTemJwUT09,12,Par: NIGHT SHIFT  et DARATA (VAYRANN),(Corde:03),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,"54,5kg",,,,,,,S.A.  AGA KHAN
--,flamingo road ger f.ps. 3 a.,YUdaZEZBU0JGeXJxZlBNSkMycmY0dz09,13,Par: ACATENANGO  et FABULA DANCER (NORTHERN DANCER),(Corde:07),,HELMUT VON FINCK,A. SCHUTZ,ANDRASCH  STARKE,"54,5kg",,,,,,,H. VON FINCK
--,cerulean sky ire f.ps. 3 a.,eko4SkZmckJnYkRIcDlrdlUxZEQzdz09,14,Par: DARSHAAN  et SOLO DE LUNE (LAW SOCIETY),(Corde:09),,R.C.  STRAUSS,ROB. COLLET,MR SYLVAIN  GUILLOT,"54,5kg",,,,,,,KILFRUSH STUD FARM
