Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,marienbard ire m.ps. 5 a.,Q09vZGtmR2t2T1Q5UHIvNldWVTNkZz09,4,Par: CAERLEON  et MARIENBAD (DARSHAAN),(Corde:03),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",914.24,,,,,,S. ALI
2,sulamani (ire) m.ps. 3 a.,bks5ejRHSWhPa3o0R2pPY3MzR3lnQT09,14,Par: HERNANDO  et SOUL DREAM (ALLEGED),3/4 (Corde:13),,FAMILLE  NIARCHOS,P. BARY (S),MR THIERRY  THULLIEZ,56 kg,365.76,,35.204,,,1.0,SUC. S. NIARCHOS
3,high chaparral ire m.ps. 3 a.,YjZpZDB0a1NCSGZsSjViT0RnUXNSZz09,13,Par: SADLER'S WELLS  et KASORA (DARSHAAN),1/2 (Corde:05),,MICHAEL TABOR/MME JOHN MAGNIER,AP. O'BRIEN,MR MICHAEL J.  KINANE,56 kg,182.88,,,,,2.0,S. COUGHLAN
4,califet  m.ps. 4 a.,YkZpSkE2Z29lWFVLdTZJTmZaSzJ5dz09,2,Par: FREEDOM CRY  et SALLY'S ROOM (KENDOR),1/2 (Corde:01),,MME ENRIQUITA  GARCIA-GONZALEZ,G. CHEREL,THIERRY  JARNET,"59,5kg",91.36,,8.793,,,,SUC. D. MILIN
5,islington ire f.ps. 3 a.,QjZ0UVJQeU5nemVUcUkxMnBDZk1TUT09,16,Par: SADLER'S WELLS  et HELLENIC (DARSHAAN),CTE (Corde:09),,SUC. LORD  WEINSTOCK,SIR MR. STOUTE,KIEREN-FRANCIS  FALLON,"54,5kg",45.76,,,,,,BALLYMACOLL STUD FARM LTD
6,aquarelliste  f.ps. 4 a.,Y2s5ZWxMbTd0SGo3TU1SejBhRUhHdz09,11,Par: DANEHILL  et AGATHE (MANILA),3/4 (Corde:02),,ECURIE WILDENSTEIN,E. LELLOUCHE,MR DOMINIQUE  BOEUF,58 kg,,,,,,,ALLEZ FRANCE STABLES
7,anabaa blue (gb) m.ps. 4 a.,TDZWWU5GekZ4dWRDVzVobkh4Mk0xUT09,5,Par: ANABAA  et ALLEZ LES TROIS (RIVERMAN),1.5 (Corde:08),,CHARLES-ERIC  MIMOUNI,C. LERNER,CHRISTOPHE  SOUMILLON,"59,5kg",,,,,,,"HARAS D'ETREHAM,  M3 ELEVAGE"
8,fair mix (ire) m.ps. 4 a.,RWNDQk00cG02VnVyMzVRaHFmS3RtZz09,1,Par: LINAMIX  et FAIRLEE WILD (WILD AGAIN),1.5 (Corde:15),,ECURIE WEEK-END,MARC. ROLLAND,STEPHANE  PASQUIER,"59,5kg",,,,,,,SNC  LAGARDERE ELEVAGE
9,falbrav ire m.ps. 4 a.,aE1odW1mRzZGcXRhN3NyZTZ5VXZkUT09,10,Par: FAIRY KING  et GIFT OF THE NIGHT (SLEWPY),CTT (Corde:07),,SCUDERIA RENCATI SRL,L. D'AURIA,OLIVIER  PESLIER,"59,5kg",,,,,,,AZIENDA AGRICOLA FRANCESCA
10,black sam bellamy ire m.ps. 3 a.,eW9wL1M0ajNpYjhGTkRXb2RXNWx4Zz09,12,Par: SADLER'S WELLS  et URBAN SEA (MISWAKI),1.5 (Corde:11),,MICHAEL TABOR/MME JOHN MAGNIER,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,56 kg,,,,,,2.0,"SUNDERLAND HOLDING INC.,  ORPENDALE"
--,boreal ger m.ps. 4 a.,ZlA4aUpVd3Q1TitUaCtpellFMEdndz09,3,Par: JAVA GOLD  et BRITANNIA (TARIM),(Corde:04),,GESTUT AMMERLAND,P. SCHIERGEN,ANDREAS  SUBORICS,"59,5kg",,,,,,,GESTUT AMMERLAND
--,foundation spirit  m.ps. 4 a.,ZzZtNWwyQzk1TytwNHJlUGxLUzNDZz09,6,Par: HERNANDO  et FANNY'S COVE (MILL REEF),(Corde:14),,ROBERT  NG,F. DOUMEN,GERALD  MOSSE,"59,5kg",,,,,,,ELEVAGE HARAS DE BOURGEAUVILLE
--,sensible  m.ps. 4 a.,UUpzcTgxS05zWSs3Mi9vUVVoR252dz09,7,Par: SADLER'S WELLS  et RAISONNABLE (COMMON GROUNDS),(Corde:06),,FAMILLE  NIARCHOS,P. BARY (S),CHRISTOPHE-PATRICE  LEMAIRE,"59,5kg",,,,,,1.0,SUC. S. NIARCHOS
--,manhattan cafe jpn m.ps. 4 a.,TWZ4T3dBcGptelhUbktJTkNjSS9Qdz09,8,Par: SUNDAY SILENCE  et SUBTLE CHANGE (LAW SOCIETY),(Corde:12),,K. NISHIKAWA/T. YOSHIDA,F. KOJIMA,MASAYOSHI  EBINA,"59,5kg",,,,,,,SHADAI FARM
--,asian heights gb m.ps. 4 a.,VDJXUjNCTXkwZTlOL0liQU5JV0padz09,9,Par: HERNANDO  et MISS RINJANI (SHIRLEY HEIGHTS),(Corde:16),,SUC. J.L.C.  PEARCE,SUC. G. WRAGG,DARRYLL-PAUL  HOLLAND,"59,5kg",,,,,,,SUC. JLC. PEARCE
--,ana marie  f.ps. 3 a.,S0Iza3YvSXpueEtNOWpPWjZPZGFUdz09,15,Par: ANABAA  et MARIE DE KEN (KENDOR),(Corde:10),,SCEA . ECURIE BADER,P. DEMERCASTEL,MR DAVY  BONILLA,"54,5kg",,,,,,,SCEA  ECURIE BADER
