Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,zarkava ire f.ps. 3 a.,YWNmUDA5eEQ3dFgyNElBa3B0MlRJQT09,16,Par: ZAMINDAR  et ZARKASHA (KAHYASI),(Corde:01),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,"54,5kg",2.285.600,,,,,,S.A.  AGA KHAN
2,youmzain ire m.ps. 5 a.,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09,1,Par: SINNDAR  et SADIMA (SADLER'S WELLS),2.L (Corde:03),,JABER  ABDULLAH,MR. CHANNON,RICHARD-JAMES  HILLS,"59,5kg",914.400,,,,,,F. DUNNE
3,soldier of fortune ire m.ps. 4 a.,TlVwdUJtc1N6SEFGZk1aTThYYVRGdz09,6,Par: GALILEO  et AFFIANCED (ERINS ISLE),1/2 (Corde:09),,MME J.MAGNIER/D.SMITH/M.TABOR,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",342.800,,,,,1.0,JS. BOLGER
3,it's gino ger m.ps. 5 a.,MjlMSlBkbnpHN0NCNXZ3aklVbG5jQT09,9,Par: PERUGINO  et IMELDA (LOMITAS),1/2 (Corde:02),,STALL 5 STARS,P. VOVCENKO,MR THIERRY  THULLIEZ,"59,5kg",342.800,,,,,,MME B. NUTTELMANN
5,vision d'etat  m.ps.+,RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09,12,Par: CHICHICASTENANGO  et UBERABA (GARDE ROYALE),1.L (Corde:08),,JACQUES  DETRE,E. LIBAUD,IORITZ  MENDIZABAL,56 kg,114.400,,4.404,,,,SUC. G. GILLES
6,ask gb m.ps. 5 a.,TUlnUHpYTm15RUo2Q2NVSjFqU0pDUT09,3,Par: SADLER'S WELLS  et REQUEST (RAINBOW QUEST),ENC (Corde:15),,PATRICK  FAHEY,SIR MR. STOUTE,RYAN-LEE  MOORE,"59,5kg",,,,,,,SIDE HILL STUD
7,duke of marmalade ire m.ps. 4 a.,NUd5ZTFPNUQwNmp4OGlsY0hwOVliQT09,7,Par: DANEHILL  et LOVE ME TRUE (KINGMAMBO),T (Corde:14),,MME JOHN MAGNIER/MICHAEL TABOR,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,"59,5kg",,,,,,1.0,SOUTHERN BLOODSTOCK
8,getaway ger m.ps. 5 a.,OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09,11,Par: MONSUN  et GUERNICA (UNFUWAIN),1.L (Corde:07),,BARON GEORG VON ULLMANN,A. FABRE,OLIVIER  PESLIER,"59,5kg",,,,,,,BARON G.VON ULLMANN
9,cima de triomphe ire m.ps. 3 a.,aUtYaVhKMkJzQzFEblB5Q0NsU09hZz09,15,Par: GALILEO  et SOPRAN LONDA (DANEHILL),1.L (Corde:16),,TERUYA  YOSHIDA,B. GRIZZETTI,DARIO  VARGIU,56 kg,,,,,,,SOFIM SRL
10,meisho samson jpn m.ps. 5 a.,czMzdVMvOTdNaTU4V1cvaHFUeU5kZz09,5,Par: OPERA HOUSE  et MY VIVIEN (DANCING BRAVE),CTT (Corde:04),,YOSHIO  MATSUMOTO,S. TAKAHASHI,YUTAKA  TAKE,"59,5kg",,,,,,,K. HAYASHI
--,zambezi sun gb m.ps. 4 a.,L1Z1bVhvZ3VMNlQ5eDdOYVJVRXU2dz09,2,Par: DANSILI  et IMBABALA (ZAFONIC),(Corde:11),,SUC. KHALID  ABDULLAH,P. BARY (S),STEPHANE  PASQUIER,"59,5kg",,,,,,,JUDDMONTE FARMS IRELAND
--,schiaparelli ger m.ps. 5 a.,RytjT25OdVpEVlhBbHFFYzBUdXAyQT09,4,Par: MONSUN  et SACARINA (OLD VIC),(Corde:10),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,,GESTUT KARLSHOF
--,papal bull gb m.ps. 5 a.,OHRGVnJJcVBuaExzMGxtQld4ckRJQT09,8,Par: MONTJEU  et MIALUNA (ZAFONIC),(Corde:05),,PAPAL BULL SYNDICATE,SIR MR. STOUTE,JIMMY  FORTUNE,"59,5kg",,,,,,,"BH. SIMPSON, CFD. SIMPSON"
--,red rock canyon ire m.ps. 4 a.,VERWUENCaGRhQUNZY1drMjdFNEJtZz09,10,Par: ROCK OF GIBRALTAR  et IMAGINE (SADLER'S WELLS),(Corde:13),,TABOR/MAGNIER/SMITH/NAGLE,AP. O'BRIEN,COLM  O'DONOGHUE,"59,5kg",,,,,,1.0,"BEAVERSTONE,  TOWER BLOODSTOCK"
--,kamsin ger m.ps. 3 a.,cE5mVGNibzZ2UDF3NjV2cGZ1a1VvUT09,13,Par: SAMUM  et KAPITOL (WINGED LOVE),(Corde:12),,STALL BLANKENESE,P. SCHIERGEN,JOHAN  VICTOIRE,56 kg,,,,S,,,GESTUT KARLSHOF
--,blue bresil  m.ps. 3 a.,bXN4Y3dmQ1FiOFpPUEU5TU1ZV2xRZz09,14,Par: SMADOUN  et MISS RECIF (EXIT TO NOWHERE),(Corde:06),,SUC. FREDDY  TONDELIER,L. LARRIGADE,MR WILLIAM  MONGIL,56 kg,,,,,,,JL. PARIENTE
