Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,sea the stars ire m.ps. 3 a.,c3NOZGpYL21vTnJBVXo4NXJaZWdRdz09,18,Par: CAPE CROSS  et URBAN SEA (MISWAKI),(Corde:06),,CHRISTOPHER  TSUI,J. OXX,MR MICHAEL J.  KINANE,56 kg,2.285.600,,,,,,SUNDERLAND HOLDING INC.
2,youmzain ire m.ps. 6 a.,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09,1,Par: SINNDAR  et SADIMA (SADLER'S WELLS),2.L (Corde:01),,JABER  ABDULLAH,MR. CHANNON,KIEREN-FRANCIS  FALLON,"59,5kg",914.400,,,,,,F. DUNNE
3,cavalryman gb m.ps. 3 a.,U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09,16,Par: HALLING  et SILVERSWORD (HIGHEST HONOR),T (Corde:19),,DARLEY SNC,A. FABRE,LANFRANCO  DETTORI,56 kg,457.200,,,S,,,DARLEY STUD MANAGEMENT CO. LTD
4,conduit ire m.ps. 4 a.,SXRnUEJUcVJTcjZpSkY2ZHJCZzZsQT09,2,Par: DALAKHANI  et WELL HEAD (SADLER'S WELLS),T (Corde:12),,BALLYMACOLL STUD FARM LTD,SIR MR. STOUTE,RYAN-LEE  MOORE,"59,5kg",228.400,,,,,,BALLYMACOLL STUD FARM LTD
5,dar re mi gb f.ps. 4 a.,ekZpcjZmZk0wQ3dudmlQTGpnc2M1dz09,10,Par: SINGSPIEL  et DARARA (TOP VILLE),1.L (Corde:02),,LORD   LLOYD WEBBER,J. GOSDEN,JIMMY  FORTUNE,58 kg,114.400,,,,,,WATERSHIP DOWN STUD
6,fame and glory gb m.ps. 3 a.,UE15eDlDeGYrMHBMcDRYTEJZaHk3dz09,15,Par: MONTJEU  et GRYADA (SHIRLEY HEIGHTS),1.L (Corde:10),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,56 kg,,,,,,1.0,"PTARMIGAN BLOODSTOCK LTD,MLLE K. RAUSING"
7,la boum ger f.ps. 6 a.,THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09,12,Par: MONSUN  et LA BOUCHE (IN THE WINGS),1/2 (Corde:08),,EMMANUEL  TRUSSARDI,ROB. COLLET (S),THIERRY  JARNET,58 kg,,,,,,,GESTUT KARLSHOF
7,stacelita  f.ps. 3 a.,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,19,Par: MONSUN  et SOIGNEE (DASHING BLADE),1/2 (Corde:16),,M.SCHWARTZ/ECURIE MONASTIC,JC. ROUGET-(S),CHRISTOPHE  SOUMILLON,"54,5kg",,,,S,,,JPJ. DUBOIS
9,magadan ire m.ps. 4 a.,OUdvYWhXcTdneHpmSGVNc3ZaMERxZz09,4,Par: HIGH CHAPARRAL  et MOLASSES (MACHIAVELLIAN),3/4 (Corde:17),,ECURIE WILDENSTEIN,E. LELLOUCHE,ANTHONY  CRASTUS,"59,5kg",,,,,,,KILCARN STUD
10,vision d'etat  m.ps.+,RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09,3,Par: CHICHICASTENANGO  et UBERABA (GARDE ROYALE),1/2 (Corde:09),,JACQUES  DETRE,E. LIBAUD,OLIVIER  PESLIER,"59,5kg",,,,,,,SUC. G. GILLES
--,the bogberry usa m.ps. 4 a.,SlFKWldCajFReWxLNG1wbnNYbldDZz09,5,Par: HAWK WING  et LAHINCH (DANEHILL DANCER),(Corde:18),,SERGEY  EFROS,A.DE ROYER DUPRE,MAGOMET A.  KAPPUSHEV,"59,5kg",,,,,,,MARCH THOROUGHBREDS
--,steele tango usa m.ps. 4 a.,TWNvYXlyZytKS1pqaGpVbG01bE1LQT09,6,Par: OKAWANGO  et WALTZING AROUND (ELA MANA MOU),(Corde:07),,THE THIRTY ACRE RACING PARTNER,RA. TEAL,DARRYLL-PAUL  HOLLAND,"59,5kg",,,,,,,T. ZWIESLER
--,getaway ger m.ps. 6 a.,OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09,7,Par: MONSUN  et GUERNICA (UNFUWAIN),(Corde:03),,BARON GEORG VON ULLMANN,J. HIRSCHBERGER,STEPHANE  PASQUIER,"59,5kg",,,,,,,BARON G.VON ULLMANN
--,TULLAMORE USA M.PS. 4 a.,aElqYUloS2ZkRzRIVFZXUmpBRTlRUT09,8,Par: THEATRICAL  et BUNGALOW (LORD AVIE),(Corde:13),,YOKO CZ S.R.O.,Z. KOPLIK,VACLAV  JANACEK,"59,5kg",,,,,,,"HL. VANIER,MME N. VANIER,  THEATRICAL SYNDICATE"
--,hot six brz m.ps. 4 a.,WTh4VFBlSHE5RWZCZEh2OFFWRmxGUT09,9,Par: BUROOJ  et BABYSIX (WITH APPROVAL),(Corde:04),,ESTRELA ENERGIA STABLES,G. DUARTE,TIAGO JOSUE  PEREIRA,59 kg,,,,,,,HARAS J.B. BARROS
--,tangaspeed  f.ps. 4 a.,T21FMkpQRDZnRzYvZXRZRHR5VUFCdz09,11,Par: VERTICAL SPEED  et FITANGA (FIJAR TANGO),(Corde:11),,R.PIRES/MME L.GAGNEUX,ROB. LAPLANCHE,IORITZ  MENDIZABAL,58 kg,,,,,,,MME L. GAGNEUX
--,carthage  m.ps. 3 a.,d0VXamJZZGlFTjVNY2pXbFRYRWRJUT09,13,Par: PEINTRE CELEBRE  et BEHKARA (KRIS),(Corde:15),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,56 kg,,,,,,,S.A.  AGA KHAN
--,set sail ire m.ps. 3 a.,MlN2ZHRiU1VFcFllandZYmh1SFF1dz09,14,Par: DANEHILL DANCER  et AHDAAB (RAHY),(Corde:14),,D.SMITH/M.TABOR/MME J.MAGNIER,AP. O'BRIEN,SEAN M.  LEVEY,56 kg,,,,,,1.0,"LYNCH-BAGES LTD,  SAMAC LTD"
--,grand ducal ire m.ps. 3 a.,UTBLamNvYSs0QnZrWHJESXc2WDVkZz09,17,Par: DANEHILL DANCER  et MOOD SWINGS (SHIRLEY HEIGHTS),(Corde:05),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,SUC. PATRICK JOSEPH  SMULLEN,56 kg,,,,,,1.0,"A. STROUD, JF. HANLY"
