Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,workforce gb m.ps. 3 a.,RXVXVUZDNTBmcW80a1lCNFBpa3Qwdz09,13,Par: KING'S BEST  et SOVIET MOON (SADLER'S WELLS),(Corde:08),,SUC. KHALID  ABDULLAH,SIR MR. STOUTE,RYAN-LEE  MOORE,56 kg,2.285.600,,,,,,JUDDMONTE FARMS IRELAND
2,nakayama festa jpn m.ps. 4 a.,L0tOWlRjUkdkbWttb3FXeXhpVktzZz09,7,Par: STAY GOLD  et DEAR WINK (TIGHT SPOT),T (Corde:10),,SHINICHI  IZUMI,Y. NINOMIYA,MASAYOSHI  EBINA,"59,5kg",914.400,,,,,,ARAI BOKUJO
3,sarafina  f.ps. 3 a.,aXFKbGxtY2wzeEU3Zno4SFFSTVhhZz09,20,Par: REFUSE TO BEND  et SANARIYA (DARSHAAN),2.5 (Corde:03),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,"54,5kg",457.200,,17.602,,,3.0,S.A.  AGA KHAN
4,behkabad  m.ps. 3 a.,MUFIbDcwdEM1TWVuQXBnckRKL3EvZz09,14,Par: CAPE CROSS  et BEHKARA (KRIS),1.5 (Corde:09),,S.A.   AGA KHAN,JC. ROUGET-(S),CHRISTOPHE-PATRICE  LEMAIRE,56 kg,228.400,,8.793,,,3.0,S.A.  AGA KHAN
5,fame and glory gb m.ps. 4 a.,UE15eDlDeGYrMHBMcDRYTEJZaHk3dz09,3,Par: MONTJEU  et GRYADA (SHIRLEY HEIGHTS),1.L (Corde:01),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,"59,5kg",114.400,,,,,1.0,"PTARMIGAN BLOODSTOCK LTD,MLLE K. RAUSING"
6,marinous  m.ps. 4 a.,NFVobmo3Zm4zNFZ5VHhzOGFXWkJtUT09,2,Par: NUMEROUS  et MARENDE (PANORAMIC),1.L (Corde:17),,SAEED NASSER  AL ROMAITHI,FRE. HEAD (S),MR DAVY  BONILLA,"59,5kg",,,,S,,,"D. ELIAS DE PROENCA, J. ELIAS DE PROENCA,MLLE V. ELIAS DE PROENCA"
7,victoire pisa jpn m.ps. 3 a.,MnRZSnpld2dENHZCQlpydS9RZkRZZz09,19,Par: NEO UNIVERSE  et WHITEWATER AFFAIR (MACHIAVELLIAN),T (Corde:05),,Y. ICHIKAWA/T. YOSHIDA,K. SUMII,YUTAKA  TAKE,56 kg,,,,,,,SHADAI FARM
8,cavalryman gb m.ps. 4 a.,U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09,6,Par: HALLING  et SILVERSWORD (HIGHEST HONOR),1.L (Corde:04),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,,DARLEY STUD MANAGEMENT CO. LTD
9,liang kay ger m.ps. 5 a.,dVd3OUVvWCtrdnFxcVVyMWRWNHNmdz09,10,Par: DAI JIN  et LINTON BAY (FUNAMBULE),4.L (Corde:20),,STALL EMINA,U. OSTMANN,STEPHANE  PASQUIER,"59,5kg",,,,,,,MME IE. ZIMMERMANN
10,youmzain ire m.ps. 7 a.,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09,1,Par: SINNDAR  et SADIMA (SADLER'S WELLS),(Corde:12),,JABER  ABDULLAH,MR. CHANNON,RICHARD  HUGHES,"59,5kg",,,,,,,F. DUNNE
