Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,danedream ger f.ps. 3 a.,Vmx6VGluUndKMzd2TDZZTnJpWHIwQT09,15,Par: LOMITAS  et DANEDROP (DANEHILL),(Corde:02),,GESTUT B. EBERSTEIN/T. YOSHIDA,P. SCHIERGEN,ANDRASCH  STARKE,"54,5kg",2.285.600,,,S,,,GESTUT BRUMMERHOF
2,shareta (ire) f.ps. 3 a.,Y0pQOFZiSnRDb0syczM2cDdvWjNNdz09,13,Par: SINNDAR  et SHAWARA (BARATHEA),5.L (Corde:09),,S.A.   AGA KHAN,A.DE ROYER DUPRE,THIERRY  JARNET,"54,5kg",914.400,,35.204,,,2.0,S.A.  AGA KHAN
3,snow fairy ire f.ps. 4 a.,aEI5WHVyaVVDWGtHZExZWjlOUnBZZz09,8,Par: INTIKHAB  et WOODLAND DREAM (CHARNWOOD FOREST),ENC (Corde:11),,ANAMOINE LIMITED,EAL. DUNLOP,LANFRANCO  DETTORI,58 kg,457.200,,,,,,WINDFLOWER OVERSEAS HOLD. INC
4,so you think nz m.ps. 5 a.,bHVNbFlaeFJTRWhPc3NLeksvSSswQT09,6,Par: HIGH CHAPARRAL  et TRIASSIC (TIGHTS),1/2 (Corde:14),,SMITH/MME MAGNIER/TABOR/& CO,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",228.400,,,,,1.0,"PIPER FARM LTD, MJ. MORAN"
5,st nicholas abbey ire m.ps. 4 a.,dldoMUVGaE40ZlJLN21YaWkwdXhUQT09,2,Par: MONTJEU  et LEAPING WATER (SURE BLADE),CTE (Corde:06),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOSEPH PATRICK  O'BRIEN,"59,5kg",114.400,,,,,1.0,"BARTON BLOODSTOCK,  VILLIERS SYNDICATE"
6,meandre  m.ps. 3 a.,YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09,10,Par: SLICKLY  et PENNE (SEVRES ROSE),CTE (Corde:10),,FAMILLE ROTHSCHILD,A. FABRE,MAXIME  GUYON,56 kg,,,,S,,,FAMILLE ROTHSCHILD
7,sarafina  f.ps. 4 a.,aXFKbGxtY2wzeEU3Zno4SFFSTVhhZz09,7,Par: REFUSE TO BEND  et SANARIYA (DARSHAAN),CTE (Corde:13),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE-PATRICE  LEMAIRE,58 kg,,,,,,2.0,S.A.  AGA KHAN
8,silver pond  m.ps. 4 a.,QzNZVWIrMnp1SmI5ZTFkMGd3NmlOdz09,3,Par: ACT ONE  et SILVER FAME (QUEST FOR FAME),3/4 (Corde:15),,SAEED NASSER  AL ROMAITHI,C. LAFFON-PARIAS,MR THIERRY  THULLIEZ,"59,5kg",,,,,,,HARAS DU QUESNAY
9,galikova  f.ps. 3 a.,Vmo0cmJtL052cGU0aW4xUVVPNEV4dz09,16,Par: GALILEO  et BORN GOLD (BLUSHING GROOM),4.L (Corde:04),,WERTHEIMER & FRERE,FRE. HEAD (S),OLIVIER  PESLIER,"54,5kg",,,,,,,WERTHEIMER & FRERE
10,hiruno d'amour jpn m.ps. 4 a.,R1hVbXF5bW9rT2ZlK3YxSGU1NmlnZz09,4,Par: MANHATTAN CAFE  et SHARE ELEGANCE (LAMMTARRA),3/4 (Corde:01),,MASAFUMI  HIRUKAWA,M. KON,SHINJI  FUJITA,"59,5kg",,,,,,,HASHIMOTO BOKUJO
--,workforce gb m.ps. 4 a.,RXVXVUZDNTBmcW80a1lCNFBpa3Qwdz09,1,Par: KING'S BEST  et SOVIET MOON (SADLER'S WELLS),(Corde:08),,SUC. KHALID  ABDULLAH,SIR MR. STOUTE,RYAN-LEE  MOORE,"59,5kg",,,,,,,JUDDMONTE FARMS IRELAND
--,nakayama festa jpn m.ps. 5 a.,L0tOWlRjUkdkbWttb3FXeXhpVktzZz09,5,Par: STAY GOLD  et DEAR WINK (TIGHT SPOT),(Corde:16),,SHINICHI  IZUMI,Y. NINOMIYA,MASAYOSHI  EBINA,"59,5kg",,,,,,,ARAI BOKUJO
--,treasure beach gb m.ps. 3 a.,TjA5WmVBelpYQnRiSXhBS0Fyck1GUT09,9,Par: GALILEO  et HONORINE (MARK OF ESTEEM),(Corde:12),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,COLM  O'DONOGHUE,56 kg,,,,,,1.0,ASHLEY HOUSE STUD
--,masked marvel gb m.ps. 3 a.,NjZwRGF3YmhNc2pKbjZ0RTlTSC9IZz09,11,Par: MONTJEU  et WALDMARK (MARK OF ESTEEM),(Corde:05),,BJORN E.  NIELSEN,J. GOSDEN,WILLIAM  BUICK,56 kg,,,,S,,,NEWSELLS PARK STUD
--,reliable man (gb) m.ps. 3 a.,YkRwb2FOSTN4RktyWFJ3K1dLckVCZz09,12,Par: DALAKHANI  et ON FAIR STAGE (SADLER'S WELLS),(Corde:07),,PRIDE RACING CLUB,A.DE ROYER DUPRE,GERALD  MOSSE,56 kg,,,,,,,FAIR SALINIA LTD
--,testosterone (ire) f.ps. 3 a.,M28yQnU3bHkvTy9DYUROOUxKL0hCQT09,14,Par: DANSILI  et EPOPEE (SADLER'S WELLS),(Corde:03),,ECURIE LA BOETIE,P. BARY (S),STEPHANE  PASQUIER,"54,5kg",,,,,,,SCEA  LA POTERIE
