Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,solemia (ire) f.ps. 4 a.,c3NrdkxkRTJ2bnpBU1Jkckt1M2VkQT09,10,Par: POLIGLOTE  et BROOKLYN'S DANCE (SHIRLEY HEIGHTS),(Corde:06),,WERTHEIMER & FRERE,C. LAFFON-PARIAS,OLIVIER  PESLIER,58 kg,2.285.600,,87.995,,,,WERTHEIMER & FRERE
2,orfevre jpn m.ps. 4 a.,V0swazNFZzMvaCtad3ZUNTdiNmRVUT09,6,Par: STAY GOLD  et ORIENTAL ART (MEJIRO MCQUEEN),ENC (Corde:18),,SUNDAY RACING CO. LTD,Y. IKEE,CHRISTOPHE  SOUMILLON,"59,5kg",914.400,,,,,,SHADAI CORPORATION INC
3,masterstroke usa m.ps. 3 a.,eXB6YklZaWpoeitGVlN5Tko5MWdyQT09,14,Par: MONSUN  et MELIKAH (LAMMTARRA),7.L (Corde:17),,DARLEY SNC,A. FABRE,MICKAEL  BARZALONA,56 kg,457.200,,,,,,DARLEY STUD MANAGEMENT CO. LTD
4,haya landa  f.ps. 4 a.,alJjOVppdmZJZ2RTaGZFMmVqZVZlUT09,9,Par: LANDO  et HAYA SAMMA (PIVOTAL),1.L (Corde:01),,MME ODETTE  FAU,MME L. AUDON,FRANCK  BLONDEL,58 kg,228.400,,8.793,,,,MME O. FAU
5,yellow and green gb f.ps.+,YjIyaXo3a0RGVVNLMjZZVlFacjkyUT09,17,Par: MONSUN  et GREEN SWALLOW (GREEN TUNE),1/2 (Corde:03),,S.A. CHEIKH ABDULLAH BIN KHALIFA  AL THA,N. CLEMENT (S),MR THIERRY  THULLIEZ,"54,5kg",114.400,,,,,,NEWSELLS PARK STUD
6,great heavens gb f.ps. 3 a.,TFZLdHZSZEpvVkVNSzlxeWM5dm4vZz09,18,Par: GALILEO  et MAGNIFICIENT STYLE (SILVER HAWK),2.5 (Corde:07),,SUC. LADY  ROTHSCHILD,J. GOSDEN,WILLIAM  BUICK,"54,5kg",,,,S,,,KINCORTH INVESTMENTS INC
7,camelot gb m.ps. 3 a.,TjEyUFdzSXRsMGdXaXRCcXZWN3gydz09,13,Par: MONTJEU  et TARFAH (KINGMAMBO),1.L (Corde:05),,D.SMITH/M.TABOR/MME J.MAGNIER,AP. O'BRIEN,LANFRANCO  DETTORI,56 kg,,,,,,1.0,CHEIK A. AL KHALIFA
8,sea moon gb m.ps. 4 a.,UjRyVVZ3Zi9RSk54WEs0M21IRVB2Zz09,1,Par: BEAT HOLLOW  et EVA LUNA (ALLEGED),NEZ (Corde:16),,SUC. KHALID  ABDULLAH,SIR MR. STOUTE,RYAN-LEE  MOORE,"59,5kg",,,,,,,JUDDMONTE FARMS IRELAND
9,shareta (ire) f.ps. 4 a.,Y0pQOFZiSnRDb0syczM2cDdvWjNNdz09,8,Par: SINNDAR  et SHAWARA (BARATHEA),T (Corde:11),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE-PATRICE  LEMAIRE,58 kg,,,,,,2.0,S.A.  AGA KHAN
10,bayrir  m.ps. 3 a.,bCtPVWJoQTlRMFNRSG8xd01DdGpuQT09,11,Par: MEDICEAN  et BALANKIYA (DARSHAAN),2.5 (Corde:14),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,56 kg,,,,S,,2.0,S.A.  AGA KHAN
--,st nicholas abbey ire m.ps. 5 a.,dldoMUVGaE40ZlJLN21YaWkwdXhUQT09,2,Par: MONTJEU  et LEAPING WATER (SURE BLADE),(Corde:10),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOSEPH PATRICK  O'BRIEN,"59,5kg",,,,,,1.0,"BARTON BLOODSTOCK,  VILLIERS SYNDICATE"
--,meandre  m.ps. 4 a.,YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09,3,Par: SLICKLY  et PENNE (SEVRES ROSE),(Corde:13),,FAMILLE ROTHSCHILD,A. FABRE,MAXIME  GUYON,"59,5kg",,,,,,,FAMILLE ROTHSCHILD
--,mikhail glinka ire m.ps. 5 a.,VzlEbGlTN0hBd3ZiMTdDMnJwS05TZz09,4,Par: GALILEO  et LADY KARR (MARK OF ESTEEM),(Corde:09),,RAMZAN  KADYROV,A. SHAVUYEV,MIRCO  DEMURO,"59,5kg",,,,,,,PAULYN LIMITED
--,robin hood ire m.ps. 4 a.,QkhLaXpvdlBPbTdCT1MzK1pKWUhwdz09,5,Par: GALILEO  et BANQUISE (LAST TYCOON),(Corde:12),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",,,,,,1.0,LYNCH-BAGES LTD
--,AVENTINO JPN M.PS. 8 a.,OVpZYW9WQ1g1cHY5RGhsUGxFSGpqQT09,7,Par: JUNGLE POCKET  et ASSAM HILL (SUNDAY SILENCE),(Corde:08),,MME KAZUKO  YOSHIDA,Y. IKEE,ANTHONY  CRASTUS,"59,5kg",,,,,,,SHADAI CORPORATION INC
--,kesampour  m.ps. 3 a.,Y1NPME5DajJaSnVhQjgwczVJZlNRQT09,12,Par: KING'S BEST  et KASATANA (HERNANDO),(Corde:15),,S.A.   AGA KHAN,M. DELZANGLES,GREGORY  BENOIST,56 kg,,,,,,2.0,S.A.  AGA KHAN
--,ernest hemingway ire m.ps. 3 a.,d2krK3hvYUhLdlRLZjZMTzRZK2FnUT09,15,Par: GALILEO  et CASSYDORA (DARSHAAN),(Corde:04),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,COLM  O'DONOGHUE,56 kg,,,,,,1.0,BARRONSTOWN STUD
--,saonois  m.ps. 3 a.,YXJKMFBUYzhRSkE5UnhrLzlFNjVnQT09,16,Par: CHICHICASTENANGO  et SAONOISE (HOMME DE LOI),(Corde:02),,PASCAL  TREYVE,JP. GAUVIN,ANTOINE  HAMELIN,56 kg,,,,S,,,EARL  HARAS DE NONANT LE PIN
