Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,treve  f.ps. 3 a.,d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09,18,Par: MOTIVATOR  et TREVISE (ANABAA),(Corde:15),,CHEIK JOAAN BIN HAMAD  AL THANI,MME C. HEAD,THIERRY  JARNET,"54,5kg",2.742.720,,87.995,S,,,HARAS DU QUESNAY
2,orfevre jpn m.ps. 5 a.,V0swazNFZzMvaCtad3ZUNTdiNmRVUT09,6,Par: STAY GOLD  et ORIENTAL ART (MEJIRO MCQUEEN),5.L (Corde:08),,SUNDAY RACING CO. LTD,Y. IKEE,CHRISTOPHE  SOUMILLON,"59,5kg",1.097.280,,,,,,SHADAI CORPORATION INC
3,intello (ger) m.ps. 3 a.,Rm8xbnU4bFU3SkNHTmUvajc2c0xYUT09,17,Par: GALILEO  et IMPRESSIONNANTE (DANEHILL),ENC (Corde:09),,WERTHEIMER & FRERE,A. FABRE (S),OLIVIER  PESLIER,56 kg,548.640,,17.602,,,,WERTHEIMER & FRERE
4,kizuna jpn m.ps. 3 a.,UVFkMzhzblJXZ2pma04rVDRYTGV6dz09,14,Par: DEEP IMPACT  et CATEQUIL (STORM CAT),2.L (Corde:11),,SHINJI  MAEDA,S. SASAKI,YUTAKA  TAKE,56 kg,274.080,,,,,,NORTH HILLS CO. LTD
5,penglai pavilion usa h.ps. 3 a.,c0hTZWZ6bWIyRHhkMEhsK3NYOTdZdz09,13,Par: MONSUN  et MAIDEN TOWER (GROOM DANCER),2.L (Corde:10),,DARLEY SNC,A. FABRE (S),MICKAEL  BARZALONA,56 kg,137.280,,,,,,DARLEY STUD MANAGEMENT CO. LTD
6,al kazeem gb m.ps. 5 a.,Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09,3,Par: DUBAWI  et KAZEEM (DARSHAAN),2.L (Corde:18),,DANIEL JOHN  DEER,RJ. CHARLTON,JAMES WILLIAM  DOYLE,"59,5kg",,,,,,,"DJ. DEER,MME DJ. DEER"
7,ruler of the world ire m.ps. 3 a.,T284Ny8xbGpaUUxSQXhJUDcrNTl4dz09,15,Par: GALILEO  et LOVE ME TRUE (KINGMAMBO),CTT (Corde:06),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,RYAN-LEE  MOORE,56 kg,,,,,,1.0,SOUTHERN BLOODSTOCK
8,flintshire gb m.ps. 3 a.,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,10,Par: DANSILI  et DANCE ROUTINE (SADLER'S WELLS),3/4 (Corde:07),,SUC. KHALID  ABDULLAH,A. FABRE (S),MAXIME  GUYON,56 kg,,,,,,,JUDDMONTE FARMS IRELAND
9,going somewhere brz m.ps. 4 a.,ZWd4UmkyYTlrK25ZTGRQcFhBWUZ2QT09,7,Par: SULAMANI  et ANGEL STAR (SPECIAL NASH),NEZ (Corde:04),,BENJAMIN  STEINBRUCH,D. SMAGA,GREGORY  BENOIST,59 kg,,,,,,,HARAS PHILLIPSON
10,meandre  m.ps. 5 a.,YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09,5,Par: SLICKLY  et PENNE (SEVRES ROSE),CTE (Corde:02),,RAMZAN  KADYROV,A. SHAVUYEV,UMBERTO  RISPOLI,"59,5kg",,,,S,,,FAMILLE ROTHSCHILD
