Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,golden horn gb m.ps. 3 a.,SHpmdDVUam5PNDMyOTJuWDJBVUFidz09,16,Par: CAPE CROSS  et FLECHE D'OR (DUBAI DESTINATION),(Corde:14),,ANTHONY  OPPENHEIMER,J. GOSDEN,LANFRANCO  DETTORI,56 kg,2.857.000,,,S,,,HASCOMBE AND VALIANT STUDS
2,flintshire gb m.ps. 5 a.,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,1,Par: DANSILI  et DANCE ROUTINE (SADLER'S WELLS),2.L (Corde:11),,SUC. KHALID  ABDULLAH,A. FABRE (S),MAXIME  GUYON,"59,5kg",1.143.000,,,,,1.0,JUDDMONTE FARMS IRELAND
3,new bay gb m.ps. 3 a.,bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09,13,Par: DUBAWI  et CINNAMON BAY (ZAMINDAR),ENC (Corde:05),,SUC. KHALID  ABDULLAH,A. FABRE (S),VINCENT  CHEMINAUD,56 kg,571.500,,,,,1.0,JUDDMONTE FARMS IRELAND
4,treve  f.ps. 5 a.,d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09,9,Par: MOTIVATOR  et TREVISE (ANABAA),NEZ (Corde:08),,AL SHAQAB RACING,MME C. HEAD,THIERRY  JARNET,58 kg,285.500,,13.5,,,2.0,HARAS DU QUESNAY
5,erupt (ire) m.ps. 3 a.,ajVkellKNDFIQnFMQVVmVzVnSmt6dz09,15,Par: DUBAWI  et MARE NOSTRUM (CAERLEON),1.5 (Corde:04),,FAMILLE  NIARCHOS,FH. GRAFFARD (S),STEPHANE  PASQUIER,56 kg,143.000,,6.75,,,,SUC. S. NIARCHOS
6,free eagle ire m.ps. 4 a.,SGJDenBYdWpaWXFERUJ6eWRBU1lNUT09,7,Par: HIGH CHAPARRAL  et POLISHED GEM (DANEHILL),ENC (Corde:12),,MOYGLARE STUD FARM LTD,DK. WELD,SUC. PATRICK JOSEPH  SMULLEN,"59,5kg",,,,,,,MOYGLARE STUD FARM LTD
7,prince gibraltar  m.ps. 4 a.,T0FSOXFzQ0VpbVNickZvcm15c0FvQT09,5,Par: ROCK OF GIBRALTAR  et PRINCESS SOFIA (PENNEKAMP),CTE (Corde:10),,JEAN-FRANCOIS  GRIBOMONT,JC. ROUGET (S),FABRICE  VERON,"59,5kg",,,,,,,JF. GRIBOMONT
8,siljan's saga  f.ps. 5 a.,aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09,11,Par: SAGAMIX  et HUMORISTE (SAINT CYRIEN),CTE (Corde:07),,E. PALLUAT DE BESSET / E. TASSIN,JP. GAUVIN,PIERRE-CHARLES  BOUDOT,58 kg,,,,,,,SUC. A. OUVRY
9,found ire f.ps. 3 a.,RjBiUHlWMCs1OFJJb3NOd09HdytWdz09,18,Par: GALILEO  et RED EVIE (INTIKHAB),1/2 (Corde:15),,M.TABOR/D.SMITH/MME J.MAGNIER,AP. O'BRIEN,RYAN-LEE  MOORE,"54,5kg",,,,,,,"RON CON LTD,  WYNATT,  CHELSTON (IRELAND)"
10,silverwave  m.ps. 3 a.,eElISExrSmJ5bTJud3BsV0hIa09xdz09,14,Par: SILVER FROST  et MISS BIO (RIVER MIST),T (Corde:17),,HSPIRIT,A. COUETIL (S),JAMES WILLIAM  DOYLE,56 kg,,,,,,,"MLLE ML. COLLET, J. COLLET,MME M. COLLET"
