Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,found ire f.ps. 4 a.,RjBiUHlWMCs1OFJJb3NOd09HdytWdz09,10,Par: GALILEO  et RED EVIE (INTIKHAB),(Corde:12),,M.TABOR/D.SMITH/MME J.MAGNIER,AP. O'BRIEN,RYAN-LEE  MOORE,58 kg,2.857.000,,,,,,"RON CON LTD,  WYNATT,  CHELSTON (IRELAND)"
2,highland reel ire m.ps. 4 a.,QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09,4,Par: GALILEO  et HVEGER (DANEHILL),7/4 (Corde:11),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",1.143.000,,,,,,HVEGER SYNDICATE
3,order of st george ire m.ps. 4 a.,SXFsNEYvUmtRVERCV2RSeE93Skl6UT09,8,Par: GALILEO  et ANOTHER STORM (GONE WEST),1.5 (Corde:16),,WILLIAMS/MAGNIER/TABOR/SMITH,AP. O'BRIEN,LANFRANCO  DETTORI,"59,5kg",571.500,,,,,,PAGET BLOODSTOCK
4,siljan's saga  f.ps. 6 a.,aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09,9,Par: SAGAMIX  et HUMORISTE (SAINT CYRIEN),3/4 (Corde:03),,E. PALLUAT DE BESSET / E. TASSIN,JP. GAUVIN,PIERRE-CHARLES  BOUDOT,58 kg,285.500,,13.5,,,,SUC. A. OUVRY
5,postponed ire m.ps. 5 a.,N3labVdLZXlaZHA2YVhtb2RrUmFidz09,2,Par: DUBAWI  et EVER RIGG (DUBAI DESTINATION),2.5 (Corde:07),,CHEIK MOHAMMED OBAID  AL MAKTOUM,R. VARIAN,ANDREA  ATZENI,"59,5kg",143.000,,,,,,ST. ALBANS BLOODSTOCK LIMITED
6,one foot in heaven (ire) h.ps. 4 a.,RWR5RWt3QWVRWFdnRitibDhxbGh0UT09,5,Par: FASTNET ROCK  et PRIDE (PEINTRE CELEBRE),NEZ (Corde:09),,FAIR SALINIA LTD,A.DE ROYER DUPRE,CRISTIAN  DEMURO,"59,5kg",,,,,,,CRAIGAVON AGRO LTD
7,new bay gb m.ps. 4 a.,bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09,1,Par: DUBAWI  et CINNAMON BAY (ZAMINDAR),CTE (Corde:08),,SUC. KHALID  ABDULLAH,A. FABRE (S),VINCENT  CHEMINAUD,"59,5kg",,,,,,,JUDDMONTE FARMS IRELAND
8,savoir vivre ire m.ps. 3 a.,bDZjOTYzdnkvRUliV3dyKzYzMDZZZz09,15,Par: ADLERFLUG  et SOUDAINE (MONSUN),1.5 (Corde:10),,STALL ULLMANN,JP. CARVALHO,FREDERIK  TYLICKI,56 kg,,,,,,,STALL ULLMANN
9,harzand ire m.ps. 3 a.,ZlVKV1p1aVFreVFka3pCOWVHc3Jsdz09,11,Par: SEA THE STARS  et HAZARIYA (XAAR),7/4 (Corde:06),,H.H.   AGA KHAN,DK. WELD,SUC. PATRICK JOSEPH  SMULLEN,56 kg,,,,,,1.0,S.A.  AGA KHAN
10,vedevani  m.ps. 3 a.,TnQrMC85ZWdnMFJtZ0ZRbEZyLzJUQT09,12,Par: DUBAWI  et VADAWINA (UNFUWAIN),2.L (Corde:01),,H.H.   AGA KHAN,A.DE ROYER DUPRE,ALEXIS  BADEL,56 kg,,,,,,1.0,HARAS DE S.A. AGA KHAN SCEA
