Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,enable gb f.ps. 3 a.,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09,17,Par: NATHANIEL  et CONCENTRIC (SADLER'S WELLS),(Corde:02),,SUC. KHALID  ABDULLAH,J. GOSDEN,LANFRANCO  DETTORI,55 kg,2.857.000,,,S,,,JUDDMONTE FARMS IRELAND
2,cloth of stars ire m.ps. 4 a.,c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09,5,Par: SEA THE STARS  et STRAWBERRY FLEDGE (KINGMAMBO),2.5 (Corde:03),,GODOLPHIN SNC,A. FABRE (S),MICKAEL  BARZALONA,"59,5kg",1.143.000,,,,,,P. ANASTASIOU
3,ulysses ire m.ps. 4 a.,cTd4UlF5R2FGTnRpR0tlNjRWY3RDdz09,4,Par: GALILEO  et LIGHT SHIFT (KINGMAMBO),5/4 (Corde:01),,FLAXMAN ST. IRE/CHEVELEY P.S.,SIR MR. STOUTE,JAMES VINCENT  CROWLEY,"59,5kg",571.500,,,,,,FLAXMAN STABLES IRELAND L.T.D
4,order of st george ire m.ps. 5 a.,SXFsNEYvUmtRVERCV2RSeE93Skl6UT09,12,Par: GALILEO  et ANOTHER STORM (GONE WEST),1.5 (Corde:09),,TABOR/SMITH/MAGNIER/WILLIAMS,AP. O'BRIEN,DONNACHA AIDAN  O'BRIEN,"59,5kg",285.500,,,,,2.0,PAGET BLOODSTOCK
5,brametot ire m.ps. 3 a.,M0FkVEhqWWFwdkMrTWw3VGtTa3VuUT09,14,Par: RAJSAMAN  et MORNING LIGHT (LAW SOCIETY),5/4 (Corde:04),,AL SHAQAB/G. AUGUSTIN-NORMAND,JC. ROUGET (S),CRISTIAN  DEMURO,"56,5kg",143.000,,,,,1.0,H. CARDEMIL
6,dschingis secret ger m.ps. 4 a.,K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09,8,Par: SOLDIER HOLLOW  et DIVYA (PLATINI),1/2 (Corde:10),,HORST  PUDWILL,M. KLUG,ADRIE DE VRIES,"59,5kg",,,,,,,GESTUT PARK WIEDINGEN
7,iquitos ger m.ps. 5 a.,TTFWM04rREc0aTFGcVl2Zyt5dVZJZz09,11,Par: ADLERFLUG  et IRIKA (AREION),T (Corde:06),,STALL MULLIGAN,HJ. GROSCHEL,ANDRASCH  STARKE,"59,5kg",,,,,,,MME E. BUHMANN
8,idaho ire m.ps. 4 a.,TVhMSVg4TlJHU2EwZFVuVHFsRVVXUT09,7,Par: GALILEO  et HVEGER (DANEHILL),NEZ (Corde:07),,M.TABOR/D.SMITH/MME J.MAGNIER,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",,,,,,2.0,HVEGER SYNDICATE
9,winter ire f.ps. 3 a.,d2huMXJ6SFNpbkR6aXNzUUlnZ2tlUT09,18,Par: GALILEO  et LADDIES POKER TWO (CHOISIR),ENC (Corde:08),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,RYAN-LEE  MOORE,55 kg,,,,,,,LADDIES POKER TWO SYNDICATE
10,zarak  m.ps. 4 a.,bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09,1,Par: DUBAWI  et ZARKAVA (ZAMINDAR),3/4 (Corde:18),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,"59,5kg",,,,,,,S.A.  AGA KHAN
11,one foot in heaven (ire) h.ps. 5 a.,RWR5RWt3QWVRWFdnRitibDhxbGh0UT09,3,Par: FASTNET ROCK  et PRIDE (PEINTRE CELEBRE),ENC (Corde:11),,FAIR SALINIA LTD,A.DE ROYER DUPRE,JAMES WILLIAM  DOYLE,"59,5kg",,,,,,,CRAIGAVON AGRO LTD
12,doha dream  m.ps. 4 a.,NUp0OVJCUU5CVENhQUczcVJ4Y2JpZz09,2,Par: SHAMARDAL  et CRYSTAL REEF (KING'S BEST),ENC (Corde:12),,AL SHAQAB RACING,A. FABRE (S),GREGORY  BENOIST,"59,5kg",,,,,,1.0,ECURIE HARAS BOUQUETOT SAS
13,plumatic (gb) m.ps. 3 a.,YXVNNGJ2ejN5Tmh3emJqZ0xocEh3Zz09,16,Par: DUBAWI  et PLUMANIA (ANABAA),1.5 (Corde:14),,WERTHEIMER & FRERE,A. FABRE (S),MAXIME  GUYON,"56,5kg",,,,,,,WERTHEIMER & FRERE
14,seventh heaven ire f.ps. 4 a.,NHZoWlVHMUxmNmFIeUdTa09jbDB5dz09,13,Par: GALILEO  et LA TRAVIATA (JOHANNESBURG),1/2 (Corde:17),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,SUC. PATRICK JOSEPH  SMULLEN,58 kg,,,,,,4.0,LA TRAVIATA SYNDICATE
15,satono diamond jpn m.ps. 4 a.,WFRSdmloSlRtRmJXNGtORzR4ckFRQT09,9,Par: DEEP IMPACT  et MALPENSA (ORPEN),T (Corde:13),,HAJIME  SATOMI,Y. IKEE,CHRISTOPHE-PATRICE  LEMAIRE,"59,5kg",,,,,,3.0,NORTHERN RACING
16,satono noblesse jpn m.ps. 7 a.,cnphcHp4eGdSNHFJOVBFYk05MmZBZz09,10,Par: DEEP IMPACT  et CRY WITH JOY (TONY BIN),1/2 (Corde:05),,HAJIME  SATOMI,Y. IKEE,YUGA  KAWADA,"59,5kg",,,,,,3.0,MEJIRO STUD
17,capri ire m.ps. 3 a.,aVNwNVk4YjBqZis5Yjc4K1NKbHJOZz09,15,Par: GALILEO  et DIALAFARA (ANABAA),(Corde:15),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,WAYNE-MARTIN  LORDAN,"56,5kg",,,,,,4.0,"LYNCH-BAGES LTD,  CAMAS PARK STUD"
18,silverwave  m.ps. 5 a.,eElISExrSmJ5bTJud3BsV0hIa09xdz09,6,Par: SILVER FROST  et MISS BIO (RIVER MIST),(Corde:16),,MARTIN S. SCHWARTZ RACING,P. BARY (S),PIERRE-CHARLES  BOUDOT,"59,5kg",,,,,,,"MLLE ML. COLLET, J. COLLET,MME M. COLLET"
