Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,enable gb f.ps. 4 a.,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09,10,Par: NATHANIEL  et CONCENTRIC (SADLER'S WELLS),(Corde:06),,SUC. KHALID  ABDULLAH,J. GOSDEN,LANFRANCO  DETTORI,58 kg,2.857.000,,,,,,JUDDMONTE FARMS IRELAND
2,sea of class ire f.ps. 3 a.,MnlGN1A4ZHhhYWlLM3ZsVTBZaUhNdz09,19,Par: SEA THE STARS  et HOLY MOON (HERNANDO),CTE (Corde:15),,SUNDERLAND HOLDING INC.,WJ. HAGGAS,JAMES WILLIAM  DOYLE,55 kg,1.143.000,,,S,,,RAZZA DEL VELINO SRL
3,cloth of stars ire m.ps. 5 a.,c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09,6,Par: SEA THE STARS  et STRAWBERRY FLEDGE (KINGMAMBO),3/4 (Corde:09),,GODOLPHIN SNC,A. FABRE (S),VINCENT  CHEMINAUD,"59,5kg",571.500,,,,,2.0,P. ANASTASIOU
4,waldgeist gb m.ps. 4 a.,RG1DS2Y3R0tTdWJjNmk1ZWpuelpmQT09,5,Par: GALILEO  et WALDLERCHE (MONSUN),3/4 (Corde:13),,GESTUT AMMERLAND/NEWSELLS PARK,A. FABRE (S),PIERRE-CHARLES  BOUDOT,"59,5kg",285.500,,,,,,THE WALDLERCHE PARTNERSHIP
5,capri ire m.ps. 4 a.,aVNwNVk4YjBqZis5Yjc4K1NKbHJOZz09,3,Par: GALILEO  et DIALAFARA (ANABAA),1.5 (Corde:04),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,DONNACHA AIDAN  O'BRIEN,"59,5kg",143.000,,,,,1.0,"LYNCH-BAGES LTD,  CAMAS PARK STUD"
6,salouen ire m.ps. 4 a.,aWtjV3FPTU0yK3ZuSmJldXJCR042Zz09,2,Par: CANFORD CLIFFS  et GALI GAL (GALILEO),1/2 (Corde:07),,HIRAN  BALASURIYA,S. KIRK,OISIN  MURPHY,"59,5kg",,,,,,,SILVERCON EDGERODGE LTD
7,kew gardens ire m.ps. 3 a.,OTE4NWgvczJmSkVIR0ROUnNpa09EZz09,13,Par: GALILEO  et CHELSEA ROSE (DESERT KING),ENC (Corde:14),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,RYAN-LEE  MOORE,"56,5kg",,,,,,1.0,BARRONSTOWN STUD
8,nelson ire m.ps. 3 a.,S0RNK2hRbnlXdWM1VE5ZNHAzdno1Zz09,17,Par: FRANKEL  et MOONSTONE (DALAKHANI),ENC (Corde:03),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,MICHAEL CHRISTOPHER  HUSSEY,"56,5kg",,,,,,3.0,"ORPENDALE,  CHELSTON (IRELAND),  WYNATT"
9,study of man ire m.ps. 3 a.,Q3Y2c2JyZ0IwdVhVYnhMRnk1UHVFZz09,14,Par: DEEP IMPACT  et SECOND HAPPINESS (STORM CAT),CTE (Corde:19),,FLAXMAN STABLES IRELAND L.T.D,P. BARY (S),STEPHANE  PASQUIER,"56,5kg",,,,,,,FLAXMAN STABLES IRELAND L.T.D
10,magical ire f.ps. 3 a.,SVBpN2FvMnJyN1hZYkJ2dUNVRWxDUT09,18,Par: GALILEO  et HALFWAY TO HEAVEN (PIVOTAL),3/4 (Corde:16),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,WAYNE-MARTIN  LORDAN,55 kg,,,,,,1.0,"ORPENDALE,  CHELSTON (IRELAND),  WYNATT"
