Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,sottsass  m.ps. 4 a.,VmpxdVlzR1R1VGNtdUxJOGVxL0VGZz09,7,Par: SIYOUNI  et STARLET'S SISTER (GALILEO),(Corde:04),,WHITE BIRCH FARM,JC. ROUGET (S),CRISTIAN  DEMURO,"59,5kg",1.926.760,,91.044,,,,ECURIE DES MONCEAUX
2,in swoop ire m.ps. 3 a.,OEtVY3N1ZmxHVTNwUTlQVWdDdXZDZz09,12,Par: ADLERFLUG  et IOTA (TIGER HILL),ENC (Corde:01),,GESTUT SCHLENDERHAN,FH. GRAFFARD (S),RONAN  THOMAS,"56,5kg",770.839,,,,,,STALL ULLMANN
3,persian king (ire) m.ps. 4 a.,eHZpS0hMSTB6OHFVZTlQMmZUTWY4dz09,1,Par: KINGMAN  et PRETTY PLEASE (DYLAN THOMAS),7/4 (Corde:07),,BALLYMORE/GODOLPHIN SNC,A. FABRE (S),PIERRE-CHARLES  BOUDOT,"59,5kg",385.419,,18.209,,,,DAYTON INVESTMENTS LTD
4,gold trip  m.ps. 3 a.,MHlnYUcrbnUvU0trTU1Gd1krQjhFQT09,10,Par: OUTSTRIP  et SARVANA (DUBAI DESTINATION),T (Corde:09),,ECURIE JEAN-LOUIS BOUCHARD,F. CHAPPET,STEPHANE  PASQUIER,"56,5kg",192.541,,9.104,,,,M. MONFORT
5,raabihah usa f.ps. 3 a.,L21YajJPdkRTQkVURUtZSnozMm1HUT09,15,Par: SEA THE STARS  et GARMOOSHA (KINGMAMBO),2.L (Corde:02),,SHADWELL FRANCE,JC. ROUGET (S),MAXIME  GUYON,55 kg,96.439,,,,,,SHADWELL FARM
6,enable gb f.ps. 6 a.,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09,8,Par: NATHANIEL  et CONCENTRIC (SADLER'S WELLS),2.L (Corde:05),,SUC. KHALID  ABDULLAH,J. GOSDEN,LANFRANCO  DETTORI,58 kg,,,,,,,JUDDMONTE FARMS IRELAND
7,stradivarius ire m.ps. 6 a.,WmxLeERDdTRtZTBTaVFOTnhzY0kwUT09,6,Par: SEA THE STARS  et PRIVATE LIFE (BERING),1/2 (Corde:14),,BJORN E.  NIELSEN,J. GOSDEN,OLIVIER  PESLIER,"59,5kg",,,,,,,BE. NIELSEN
8,deirdre jpn f.ps. 6 a.,VEo0Z2ttM2xvSGhIdFV6aUVOUjBIUT09,9,Par: HARBINGER  et REIZEND (SPECIAL WEEK),2.5 (Corde:12),,TOJI  MORITA,M. HASHIDA,JAMES PETER  SPENCER,58 kg,,,,,,,NORTHERN FARM
9,way to paris gb m.ps. 7 a.,RlZKZW5yTVkxQ2VLUG1OSTlMMytGZz09,3,Par: CHAMPS ELYSEES  et GREY WAY (COZZENE),NEZ (Corde:06),,PAOLO  FERRARIO,A. MARCIALIS,IORITZ  MENDIZABAL,"59,5kg",,,,,,,GRUNDY BLOODSTOCK LTD
10,royal julius ire m.ps. 7 a.,czliWEdqRDNROWtwMmtHMThuN3JEdz09,2,Par: ROYAL APPLAUSE  et HFLAH (DUBAWI),3/4 (Corde:08),,JEAN-JACQUES  BIARESE,J. REYNIER,SHANE  FOLEY,"59,5kg",,,,,,,OLD CARHUE STUD
11,chachnak  m.ps. 3 a.,aE9ndDRLT1ZtMjZFQkJQb0x6MDZGUT09,11,Par: KINGMAN  et TAMAZIRTE (DANEHILL DANCER),20L (Corde:13),,ECURIE LA VALLEE MARTIGNY EARL,F. VERMEULEN (S),TONY  PICCONE,"56,5kg",,,,,,,"ECURIE LA VALLEE MARTIGNY EARL,  ECURIE DU LOUP"
NP,JAPAN,aER2UWw3NU5WUWlhNHZoRno1Y1FJdz09,4,CAS DE FORCE MAJEURE,,,,,,,,,,,,,
NP,SOVEREIGN,dVloNTQvczdqZUlRWWxqZjI2Tksxdz09,5,CAS DE FORCE MAJEURE,,,,,,,,,,,,,
NP,MOGUL,bkl3RXJaS3dIdXk0OTdjZWFpby93dz09,13,CAS DE FORCE MAJEURE,,,,,,,,,,,,,
NP,SERPENTINE,akRHUjRXMk50TFVOcXRFZ3ZYUVU0dz09,14,CAS DE FORCE MAJEURE,,,,,,,,,,,,,
