,Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
51,6,dschingis secret ger m.ps. 4 a.,K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09,8.0,Par: SOLDIER HOLLOW  et DIVYA (PLATINI),1/2 (Corde:10),,HORST  PUDWILL,M. KLUG,ADRIE DE VRIES,"59,5kg",,,,,,,GESTUT PARK WIEDINGEN
230,--,ebadiyla ire f.ps. 3 a.,K25VT0dkK1preHVuYWlMNGpha3BZdz09,14.0,Par: SADLER'S WELLS  et EBAZIYA (DARSHAAN),(Corde:09),,S.A.   AGA KHAN,J. OXX,JOHN-PATRICK  MURTAGH,"54,5kg",,,,,,,S.A.  AGA KHAN
100,10,scorpion ire m.ps. 3 a.,K2tUZEFqcU5ZREVYZ0tvMlNLUXo0dz09,11.0,Par: MONTJEU  et ARDMELODY (LAW SOCIETY),1.5 (Corde:10),,MME JOHN MAGNIER/MICHAEL TABOR,AP. O'BRIEN,MR MICHAEL J.  KINANE,56 kg,,,,,,2.0,GRANGEMORE STUD
421,--,daylami ire m.ps. 5 a.,K2wvMS8vK3RBcThtYW55RVQ5ckVDUT09,1.0,Par: DOYOUN  et DALTAWA (MISWAKI),(Corde:10),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,,S.A.  AGA KHAN
67,4,best name gb m.ps. 3 a.,K3JEdDhSdVhKdENiTUZtUzllY0JuQT09,8.0,Par: KING'S BEST  et FLAWLY (OLD VIC),2.L (Corde:03),,SUC. PAUL  VIDAL,ROB. COLLET,OLIVIER  PESLIER,56 kg,114.200,,,,,,NEWSELLS PARK STUD
278,--,much better brz m.ps. 5 a.,K3o3Y1FXOGprcU8zL3RsRi8rUDU5Zz09,0.0,Par: BAYNOUN  et CHARMING DOLL (BRAC),(Corde:14),,TNT STUD,JL. MACIEL,JORGE ANTONIO  RICARDO,59 kg,,,,,,,HARAS J.B. BARROS
395,--,chimes at midnight usa m.ps. 4 a.,KzdsQ3UySnp2cUQremRBRFkzeWtWQT09,1.0,Par: DANZIG  et SURELY GEORGIE'S (ALLEGED),(Corde:05),,LUKE  COMER,L. COMER,WAYNE-JOHN  SMITH,"59,5kg",,,,,,,CALUMET FARM
253,1,sinndar ire m.ps.+,L0QxVDM5Z1RTRngwcVZQRitlVHkyUT09,5.0,Par: GRAND LODGE  et SINNTARA (LASHKARI),(Corde:07),,S.A.   AGA KHAN,J. OXX,JOHN-PATRICK  MURTAGH,56 kg,914.694,,,,,1.0,S.A.  AGA KHAN
186,5,raabihah usa f.ps. 3 a.,L21YajJPdkRTQkVURUtZSnozMm1HUT09,15.0,Par: SEA THE STARS  et GARMOOSHA (KINGMAMBO),2.L (Corde:02),,SHADWELL FRANCE,JC. ROUGET (S),MAXIME  GUYON,55 kg,96.439,,,,,,SHADWELL FARM
50,5,brametot ire m.ps. 3 a.,M0FkVEhqWWFwdkMrTWw3VGtTa3VuUT09,14.0,Par: RAJSAMAN  et MORNING LIGHT (LAW SOCIETY),5/4 (Corde:04),,AL SHAQAB/G. AUGUSTIN-NORMAND,JC. ROUGET (S),CRISTIAN  DEMURO,"56,5kg",143.000,,,,,1.0,H. CARDEMIL
347,--,prospect park (gb) m.ps. 3 a.,M1ZYWVMzZ092SC9aUEV4Rm9yaTNkUT09,17.0,Par: SADLER'S WELLS  et BROOKLYN'S DANCE (SHIRLEY HEIGHTS),(Corde:02),,WERTHEIMER & FRERE,C. LAFFON-PARIAS,OLIVIER  PESLIER,56 kg,,,,,,,WERTHEIMER & FRERE
384,--,testosterone (ire) f.ps. 3 a.,M28yQnU3bHkvTy9DYUROOUxKL0hCQT09,14.0,Par: DANSILI  et EPOPEE (SADLER'S WELLS),(Corde:03),,ECURIE LA BOETIE,P. BARY (S),STEPHANE  PASQUIER,"54,5kg",,,,,,,SCEA  LA POTERIE
401,--,diamilina  f.ps. 3 a.,MDJkV1FKMlNyNnd2dDl0QWdISjB5dz09,16.0,Par: LINAMIX  et DIAMONAKA (AKARAD),(Corde:03),,SNC   LAGARDERE ELEVAGE,A. FABRE,OLIVIER  PESLIER,"54,5kg",,,,S,,1.0,SNC  LAGARDERE ELEVAGE
362,--,duncan gb m.ps. 5 a.,ME03Q3ZUVFNjN09uSjc2anZVOUdqdz09,9.0,Par: DALAKHANI  et DOLORES (DANEHILL),(Corde:16),,NORMANDIE STUD LIMITED,J. GOSDEN,WILLIAM  BUICK,"59,5kg",,,,,,,NORMANDIE STUD LIMITED
436,--,happy valentine gb m.ps. 4 a.,MFdUQ2dKK2VRN1NEN1ZZVDFmMkpXUT09,2.0,Par: RAINBOW QUEST  et NEARCTIC FLAME (SADLER'S WELLS),(Corde:11),,GODOLPHIN,S. BIN SUROOR,DARAGH  O'DONOHOE,"59,5kg",,,,,,1.0,CHEVELEY PARK STUD
228,--,yokohama usa m.ps. 6 a.,MGV3bEM3OXF1SVRUeWloSlhCRTRsUT09,10.0,Par: THEATRICAL  et GRIDDLE (OFF SHORE GAMBLE),(Corde:17),,MME ALLEN  PAULSON,MME C. HEAD,OLIVIER  DOLEUZE,"59,5kg",,,,,,,SUC. A. PAULSON
27,10,authorized ire m.ps. 3 a.,MGVYS2YwbTVFUHpuMmlSejNvOUNYQT09,12.0,Par: MONTJEU  et FUNSIE (SAUMAREZ),CTE (Corde:12),,SALEH AL HOMAIZI/IMAD AL SAGAR,PW. CHAPPLE-HYAM,LANFRANCO  DETTORI,56 kg,,,,,,,"MARENGO INVESTMENTS LIMITED,  KNIGHTON HOUSE LTD, MJ. KINANE"
176,14,patascoy  h.ps. 3 a.,MGhOQitWN0dBWE1aYWNXbXNQemNKZz09,12.0,Par: WOOTTON BASSETT  et NOBLE WORLD (WINGED LOVE),CTE (Corde:02),,SUC. ROBERTO  COCHETEUX TIERNO,X. THOMAS DEMEAULTE,OLIVIER  PESLIER,"56,5kg",,,,,,,MME B. MOSER
120,--,zagreb usa m.ps. 3 a.,MHNITFFMYS9OR2g5Vkt2RHl6OHpPQT09,13.0,Par: THEATRICAL  et SOPHONISBE (WOLLOW),(Corde:03),,SUC. ALLEN  PAULSON,DK. WELD,MR MICHAEL J.  KINANE,56 kg,,,,,,,SUC. A. PAULSON
185,4,gold trip  m.ps. 3 a.,MHlnYUcrbnUvU0trTU1Gd1krQjhFQT09,10.0,Par: OUTSTRIP  et SARVANA (DUBAI DESTINATION),T (Corde:09),,ECURIE JEAN-LOUIS BOUCHARD,F. CHAPPET,STEPHANE  PASQUIER,"56,5kg",192.541,,9.104,,,,M. MONFORT
352,4,behkabad  m.ps. 3 a.,MUFIbDcwdEM1TWVuQXBnckRKL3EvZz09,14.0,Par: CAPE CROSS  et BEHKARA (KRIS),1.5 (Corde:09),,S.A.   AGA KHAN,JC. ROUGET-(S),CHRISTOPHE-PATRICE  LEMAIRE,56 kg,228.400,,8.793,,,3.0,S.A.  AGA KHAN
281,--,truly a dream ire f.ps. 3 a.,MVR3S3I5dlArdUFoeU5HUy92cnI3dz09,0.0,Par: DARSHAAN  et TRULY SPECIAL (CAERLEON),(Corde:19),,R.C.  STRAUSS,ROB. COLLET,MR GUY  GUIGNARD,"54,5kg",,,,,,,RM. AUBERT
260,8,Russian Hope,MW5QQ214MmVTQVFBVG1JWkVaYkthZz09,,,,,,HENRI-ALEX PANTALL,THIERRY JARNET,,,,,,,,
274,--,broadway flyer usa m.ps. 3 a.,MWFpNGd0NUlONzVmNFJXTnZtUWZNQT09,0.0,Par: THEATRICAL  et SERENA (JAN EKELS),(Corde:06),,SULTAN  AL KABEER,SUC. JW. HILLS,MICHAEL  HILLS,56 kg,,,,,,,"STONEREATH FARMS INC., G. PLAYER,SUC. A. PAULSON"
112,7,shaamit ire m.ps.+,MWdFM0xSdlRUanY2YU56bGdNb0N1UT09,8.0,Par: MTOTO  et SHOMOOSE (HABITAT),1/2 (Corde:06),,KHALIFA  DASMAL,WJ. HAGGAS,SUC. PAT  EDDERY,56 kg,,,,,,,K. DASMAL
