id,cheval_id,date,hippodrome,place,distance,specialite,categorie,categorie_backtype,poids,proprietaire,entrainneur,jockey,allocation_totale,prime_proprietaire,prime_eleveur,valeur
,SHpmdDVUam5PNDMyOTJuWDJBVUFidz09,31/10/2015,KEENELAND,2,2.400,P,GR.I,K,0,,,,444.776,0,0,
MWlGcFp6YVFvMGRuSURmdUhqeFp5Zz09,SHpmdDVUam5PNDMyOTJuWDJBVUFidz09,04/10/2015,PARISLONGCHAMP,1,2.400,P,GR.I,K,56,OPPENHEIMER,GOSDEN,DETTORI,2.857.000,0,0,59.0
,SHpmdDVUam5PNDMyOTJuWDJBVUFidz09,12/09/2015,LEOPARDSTOWN,1,2.000,P,GR.I,K,0,,,,638.000,0,0,59.0
,SHpmdDVUam5PNDMyOTJuWDJBVUFidz09,19/08/2015,YORK,2,2.080,P,GR.I,K,0,,,,252.394,0,0,
,SHpmdDVUam5PNDMyOTJuWDJBVUFidz09,04/07/2015,SANDOWN,1,2.000,P,GR.I,K,0,,,,327.635,0,0,
,SHpmdDVUam5PNDMyOTJuWDJBVUFidz09,06/06/2015,EPSOM,1,2.400,P,GR.I,K,0,,,,1.044.062,0,0,
,SHpmdDVUam5PNDMyOTJuWDJBVUFidz09,14/05/2015,YORK,1,1.800,P,GR.II,K,0,,,,116.492,0,0,
,SHpmdDVUam5PNDMyOTJuWDJBVUFidz09,15/04/2015,NEWMARKET,1,1.800,P,Listed,,57,,,,26.939,0,0,
,SHpmdDVUam5PNDMyOTJuWDJBVUFidz09,29/10/2014,NOTTINGHAM,1,1.650,P,,D,57,,,,7.759,0,0,
,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,13/12/2015,SHA TIN,2,2.400,P,GR.I,K,0,ABDULLAH,FABRE (S),,385.470,0,0,55.5
MWlGcFp6YVFvMGRuSURmdUhqeFp5Zz09,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,04/10/2015,PARISLONGCHAMP,2,2.400,P,GR.I,K,"59,5",ABDULLAH,FABRE (S),GUYON,1.143.000,0,0,55.5
,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,29/08/2015,SARATOGA,1,2.400,P,GR.I,K,0,ABDULLAH,FABRE (S),,440.658,0,0,55.5
YzBRQVBXazJWZjMrcWo4NGZxMzRuZz09,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,28/06/2015,SAINT-CLOUD,2,2.400,P,GR.I,K,58,ABDULLAH,FABRE (S),CHEMINAUD,91.440,0,0,55.5
,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,06/06/2015,EPSOM,3,2.400,P,GR.I,K,0,ABDULLAH,FABRE (S),,51.804,0,0,55.0
,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,28/03/2015,MEYDAN,2,2.410,P,GR.I,K,0,ABDULLAH,FABRE (S),,988.392,0,0,55.0
ZXdRRU5TR1VNMWQ2Rmlzd04yNkNWdz09,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,03/03/2015,CHANTILLY,2,1.900,P,,A,60,ABDULLAH,FABRE (S),GUYON,10.000,0,0,55.5
,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,14/12/2014,SHA TIN,1,2.400,P,GR.I,K,0,ABDULLAH,FABRE (S),,879.556,0,0,55.5
,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,01/11/2014,SANTA ANITA,2,2.400,P,GR.I,K,0,ABDULLAH,FABRE (S),,391.559,0,0,55.5
ZTlZWnpxR25DVmtNeGVlelFkclBNdz09,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,05/10/2014,PARISLONGCHAMP,2,2.400,P,GR.I,K,"59,5",ABDULLAH,FABRE (S),GUYON,1.143.000,0,0,55.5
QzNzUTdqKzArMHNJN256Y1BUZU12UT09,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,14/09/2014,PARISLONGCHAMP,2,2.400,P,GR.II,K,58,ABDULLAH,FABRE (S),GUYON,28.600,0,0,54.0
Nk5ab1d3Vm1Ldk0yNXZrNkN3USt4dz09,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,29/06/2014,SAINT-CLOUD,4,2.400,P,GR.I,K,58,ABDULLAH,FABRE (S),GUYON,22.840,0,0,54.0
,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,07/06/2014,EPSOM,2,2.400,P,GR.I,K,0,ABDULLAH,FABRE (S),,99.544,0,0,54.5
THhJSjhIcmx4eEx1Sm1XMy92WWVOdz09,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,06/10/2013,PARISLONGCHAMP,8,2.400,P,GR.I,K,56,ABDULLAH,FABRE (S),GUYON,0,0,0,54.5
