,Annee,Gagnant,Pays,Père,Jockey,Entraîneur,Propriétaire,Deuxième,Troisième,Quatrième,Cinquième,Temps,Sexe,Age,Is_male,Temps_sec
0,1920,Comrade,France,Bachelor's Double,F Bullock,P.-P. Gilpin,E. de Saint-Alary,King's Cross,Pieurs,Meddlesome Maid,Embry,"2'39""",M,3,1,159.0
1,1921,Ksar,France,Brûleur,G. Stern,W.-R. Walton,Mme E. Blanc,Fléchois,Square Measure,Odol,Cid Campeador,"2'34""80",M,3,1,154.8
2,1922,Ksar,France,Brûleur,F. Bullock,W.-R. Walton,Mme E. Blanc,Fléchois,Relapse,Bahadur,Kefalin,"2'38""80",M,4,1,158.8
3,1923,Parth,Royaume-Uni,Polymelus,F. O'Neill,J.-H. Crawford,A.-K. Macomber,Massine,Filibert de Savoie,Checkmate,Kefalin,"2'38""20",M,3,1,158.2
4,1924,Massine,France,Consols,A. Sharpe,E. Cunnington,Henry Ternynck,Isola Bella,Cadum,Le Capucin,Uganda,"2'40""80",M,4,1,160.8
5,1925,Priori,France,Brûleur,M. Allemand,P. Carter,G. de Chavagnac,Cadum (1er rét.),Tras Los Montes,La Habanera,Masked Marvel,"2'33""80",M,3,1,153.8
6,1926,Biribi,France,Rabelais,D. Torterolo,J. Torterolo,Simon Guthman,Dorina,Ptolemy,Masked Ruler,Priori,"2'32""80",M,3,1,152.8
7,1927,Mon Talisman,France,Craig and Eran,Ch.-H. Semblat,F. Carter,E. Martinez de Hoz,Nino,Felton,Fitérari,Flamant,"2'32""80",M,3,1,152.8
8,1928,Kantar,Royaume-Uni,Alcantara II,A. Esling,R. Carver,Ogden Mills,Rialto,Finglas,Motrico,Oleander,"2'38""80",M,3,1,158.8
9,1929,Ortello,Italie,Teddy,P. Caprioli,W. Carter,G. del Montel,Kantar,Finglas,Vatout,Ukrania,"2'42""80",M,3,1,162.8
10,1930,Motrico,France,Radamès,M. Fruhinsholtz,M. d'Okhuysen,Max de Rivaud,Hotwood,Filarete,Ortello,Commanderie,"2'44""80",M,5,1,164.8
11,1931,Pearl Cap,France,Le Capucin,Ch.-H. Semblat,F. Carter,Mlle Diana Esmond,Amfortas,Prince Rose,Brûlette,Taxodium,"2'38""80",F,3,0,158.8
12,1932,Motrico,France,Radamès,Ch.-H. Semblat,M. d'Okhuysen,Max de Rivaud,Goyescas,Macaroni,Le Bécau,Fénolo,"2'44""60",M,7,1,164.6
13,1933,Crapom,Italie,Cranach II,P. Caprioli,F. Regoli,Mario Crespi,Casterari,Pantalon,Assuérus,Camping,"2'41""60",M,3,1,161.6
14,1934,Brantôme,France,Blandford,C. Bouillon,L. Robert,É. de Rothschild,Assuérus,Félicitation,Silver Plated,Sa Parade,"2'41""80",M,3,1,161.8
15,1935,Samos,France,Brûleur,W. Sibbritt,F. Carter,E. de Saint-Alary,Péniche,Corrida,Brantôme,Admiral Drake,"2'42""60",F,3,0,162.6
16,1936,Corrida,France,Coronach,Charlie Elliott,J.-E. Watts,Marcel Boussac,Cousine,Fantastic,Blue Bear,Samos,"2'38""60",F,4,0,158.6
17,1937,Corrida,France,Coronach,Charlie Elliott,J.-E. Watts,Marcel Boussac,Tonnelle,Mousson,En Fraude,Sturmvogel,"2'33""90",F,5,0,153.9
18,1938,Éclair au Chocolat,France,Bubbles,C. Bouillon,L. Robert,É. de Rothschild,Antonym,Canot,Castel Fusano,Vatellor,"2'39""80",M,3,1,159.8
19,1941,Le Pacha,France,Biribi,P. Francolon,J. Cunnington,Philippe Gund,Nepenthe,Djebel,Jock,Longthanh,"2'36""20",M,3,1,156.2
20,1942,Djebel,France,Tourbillon,Jacques Doyasbère,Charles Semblat,Marcel Boussac,Tornado,Breughel,Hern the Hunter,Vigilance,"2'37""90",M,5,1,157.9
