Année,Vainqueur,S/A,Pays,Père,Jockey,Entraîneur,Propriétaire,Deuxième,Troisième,Quatrième,Cinquième,Temps
1920,Comrade,M.3,France,Bachelor's Double,F Bullock,P.-P. Gilpin,E. de Saint-Alary,King's Cross,Pieurs,Meddlesome Maid,Embry,"2'39"""
1921,Ksar,M.3,France,Brûleur,G. Stern,W.-R. Walton,Mme E. Blanc,Fléchois,Square Measure,Odol,Cid Campeador,"2'34""80"
1922,Ksar,M.4,France,Brûleur,F. Bullock,W.-R. Walton,Mme E. Blanc,Fléchois,Relapse,Bahadur,Kefalin,"2'38""80"
1923,Parth,M.3,Royaume-Uni,Polymelus,F. O'Neill,J.-H. Crawford,A.-K. Macomber,Massine,Filibert de Savoie,Checkmate,Kefalin,"2'38""20"
1924,Massine,M.4,France,Consols,A. Sharpe,E. Cunnington,Henry Ternynck,Isola Bella,Cadum,Le Capucin,Uganda,"2'40""80"
1925,Priori,M.3,France,Brûleur,M. Allemand,P. Carter,G. de Chavagnac,Cadum (1er rét.),Tras Los Montes,La Habanera,Masked Marvel,"2'33""80"
1926,Biribi,M.3,France,Rabelais,D. Torterolo,J. Torterolo,Simon Guthman,Dorina,Ptolemy,Masked Ruler,Priori,"2'32""80"
1927,Mon Talisman,M.3,France,Craig and Eran,Ch.-H. Semblat,F. Carter,E. Martinez de Hoz,Nino,Felton,Fitérari,Flamant,"2'32""80"
1928,Kantar,M.3,Royaume-Uni,Alcantara II,A. Esling,R. Carver,Ogden Mills,Rialto,Finglas,Motrico,Oleander,"2'38""80"
1929,Ortello,M.3,Italie,Teddy,P. Caprioli,W. Carter,G. del Montel,Kantar,Finglas,Vatout,Ukrania,"2'42""80"
1930,Motrico,M.5,France,Radamès,M. Fruhinsholtz,M. d'Okhuysen,Max de Rivaud,Hotwood,Filarete,Ortello,Commanderie,"2'44""80"
1931,Pearl Cap,F.3,France,Le Capucin,Ch.-H. Semblat,F. Carter,Mlle Diana Esmond,Amfortas,Prince Rose,Brûlette,Taxodium,"2'38""80"
1932,Motrico,M.7,France,Radamès,Ch.-H. Semblat,M. d'Okhuysen,Max de Rivaud,Goyescas,Macaroni,Le Bécau,Fénolo,"2'44""60"
1933,Crapom,M.3,Italie,Cranach II,P. Caprioli,F. Regoli,Mario Crespi,Casterari,Pantalon,Assuérus,Camping,"2'41""60"
1934,Brantôme,M.3,France,Blandford,C. Bouillon,L. Robert,É. de Rothschild,Assuérus,Félicitation,Silver Plated,Sa Parade,"2'41""80"
1935,Samos,F.3,France,Brûleur,W. Sibbritt,F. Carter,E. de Saint-Alary,Péniche,Corrida,Brantôme,Admiral Drake,"2'42""60"
1936,Corrida,F.4,France,Coronach,Charlie Elliott,J.-E. Watts,Marcel Boussac,Cousine,Fantastic,Blue Bear,Samos,"2'38""60"
1937,Corrida,F.5,France,Coronach,Charlie Elliott,J.-E. Watts,Marcel Boussac,Tonnelle,Mousson,En Fraude,Sturmvogel,"2'33""90"
1938,Éclair au Chocolat,M.3,France,Bubbles,C. Bouillon,L. Robert,É. de Rothschild,Antonym,Canot,Castel Fusano,Vatellor,"2'39""80"
1941,Le Pacha,M.3,France,Biribi,P. Francolon,J. Cunnington,Philippe Gund,Nepenthe,Djebel,Jock,Longthanh,"2'36""20"
1942,Djebel,M.5,France,Tourbillon,Jacques Doyasbère,Charles Semblat,Marcel Boussac,Tornado,Breughel,Hern the Hunter,Vigilance,"2'37""90"
1943,Verso II,M.3,France,Pinceau,G. Duforez,C. Clout,Cte de Chambure,Esmeralda,Norseman,Cordon Rouge,Châteauroux,"2'33""40"
1944,Ardan,M.3,France,Pharis,Jacques Doyasbère,Charles Semblat,Marcel Boussac,Un Gaillard,Deux Pour Cent,Esmeralda,Samaritain,"2'35""00"
1945,Nikellora,F.3,France,Vatellor,R. Johnstone,R. Pelat,Mme R. Paturea,Ardan,Chanteur,Basileus,Samaritain,"2'34""80"
1946,Caracalla,F.4,France,Tourbillon,Charlie Elliott,Charles Semblat,Marcel Boussac,Prince Chevalier,Pirette,Ardan,Fine Lad,"2'33""30"
1947,Le Paillon,M.5,France,Fastnet,F. Rochetti,W. Head,L. Aurosseau,Goyama,Madelon,Fante,Tourment,"2'33""40"
1948,Migoli,M.4,Royaume-Uni,Bois Roussel,C. Smirke,Frank Butters,Aga Khan III,Nirgal,Bey,Spooney,Turmoil,"2'31""60"
1949,Coronation,F.3,France,Djebel,Roger Poincelet,Charles Semblat,Marcel Boussac,Double Rose,Amour Drake,Rantzau,Médium,"2'38""60"
1950,Tantième,M.3,France,Deux Pour Cent,Jacques Doyasbère,François Mathet,François Dupré,Alizier,L'Amiral,Scratch,Fort Napoléon,"2'34""20"
1951,Tantième,M.4,France,Deux Pour Cent,Jacques Doyasbère,François Mathet,François Dupré,Nuccio,Le Tirol,Djelfa,Pan,"2'32""80"
1952,Nuccio,M.4,France,Traghetto,Roger Poincelet,Alec Head,Aga Khan III,La Mirambule,Dynamiter,Silnet,Worden,"2'39""80"
1953,La Sorellina,F.3,France,Sayani,M. Larraun,Étienne Pollet,Paul Dubosq,Silnet,Worden,Buisson d'Or,Northern Light,"2'31""80"
1954,Sica Boy,M.3,France,Sunny Boy,W. Johnstone,P. Pelat,Mme J. Cochery,Banassa,Filante,Norman,Cordova,"2'36""30"
1955,Ribot,M.3,Italie,Tenerani,E. Camici,U. Penco,Mis I. della Rochetta,Beau Prince II,Picounda,Kurun,Savoyard,"2'35""60"
1956,Ribot,M.4,Italie,Tenerani,E. Camici,U. Penco,Mis I. della Rochetta,Talgo,Tanerko,Career Boy,Master Boing,"2'34""70"
1957,Oroso,M.4,France,Tifinar,S. Boullenger,D. Lescalle,Raoul Meyer,Denisy,Balbo,Prince Taj,Al Mabsoot,"2'33""40"
