"Numero","Cheval","S/A","Distance","Jockey","Entraineur"
"1","FLINTSHIRE","M5","59.5 kg","Guyon M.","Fabre A."
"2","EAGLE TOP","M4","59.5 kg","Buick W.","Gosden J."
"3","MANATEE","M4","59.5 kg","Barzalona M.","Fabre A."
"4","NON-PARTANT","M6","59.5 kg","Fouassier A.","Couetil A."
"5","PRINCE GIBRALTAR","M4","59.5 kg","Veron F.","Rouget Jc."
"6","SPIRITJIM","M5","59.5 kg","Atzeni A.","Couetil A."
"7","FREE EAGLE","M4","59.5 kg","Smullen P.","Weld Dk."
"8","DOLNIYA","F4","58 kg","Soumillon C.","Royer Dupre A."
"9","TREVE","F5","58 kg","Jarnet T.","Head-maarek C."
"10","FRINE","F5","58 kg","Peslier O.","Laffon-Parias C."
"11","SILJAN'S SAGA","F5","58 kg","Boudot Pc.","Gauvin Jp."
"12","TAPESTRY","F4","58 kg","O'brien J.","O'brien Ap."
"13","NEW BAY","M3","56 kg","Cheminaud V.","Fabre A."
"14","SILVERWAVE","M3","56 kg","Doyle J.","Couetil A."
"15","ERUPT","M3","56 kg","Pasquier S.","Graffard Fh."
"16","GOLDEN HORN","M3","56 kg","Dettori L.","Gosden J."
"17","SHAHAH","F3","54.5 kg","Benoist G.","Head-maarek C."
"18","FOUND","F3","54.5 kg","Moore Ryan-lee","O'brien Ap."
