,NumSire,NomCheval,Suffixe,Race,Sexe,AnneeNaissance,link
0,czMzdVMvOTdNaTU4V1cvaHFUeU5kZz09,MEISHO SAMSON            ,JPN,PS   ,M,2003,/fr/cheval/czMzdVMvOTdNaTU4V1cvaHFUeU5kZz09
1,VmpxdVlzR1R1VGNtdUxJOGVxL0VGZz09,SOTTSASS                 ,FR ,PS   ,M,2016,/fr/cheval/VmpxdVlzR1R1VGNtdUxJOGVxL0VGZz09
2,alJjOVppdmZJZ2RTaGZFMmVqZVZlUT09,HAYA LANDA               ,FR ,PS   ,F,2008,/fr/cheval/alJjOVppdmZJZ2RTaGZFMmVqZVZlUT09
3,U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09,CAVALRYMAN               ,GB ,PS   ,M,2006,/fr/cheval/U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09
4,ZE8wV2g4Sks0MUpGYmZwVFV4WXpuQT09,ROBIN HOOD               ,SWI,PS   ,H,1995,/fr/cheval/ZE8wV2g4Sks0MUpGYmZwVFV4WXpuQT09
5,bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09,NEW BAY                  ,GB ,PS   ,M,2012,/fr/cheval/bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09
6,a3ZsWE50QllNQ2p2M1hxM2pUQ2d2QT09,TAPESTRY                 ,IRE,PS   ,F,2011,/fr/cheval/a3ZsWE50QllNQ2p2M1hxM2pUQ2d2QT09
7,Mlp1ejhKMHZENFhrUHlqanc5V3NFZz09,ECTOT                    ,GB ,PS   ,M,2011,/fr/cheval/Mlp1ejhKMHZENFhrUHlqanc5V3NFZz09
8,bEZ1Zko4L2lMSG40aHRaa3owaVB4Zz09,NAGANO GOLD              ,GB ,PS   ,M,2014,/fr/cheval/bEZ1Zko4L2lMSG40aHRaa3owaVB4Zz09
9,aUtYaVhKMkJzQzFEblB5Q0NsU09hZz09,CIMA DE TRIOMPHE         ,IRE,PS   ,M,2005,/fr/cheval/aUtYaVhKMkJzQzFEblB5Q0NsU09hZz09
10,QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09,HIGHLAND REEL            ,IRE,PS   ,M,2012,/fr/cheval/QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09
11,TWNvYXlyZytKS1pqaGpVbG01bE1LQT09,STEELE TANGO             ,USA,PS   ,M,2005,/fr/cheval/TWNvYXlyZytKS1pqaGpVbG01bE1LQT09
12,ZGpkOS83OFFpWmJZWm1VOUdRQzk3dz09,IVANHOWE                 ,GER,PS   ,M,2010,/fr/cheval/ZGpkOS83OFFpWmJZWm1VOUdRQzk3dz09
13,Z2I5elZrWUt2dW1KQ0lvb2lvVFhTdz09,TALISMANIC               ,GB ,PS   ,M,2013,/fr/cheval/Z2I5elZrWUt2dW1KQ0lvb2lvVFhTdz09
14,TVhMSVg4TlJHU2EwZFVuVHFsRVVXUT09,IDAHO                    ,IRE,PS   ,M,2013,/fr/cheval/TVhMSVg4TlJHU2EwZFVuVHFsRVVXUT09
15,REdDazBNSHVPeDUxRzdXNElncFVBQT09,AVENIR CERTAIN           ,FR ,PS   ,F,2011,/fr/cheval/REdDazBNSHVPeDUxRzdXNElncFVBQT09
16,YzBpaVBQcnZ4Nko1WmRudDg5eUVOUT09,OCOVANGO                 ,GB ,PS   ,M,2010,/fr/cheval/YzBpaVBQcnZ4Nko1WmRudDg5eUVOUT09
17,WFRSdmloSlRtRmJXNGtORzR4ckFRQT09,SATONO DIAMOND           ,JPN,PS   ,M,2013,/fr/cheval/WFRSdmloSlRtRmJXNGtORzR4ckFRQT09
18,RjBiUHlWMCs1OFJJb3NOd09HdytWdz09,FOUND                    ,IRE,PS   ,F,2012,/fr/cheval/RjBiUHlWMCs1OFJJb3NOd09HdytWdz09
19,WWxFUyt2Qmc4djI4VE9PM3FlRTAxQT09,JOSHUA TREE              ,IRE,PS   ,M,2007,/fr/cheval/WWxFUyt2Qmc4djI4VE9PM3FlRTAxQT09
20,bCtPVWJoQTlRMFNRSG8xd01DdGpuQT09,BAYRIR                   ,FR ,PS   ,M,2009,/fr/cheval/bCtPVWJoQTlRMFNRSG8xd01DdGpuQT09
21,ZWd4UmkyYTlrK25ZTGRQcFhBWUZ2QT09,GOING SOMEWHERE          ,BRZ,PS   ,M,2009,/fr/cheval/ZWd4UmkyYTlrK25ZTGRQcFhBWUZ2QT09
22,Y1puWTl6ZGpLY2Fvd3UyTmMwQVhlZz09,EAGLE TOP                ,GB ,PS   ,M,2011,/fr/cheval/Y1puWTl6ZGpLY2Fvd3UyTmMwQVhlZz09
23,Vmo0cmJtL052cGU0aW4xUVVPNEV4dz09,GALIKOVA                 ,FR ,PS   ,F,2008,/fr/cheval/Vmo0cmJtL052cGU0aW4xUVVPNEV4dz09
24,czU4dVB6aEQxV01OeGNYMFpuaW11Zz09,LEFT HAND                ,GB ,PS   ,F,2013,/fr/cheval/czU4dVB6aEQxV01OeGNYMFpuaW11Zz09
25,SW1mT05IeUpoYkVjSGl3M3BWbW9Tdz09,LEADING LIGHT            ,IRE,PS   ,M,2010,/fr/cheval/SW1mT05IeUpoYkVjSGl3M3BWbW9Tdz09
26,R1hVbXF5bW9rT2ZlK3YxSGU1NmlnZz09,HIRUNO D'AMOUR           ,JPN,PS   ,M,2007,/fr/cheval/R1hVbXF5bW9rT2ZlK3YxSGU1NmlnZz09
27,QzNZVWIrMnp1SmI5ZTFkMGd3NmlOdz09,SILVER POND              ,FR ,PS   ,M,2007,/fr/cheval/QzNZVWIrMnp1SmI5ZTFkMGd3NmlOdz09
28,dVl6cnIxd1ZTSlg0TVZJK0g4QnVKZz09,MIDAS TOUCH              ,GB ,PS   ,M,2007,/fr/cheval/dVl6cnIxd1ZTSlg0TVZJK0g4QnVKZz09
29,SXRnUEJUcVJTcjZpSkY2ZHJCZzZsQT09,CONDUIT                  ,IRE,PS   ,M,2005,/fr/cheval/SXRnUEJUcVJTcjZpSkY2ZHJCZzZsQT09
30,UjRyVVZ3Zi9RSk54WEs0M21IRVB2Zz09,SEA MOON                 ,GB ,PS   ,M,2008,/fr/cheval/UjRyVVZ3Zi9RSk54WEs0M21IRVB2Zz09
31,T284Ny8xbGpaUUxSQXhJUDcrNTl4dz09,RULER OF THE WORLD       ,IRE,PS   ,M,2010,/fr/cheval/T284Ny8xbGpaUUxSQXhJUDcrNTl4dz09
32,aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09,SILJAN'S SAGA            ,FR ,PS   ,F,2010,/fr/cheval/aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09
33,bDZjOTYzdnkvRUliV3dyKzYzMDZZZz09,SAVOIR VIVRE             ,IRE,PS   ,M,2013,/fr/cheval/bDZjOTYzdnkvRUliV3dyKzYzMDZZZz09
34,VEo0Z2ttM2xvSGhIdFV6aUVOUjBIUT09,DEIRDRE                  ,JPN,PS   ,F,2014,/fr/cheval/VEo0Z2ttM2xvSGhIdFV6aUVOUjBIUT09
35,OXdkSFpUemRadW1FUU82ZVRQM01SQT09,FAME AND GLORY           ,GB ,PS   ,M,1985,/fr/cheval/OXdkSFpUemRadW1FUU82ZVRQM01SQT09
36,UVFkMzhzblJXZ2pma04rVDRYTGV6dz09,KIZUNA                   ,JPN,PS   ,M,2010,/fr/cheval/UVFkMzhzblJXZ2pma04rVDRYTGV6dz09
37,Y0pQOFZiSnRDb0syczM2cDdvWjNNdz09,SHARETA                  ,IRE,PS   ,F,2008,/fr/cheval/Y0pQOFZiSnRDb0syczM2cDdvWjNNdz09
38,WTh4VFBlSHE5RWZCZEh2OFFWRmxGUT09,HOT SIX                  ,BRZ,PS   ,M,2005,/fr/cheval/WTh4VFBlSHE5RWZCZEh2OFFWRmxGUT09
39,c0U5QS90bmdJdFNCV3d6SWhEKzlRUT09,FREE PORT LUX            ,GB ,PS   ,M,2011,/fr/cheval/c0U5QS90bmdJdFNCV3d6SWhEKzlRUT09
40,d2huMXJ6SFNpbkR6aXNzUUlnZ2tlUT09,WINTER                   ,IRE,PS   ,F,2014,/fr/cheval/d2huMXJ6SFNpbkR6aXNzUUlnZ2tlUT09
41,V0swazNFZzMvaCtad3ZUNTdiNmRVUT09,ORFEVRE                  ,JPN,PS   ,M,2008,/fr/cheval/V0swazNFZzMvaCtad3ZUNTdiNmRVUT09
42,dldoMUVGaE40ZlJLN21YaWkwdXhUQT09,ST NICHOLAS ABBEY        ,IRE,PS   ,M,2007,/fr/cheval/dldoMUVGaE40ZlJLN21YaWkwdXhUQT09
43,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,STACELITA                ,FR ,PS   ,F,2006,/fr/cheval/bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09
44,eTNtTHY4SXAxczc5ajZOTVp0OWxMZz09,CHICQUITA                ,IRE,PS   ,F,2010,/fr/cheval/eTNtTHY4SXAxczc5ajZOTVp0OWxMZz09
