,fg_id,NomCheval,Annee,Specialite,NbrCourses,NbrVictoires,NbrPlaces,AllocVict,AllocPlc,AllocTotale,AllocPrimeProp,PrimeEleveur,VictPart,PlcPart,MoyenneGainAnnee
0,RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09,JUST A WAY               ,2014,P/,1,0,0,0,0,0,0,0,0,0,0
1,RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09,JUST A WAY               ,2013,P/,0,0,0,0,0,0,0,0,0,0,0
2,RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09,JUST A WAY               ,2012,P/,0,0,0,0,0,0,0,0,0,0,0
3,RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09,JUST A WAY               ,2011,P/,0,0,0,0,0,0,0,0,0,0,0
4,T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09,TAGHROODA                ,2014,P/,1,0,1,0,571500,571500,571500,0,0,1,571500
5,T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09,TAGHROODA                ,2013,P/,0,0,0,0,0,0,0,0,0,0,0
6,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,STACELITA                ,2011,P/,1,0,1,0,12000,12000,17760,2486,0,1,12000
7,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,STACELITA                ,2010,P/,4,2,2,182850,82855,265705,393243,55052,"0,5","0,5",66426
8,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,STACELITA                ,2009,P/,6,5,0,806390,0,806390,1314414,184015,"0,83",0,134398
9,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,STACELITA                ,2008,P/,1,1,0,6500,0,6500,11375,1592,1,0,6500
10,bytINmx4MVZBT3Z1cGlVTTEzYUlTQT09,BLAST ONEPIECE           ,2019,P/,1,0,0,0,0,0,0,0,0,0,0
11,bytINmx4MVZBT3Z1cGlVTTEzYUlTQT09,BLAST ONEPIECE           ,2018,P/,0,0,0,0,0,0,0,0,0,0,0
