,fg_id,DateReunion,Hippodrome,CodeHippodrome,AnneeCourse,Specialite,LabelCourse,Prix,PrixCourt,NumProgramme,Categorie,NumSire,NomCheval,DistanceParcouru,PoidsPorte,NomProprietaire,Etat,ClotSuiv1,ClotSuiv2,DateClot,LibelleJockey,Allocation,TypeEngagement,Corde,Discipline,NomEntraineur,NomJockey,ReferenceCourse,price,NumProgrammeDecoded,SpecialiteLabel
0,RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09,20141005,PARISLONGCHAMP,dTBtUk50T2Z4NVpwbHI5OFRYazI3QT09,2014,P,ARC DE TRIOMPHE,P - 572 - ARC DE TRIOMPHE,,OVg1RjR1aWhiUkxvNTF3aUYxTmZXUT09,,RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09,JUST A WAY               ,,,,PARTANT   ,,,,YUICHI FUKUNAGA,,N,,,,,,{'link': '/fr/course/detail/2014/P/OVg1RjR1aWhiUkxvNTF3aUYxTmZXUT09'},572,Plat
1,T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09,20141005,PARISLONGCHAMP,dTBtUk50T2Z4NVpwbHI5OFRYazI3QT09,2014,P,ARC DE TRIOMPHE,P - 572 - ARC DE TRIOMPHE,,OVg1RjR1aWhiUkxvNTF3aUYxTmZXUT09,,T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09,TAGHROODA                ,,,,PARTANT   ,,,,PAUL HANAGAN,,N,,,,,,{'link': '/fr/course/detail/2014/P/OVg1RjR1aWhiUkxvNTF3aUYxTmZXUT09'},572,Plat
2,T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09,20140615,CHANTILLY,YUpRK3U5dENCUUtSdUNIRWdYd2Z5QT09,2014,P,DE DIANE       ,P - 517 - DE DIANE       ,,cjVHYnZQVW8weXUwTEplT01haWpiZz09,,T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09,TAGHROODA                ,,,,FORFAIT 1 ,,,,,,N,,,,,,{'link': '/fr/course/detail/2014/P/cjVHYnZQVW8weXUwTEplT01haWpiZz09'},517,Plat
3,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,20110813,ARLINGTON PARK,WTRBZG9WZkh1M0NtRjVuSU1oTUNjdz09,2011,P,ARLINGTON MILLI,P - 7614 - ARLINGTON MILLI,,UU8vTlR3NEUzZmdrc2grdkVZSlJYdz09,,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,STACELITA                ,,,,,,,,,,N,,,,,,{'link': '/fr/course/detail/2011/P/UU8vTlR3NEUzZmdrc2grdkVZSlJYdz09'},7614,Plat
4,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,20110813,ARLINGTON PARK,WTRBZG9WZkh1M0NtRjVuSU1oTUNjdz09,2011,P,BEVERLY D STAKE,P - 7615 - BEVERLY D STAKE,,WU9HRG96UlFXNXp2Z09TYWo0T1N0Zz09,,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,STACELITA                ,,,,,,,,,,N,,,,,,{'link': '/fr/course/detail/2011/P/WU9HRG96UlFXNXp2Z09TYWo0T1N0Zz09'},7615,Plat
5,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,20110702,SANDOWN,NGpsS3gvMndOTnVvbHc3MHRnZW4ydz09,2011,P,ECLIPSE STAKES ,P - 7418 - ECLIPSE STAKES ,,Sms1azlGMFJ3RHFJejZKK2dwZ2VWZz09,,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,STACELITA                ,,,,,,,,,,N,,,,,,{'link': '/fr/course/detail/2011/P/Sms1azlGMFJ3RHFJejZKK2dwZ2VWZz09'},7418,Plat
6,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,20110613,PARISLONGCHAMP,dTBtUk50T2Z4NVpwbHI5OFRYazI3QT09,2011,P,LA COUPE       ,P - 552 - LA COUPE       ,,bmwrSUt3cmd1MEpkY1o4QTh3bURxUT09,,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,STACELITA                ,,,,PARTANT   ,,,,CHRISTOPHE-PATRICE LEMAIRE,,N,,,,,,{'link': '/fr/course/detail/2011/P/bmwrSUt3cmd1MEpkY1o4QTh3bURxUT09'},552,Plat
7,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,20101016,WOODBINE,YWpkb0RIQzJTRUFPYXF6RmlOMUJLdz09,2010,P,E.P.TAYLOR STK ,P - 7576 - E.P.TAYLOR STK ,,Mi84QWhITXMzVXlLMDBRT2lhbjZ0QT09,,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,STACELITA                ,,,,,,,,,,N,,,,,,{'link': '/fr/course/detail/2010/P/Mi84QWhITXMzVXlLMDBRT2lhbjZ0QT09'},7576,Plat
8,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,20101016,NEWMARKET,Nmo0cHN5clFKaTYrRHlFZlV2YXdrUT09,2010,P,CHAMPION STAKES,P - 7228 - CHAMPION STAKES,,cVJFUmN1ejgvUHJqT0NCV0VzNHM4UT09,,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,STACELITA                ,,,,,,,,,,N,,,,,,{'link': '/fr/course/detail/2010/P/cVJFUmN1ejgvUHJqT0NCV0VzNHM4UT09'},7228,Plat
9,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,20101003,PARISLONGCHAMP,dTBtUk50T2Z4NVpwbHI5OFRYazI3QT09,2010,P,DE L'OPERA     ,P - 949 - DE L'OPERA     ,,d1d2SnJyd0dUN1dUdi9DNDh6Y2VUUT09,,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,STACELITA                ,,,,PARTANT   ,,,,CHRISTOPHE SOUMILLON,,N,,,,,,{'link': '/fr/course/detail/2010/P/d1d2SnJyd0dUN1dUdi9DNDh6Y2VUUT09'},949,Plat
