,AnneeNaissance,NomCheval,NumSire,Race,Sexe,Suffixe,link
0,2009,JUST A WAY               ,RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09,PS   ,M,JPN,/fr/cheval/RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09
1,2011,TAGHROODA                ,T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09,PS   ,F,GB ,/fr/cheval/T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09
2,2006,STACELITA                ,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,PS   ,F,FR ,/fr/cheval/bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09
3,2015,BLAST ONEPIECE           ,bytINmx4MVZBT3Z1cGlVTTEzYUlTQT09,PS   ,M,JPN,/fr/cheval/bytINmx4MVZBT3Z1cGlVTTEzYUlTQT09
4,2012,ORDER OF ST GEORGE       ,SXFsNEYvUmtRVERCV2RSeE93Skl6UT09,PS   ,M,IRE,/fr/cheval/SXFsNEYvUmtRVERCV2RSeE93Skl6UT09
5,2005,ZARKAVA                  ,YWNmUDA5eEQ3dFgyNElBa3B0MlRJQT09,PS   ,F,IRE,/fr/cheval/YWNmUDA5eEQ3dFgyNElBa3B0MlRJQT09
6,2006,STRADIVARIUS             ,bzZzYUpzSExQc2lUN0s4cWg1SnFhUT09,AQPS ,H,FR ,/fr/cheval/bzZzYUpzSExQc2lUN0s4cWg1SnFhUT09
7,2007,JOSHUA TREE              ,WWxFUyt2Qmc4djI4VE9PM3FlRTAxQT09,PS   ,M,IRE,/fr/cheval/WWxFUyt2Qmc4djI4VE9PM3FlRTAxQT09
8,2010,SATONO NOBLESSE          ,cnphcHp4eGdSNHFJOVBFYk05MmZBZz09,PS   ,M,JPN,/fr/cheval/cnphcHp4eGdSNHFJOVBFYk05MmZBZz09
9,2017,GOLD TRIP                ,MHlnYUcrbnUvU0trTU1Gd1krQjhFQT09,PS   ,M,FR ,/fr/cheval/MHlnYUcrbnUvU0trTU1Gd1krQjhFQT09
10,2011,POSTPONED                ,N3labVdLZXlaZHA2YVhtb2RrUmFidz09,PS   ,M,IRE,/fr/cheval/N3labVdLZXlaZHA2YVhtb2RrUmFidz09
11,2003,PAPAL BULL               ,OHRGVnJJcVBuaExzMGxtQld4ckRJQT09,PS   ,M,GB ,/fr/cheval/OHRGVnJJcVBuaExzMGxtQld4ckRJQT09
12,2006,GRAND DUCAL              ,UTBLamNvYSs0QnZrWHJESXc2WDVkZz09,PS   ,M,IRE,/fr/cheval/UTBLamNvYSs0QnZrWHJESXc2WDVkZz09
13,2014,WALDGEIST                ,RG1DS2Y3R0tTdWJjNmk1ZWpuelpmQT09,PS   ,M,GB ,/fr/cheval/RG1DS2Y3R0tTdWJjNmk1ZWpuelpmQT09
14,2005,LIANG KAY                ,dVd3OUVvWCtrdnFxcVVyMWRWNHNmdz09,PS   ,M,GER,/fr/cheval/dVd3OUVvWCtrdnFxcVVyMWRWNHNmdz09
15,2017,IN SWOOP                 ,OEtVY3N1ZmxHVTNwUTlQVWdDdXZDZz09,PS   ,M,IRE,/fr/cheval/OEtVY3N1ZmxHVTNwUTlQVWdDdXZDZz09
16,2001,SEVENTH HEAVEN           ,YldBVGFrelh6VkpqRWtnOTVUYWR4UT09,AR   ,F,FR ,/fr/cheval/YldBVGFrelh6VkpqRWtnOTVUYWR4UT09
17,2009,VERY NICE NAME           ,RWZHOFk2dm1RMytaUCtzTU4xZ0Q3QT09,PS   ,M,FR ,/fr/cheval/RWZHOFk2dm1RMytaUCtzTU4xZ0Q3QT09
18,2011,ECTOT                    ,Mlp1ejhKMHZENFhrUHlqanc5V3NFZz09,PS   ,M,GB ,/fr/cheval/Mlp1ejhKMHZENFhrUHlqanc5V3NFZz09
19,2014,DEFOE                    ,dytmNjY1aXBDZzhnc1R2U2VlTk42dz09,PS   ,H,IRE,/fr/cheval/dytmNjY1aXBDZzhnc1R2U2VlTk42dz09
20,2012,ONE FOOT IN HEAVEN       ,RWR5RWt3QWVRWFdnRitibDhxbGh0UT09,PS   ,H,IRE,/fr/cheval/RWR5RWt3QWVRWFdnRitibDhxbGh0UT09
21,2010,IVANHOWE                 ,ZGpkOS83OFFpWmJZWm1VOUdRQzk3dz09,PS   ,M,GER,/fr/cheval/ZGpkOS83OFFpWmJZWm1VOUdRQzk3dz09
22,2010,CHICQUITA                ,eTNtTHY4SXAxczc5ajZOTVp0OWxMZz09,PS   ,F,IRE,/fr/cheval/eTNtTHY4SXAxczc5ajZOTVp0OWxMZz09
23,2017,CHACHNAK                 ,aE9ndDRLT1ZtMjZFQkJQb0x6MDZGUT09,PS   ,M,FR ,/fr/cheval/aE9ndDRLT1ZtMjZFQkJQb0x6MDZGUT09
24,2007,HIRUNO D'AMOUR           ,R1hVbXF5bW9rT2ZlK3YxSGU1NmlnZz09,PS   ,M,JPN,/fr/cheval/R1hVbXF5bW9rT2ZlK3YxSGU1NmlnZz09
25,2015,GHAIYYATH                ,OEVXa3VKb1gwRzVtenBOdkFVdjJBZz09,PS   ,M,IRE,/fr/cheval/OEVXa3VKb1gwRzVtenBOdkFVdjJBZz09
26,2008,MEANDRE                  ,YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09,PS   ,M,FR ,/fr/cheval/YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09
27,2011,FREE EAGLE               ,SGJDenBYdWpaWXFERUJ6eWRBU1lNUT09,PS   ,M,IRE,/fr/cheval/SGJDenBYdWpaWXFERUJ6eWRBU1lNUT09
28,2008,HAYA LANDA               ,alJjOVppdmZJZ2RTaGZFMmVqZVZlUT09,PS   ,F,FR ,/fr/cheval/alJjOVppdmZJZ2RTaGZFMmVqZVZlUT09
29,2011,PRINCE GIBRALTAR         ,T0FSOXFzQ0VpbVNickZvcm15c0FvQT09,PS   ,M,FR ,/fr/cheval/T0FSOXFzQ0VpbVNickZvcm15c0FvQT09
30,2013,MAKAHIKI                 ,eGFJU09vRmZhSTNoWmhCam95UkNWUT09,PS   ,M,JPN,/fr/cheval/eGFJU09vRmZhSTNoWmhCam95UkNWUT09
31,2014,CLINCHER                 ,RWQ1TlhMdGFJMUhUS0dhQksxc3M1QT09,PS   ,M,JPN,/fr/cheval/RWQ1TlhMdGFJMUhUS0dhQksxc3M1QT09
32,2012,SILVERWAVE               ,eElISExrSmJ5bTJud3BsV0hIa09xdz09,PS   ,M,FR ,/fr/cheval/eElISExrSmJ5bTJud3BsV0hIa09xdz09
33,2008,DANEDREAM                ,Vmx6VGluUndKMzd2TDZZTnJpWHIwQT09,PS   ,F,GER,/fr/cheval/Vmx6VGluUndKMzd2TDZZTnJpWHIwQT09
34,2013,ROYAL JULIUS             ,czliWEdqRDNROWtwMmtHMThuN3JEdz09,PS   ,M,IRE,/fr/cheval/czliWEdqRDNROWtwMmtHMThuN3JEdz09
35,2011,TAPESTRY                 ,a3ZsWE50QllNQ2p2M1hxM2pUQ2d2QT09,PS   ,F,IRE,/fr/cheval/a3ZsWE50QllNQ2p2M1hxM2pUQ2d2QT09
36,2008,SOLEMIA                  ,c3NrdkxkRTJ2bnpBU1Jkckt1M2VkQT09,PS   ,F,IRE,/fr/cheval/c3NrdkxkRTJ2bnpBU1Jkckt1M2VkQT09
37,2007,BEHKABAD                 ,MUFIbDcwdEM1TWVuQXBnckRKL3EvZz09,PS   ,M,FR ,/fr/cheval/MUFIbDcwdEM1TWVuQXBnckRKL3EvZz09
38,2016,PERSIAN KING             ,eHZpS0hMSTB6OHFVZTlQMmZUTWY4dz09,PS   ,M,IRE,/fr/cheval/eHZpS0hMSTB6OHFVZTlQMmZUTWY4dz09
39,2014,DEIRDRE                  ,VEo0Z2ttM2xvSGhIdFV6aUVOUjBIUT09,PS   ,F,JPN,/fr/cheval/VEo0Z2ttM2xvSGhIdFV6aUVOUjBIUT09
40,2005,MAGADAN                  ,OUdvYWhXcTdneHpmSGVNc3ZaMERxZz09,PS   ,M,IRE,/fr/cheval/OUdvYWhXcTdneHpmSGVNc3ZaMERxZz09
41,2015,STUDY OF MAN             ,Q3Y2c2JyZ0IwdVhVYnhMRnk1UHVFZz09,PS   ,M,IRE,/fr/cheval/Q3Y2c2JyZ0IwdVhVYnhMRnk1UHVFZz09
42,2012,CAPRI                    ,Z3M2ZFhJZVBwRDBGOTd5a3lVZVJ6QT09,AQPS ,F,FR ,/fr/cheval/Z3M2ZFhJZVBwRDBGOTd5a3lVZVJ6QT09
43,2012,TIBERIAN                 ,Mm9SblZqMzJiYkUyK3EwNkdVTkJ1QT09,PS   ,M,FR ,/fr/cheval/Mm9SblZqMzJiYkUyK3EwNkdVTkJ1QT09
44,2004,SOLDIER OF FORTUNE       ,TlVwdUJtc1N6SEFGZk1aTThYYVRGdz09,PS   ,M,IRE,/fr/cheval/TlVwdUJtc1N6SEFGZk1aTThYYVRGdz09
45,2010,LEADING LIGHT            ,SW1mT05IeUpoYkVjSGl3M3BWbW9Tdz09,PS   ,M,IRE,/fr/cheval/SW1mT05IeUpoYkVjSGl3M3BWbW9Tdz09
46,2014,MIGWAR                   ,anptcjdXV2c4dE9DbE1QSGtmQ3Z2Zz09,AR   ,M,FR ,/fr/cheval/anptcjdXV2c4dE9DbE1QSGtmQ3Z2Zz09
47,2010,FLINTSHIRE               ,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,PS   ,M,GB ,/fr/cheval/d29nU2FtRTVHbGN3NGl5S2JOUlljdz09
48,2010,RULER OF THE WORLD       ,T284Ny8xbGpaUUxSQXhJUDcrNTl4dz09,PS   ,M,IRE,/fr/cheval/T284Ny8xbGpaUUxSQXhJUDcrNTl4dz09
49,2015,HUNTING HORN             ,d3cyTC9aMW9MbnFkUk9JVUpYVzhyQT09,PS   ,M,IRE,/fr/cheval/d3cyTC9aMW9MbnFkUk9JVUpYVzhyQT09
50,2013,IDAHO                    ,TVhMSVg4TlJHU2EwZFVuVHFsRVVXUT09,PS   ,M,IRE,/fr/cheval/TVhMSVg4TlJHU2EwZFVuVHFsRVVXUT09
51,2007,VICTOIRE PISA            ,MnRZSnpld2dENHZCQlpydS9RZkRZZz09,PS   ,M,JPN,/fr/cheval/MnRZSnpld2dENHZCQlpydS9RZkRZZz09
52,2011,KINGSTON HILL            ,MmZuaHFKMHNuc0RzbHJpN1Z3QUhEZz09,PS   ,M,GB ,/fr/cheval/MmZuaHFKMHNuc0RzbHJpN1Z3QUhEZz09
53,2010,PENGLAI PAVILION         ,c0hTZWZ6bWIyRHhkMEhsK3NYOTdZdz09,PS   ,H,USA,/fr/cheval/c0hTZWZ6bWIyRHhkMEhsK3NYOTdZdz09
54,2005,DAR RE MI                ,ekZpcjZmZk0wQ3dudmlQTGpnc2M1dz09,PS   ,F,GB ,/fr/cheval/ekZpcjZmZk0wQ3dudmlQTGpnc2M1dz09
55,2007,SNOW FAIRY               ,aEI5WHVyaVVDWGtHZExZWjlOUnBZZz09,PS   ,F,IRE,/fr/cheval/aEI5WHVyaVVDWGtHZExZWjlOUnBZZz09
56,2003,IT'S GINO                ,MjlMSlBkbnpHN0NCNXZ3aklVbG5jQT09,PS   ,M,GER,/fr/cheval/MjlMSlBkbnpHN0NCNXZ3aklVbG5jQT09
57,2016,SOFT LIGHT               ,dlFLNFhzN2c3WStrNWd3a090Zy9pQT09,PS   ,M,FR ,/fr/cheval/dlFLNFhzN2c3WStrNWd3a090Zy9pQT09
58,2009,MASTERSTROKE             ,eXB6YklZaWpoeitGVlN5Tko5MWdyQT09,PS   ,M,USA,/fr/cheval/eXB6YklZaWpoeitGVlN5Tko5MWdyQT09
59,2003,GETAWAY                  ,OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09,PS   ,M,GER,/fr/cheval/OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09
60,2015,KEW GARDENS              ,OTE4NWgvczJmSkVIR0ROUnNpa09EZz09,PS   ,M,IRE,/fr/cheval/OTE4NWgvczJmSkVIR0ROUnNpa09EZz09
61,2003,ASK                      ,TUlnUHpYTm15RUo2Q2NVSjFqU0pDUT09,PS   ,M,GB ,/fr/cheval/TUlnUHpYTm15RUo2Q2NVSjFqU0pDUT09
62,2010,INTELLO                  ,Rm8xbnU4bFU3SkNHTmUvajc2c0xYUT09,PS   ,M,GER,/fr/cheval/Rm8xbnU4bFU3SkNHTmUvajc2c0xYUT09
63,2015,NEUFBOSC                 ,ZkZSOXRjWEVteXM3QXNBb1A2WUtZUT09,PS   ,M,FR ,/fr/cheval/ZkZSOXRjWEVteXM3QXNBb1A2WUtZUT09
64,2013,DOHA DREAM               ,NUp0OVJCUU5CVENhQUczcVJ4Y2JpZz09,PS   ,M,FR ,/fr/cheval/NUp0OVJCUU5CVENhQUczcVJ4Y2JpZz09
65,2009,BAYRIR                   ,bCtPVWJoQTlRMFNRSG8xd01DdGpuQT09,PS   ,M,FR ,/fr/cheval/bCtPVWJoQTlRMFNRSG8xd01DdGpuQT09
66,2005,TULLAMORE                ,aElqYUloS2ZkRzRIVFZXUmpBRTlRUT09,PS   ,M,USA,/fr/cheval/aElqYUloS2ZkRzRIVFZXUmpBRTlRUT09
67,2005,POUVOIR ABSOLU           ,SDl5SnR4Rmd6V3oyV0dFNVVTMkcxQT09,PS   ,M,GB ,/fr/cheval/SDl5SnR4Rmd6V3oyV0dFNVVTMkcxQT09
68,2015,FRENCH KING              ,bUZEU1hQSjJkbXFqNDBtcGhSSVFydz09,PS   ,M,GB ,/fr/cheval/bUZEU1hQSjJkbXFqNDBtcGhSSVFydz09
69,2009,YELLOW AND GREEN         ,YjIyaXo3a0RGVVNLMjZZVlFacjkyUT09,PS   ,F,GB ,/fr/cheval/YjIyaXo3a0RGVVNLMjZZVlFacjkyUT09
70,2008,GALIKOVA                 ,Vmo0cmJtL052cGU0aW4xUVVPNEV4dz09,PS   ,F,FR ,/fr/cheval/Vmo0cmJtL052cGU0aW4xUVVPNEV4dz09
71,2014,KISEKI                   ,RGpqVzFISThLazdkQm1zRVFKaDJuUT09,PS   ,M,JPN,/fr/cheval/RGpqVzFISThLazdkQm1zRVFKaDJuUT09
72,2007,CAPE BLANCO              ,OUJEVm4yNXZYaDdFZFEvY1JudlZiUT09,PS   ,M,IRE,/fr/cheval/OUJEVm4yNXZYaDdFZFEvY1JudlZiUT09
73,2011,MONTVIRON                ,NmlmTFY0WGZ6bTB0MGI1SkxLa2hwZz09,PS   ,M,FR ,/fr/cheval/NmlmTFY0WGZ6bTB0MGI1SkxLa2hwZz09
74,2008,TESTOSTERONE             ,M28yQnU3bHkvTy9DYUROOUxKL0hCQT09,PS   ,F,IRE,/fr/cheval/M28yQnU3bHkvTy9DYUROOUxKL0hCQT09
75,2012,HIGHLAND REEL            ,QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09,PS   ,M,IRE,/fr/cheval/QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09
76,2006,PLUMANIA                 ,R1pOYmw0WDNHVEN5Vk1ZcXpJMVozUT09,PS   ,F,GB ,/fr/cheval/R1pOYmw0WDNHVEN5Vk1ZcXpJMVozUT09
77,2013,WAY TO PARIS             ,RlZKZW5yTVkxQ2VLUG1OSTlMMytGZz09,PS   ,M,GB ,/fr/cheval/RlZKZW5yTVkxQ2VLUG1OSTlMMytGZz09
78,2015,PATASCOY                 ,MGhOQitWN0dBWE1aYWNXbXNQemNKZz09,PS   ,H,FR ,/fr/cheval/MGhOQitWN0dBWE1aYWNXbXNQemNKZz09
79,2005,TIMOS                    ,N3pWTlNoMTFVRXd3R3hiVHV4SjVEdz09,PS   ,M,GER,/fr/cheval/N3pWTlNoMTFVRXd3R3hiVHV4SjVEdz09
80,2015,LOUIS D'OR               ,WEtWMjBnZEtPSmV1SnAyOVg1dkpSUT09,PS   ,M,IRE,/fr/cheval/WEtWMjBnZEtPSmV1SnAyOVg1dkpSUT09
81,2007,SARAFINA                 ,aXFKbGxtY2wzeEU3Zno4SFFSTVhhZz09,PS   ,F,FR ,/fr/cheval/aXFKbGxtY2wzeEU3Zno4SFFSTVhhZz09
82,2016,SCHIAPARELLI             ,R2VpNXlyd0cyYzBzbWVhY0dLUk8zUT09,AR   ,F,FR ,/fr/cheval/R2VpNXlyd0cyYzBzbWVhY0dLUk8zUT09
83,2011,HARP STAR                ,aVIvN05EZW12VkNJa3ZyN1dXTU80QT09,PS   ,F,JPN,/fr/cheval/aVIvN05EZW12VkNJa3ZyN1dXTU80QT09
84,2014,NAGANO GOLD              ,bEZ1Zko4L2lMSG40aHRaa3owaVB4Zz09,PS   ,M,GB ,/fr/cheval/bEZ1Zko4L2lMSG40aHRaa3owaVB4Zz09
85,2015,MAGICAL                  ,SVBpN2FvMnJyN1hZYkJ2dUNVRWxDUT09,PS   ,F,IRE,/fr/cheval/SVBpN2FvMnJyN1hZYkJ2dUNVRWxDUT09
86,2005,THE BOGBERRY             ,SlFKWldCajFReWxLNG1wbnNYbldDZz09,PS   ,M,USA,/fr/cheval/SlFKWldCajFReWxLNG1wbnNYbldDZz09
87,2001,NELSON                   ,a2NQTXJ2NHZENk5sN0tSVGtUNFlCQT09,SFAA ,H,FR ,/fr/cheval/a2NQTXJ2NHZENk5sN0tSVGtUNFlCQT09
