,AnneeNaissance,NomCheval,NumSire,Race,Sexe,Suffixe,link
0,2006,STRADIVARIUS             ,bzZzYUpzSExQc2lUN0s4cWg1SnFhUT09,AQPS ,H,FR ,/fr/cheval/bzZzYUpzSExQc2lUN0s4cWg1SnFhUT09
1,2013,ULYSSES                  ,cTd4UlF5R2FGTnRpR0tlNjRWY3RDdz09,PS   ,M,IRE,/fr/cheval/cTd4UlF5R2FGTnRpR0tlNjRWY3RDdz09
2,2011,MONTVIRON                ,NmlmTFY0WGZ6bTB0MGI1SkxLa2hwZz09,PS   ,M,FR ,/fr/cheval/NmlmTFY0WGZ6bTB0MGI1SkxLa2hwZz09
3,2013,DOHA DREAM               ,NUp0OVJCUU5CVENhQUczcVJ4Y2JpZz09,PS   ,M,FR ,/fr/cheval/NUp0OVJCUU5CVENhQUczcVJ4Y2JpZz09
4,2012,SILVERWAVE               ,eElISExrSmJ5bTJud3BsV0hIa09xdz09,PS   ,M,FR ,/fr/cheval/eElISExrSmJ5bTJud3BsV0hIa09xdz09
5,2010,IVANHOWE                 ,ZGpkOS83OFFpWmJZWm1VOUdRQzk3dz09,PS   ,M,GER,/fr/cheval/ZGpkOS83OFFpWmJZWm1VOUdRQzk3dz09
6,2010,INTELLO                  ,Rm8xbnU4bFU3SkNHTmUvajc2c0xYUT09,PS   ,M,GER,/fr/cheval/Rm8xbnU4bFU3SkNHTmUvajc2c0xYUT09
7,2003,PAPAL BULL               ,OHRGVnJJcVBuaExzMGxtQld4ckRJQT09,PS   ,M,GB ,/fr/cheval/OHRGVnJJcVBuaExzMGxtQld4ckRJQT09
8,2008,TESTOSTERONE             ,M28yQnU3bHkvTy9DYUROOUxKL0hCQT09,PS   ,F,IRE,/fr/cheval/M28yQnU3bHkvTy9DYUROOUxKL0hCQT09
9,2016,SOFT LIGHT               ,dlFLNFhzN2c3WStrNWd3a090Zy9pQT09,PS   ,M,FR ,/fr/cheval/dlFLNFhzN2c3WStrNWd3a090Zy9pQT09
10,2007,BEHKABAD                 ,MUFIbDcwdEM1TWVuQXBnckRKL3EvZz09,PS   ,M,FR ,/fr/cheval/MUFIbDcwdEM1TWVuQXBnckRKL3EvZz09
11,2013,IDAHO                    ,TVhMSVg4TlJHU2EwZFVuVHFsRVVXUT09,PS   ,M,IRE,/fr/cheval/TVhMSVg4TlJHU2EwZFVuVHFsRVVXUT09
12,2009,VERY NICE NAME           ,RWZHOFk2dm1RMytaUCtzTU4xZ0Q3QT09,PS   ,M,FR ,/fr/cheval/RWZHOFk2dm1RMytaUCtzTU4xZ0Q3QT09
13,2004,SOLDIER OF FORTUNE       ,TlVwdUJtc1N6SEFGZk1aTThYYVRGdz09,PS   ,M,IRE,/fr/cheval/TlVwdUJtc1N6SEFGZk1aTThYYVRGdz09
14,2008,PIRIKA                   ,ak04VG9jcmlLQ3gxQ2l5ZExmMGdBUT09,PS   ,F,IRE,/fr/cheval/ak04VG9jcmlLQ3gxQ2l5ZExmMGdBUT09
15,2012,CAPRI                    ,Z3M2ZFhJZVBwRDBGOTd5a3lVZVJ6QT09,AQPS ,F,FR ,/fr/cheval/Z3M2ZFhJZVBwRDBGOTd5a3lVZVJ6QT09
16,2003,GETAWAY                  ,OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09,PS   ,M,GER,/fr/cheval/OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09
17,1985,FAME AND GLORY           ,OXdkSFpUemRadW1FUU82ZVRQM01SQT09,PS   ,M,GB ,/fr/cheval/OXdkSFpUemRadW1FUU82ZVRQM01SQT09
18,2001,NELSON                   ,a2NQTXJ2NHZENk5sN0tSVGtUNFlCQT09,SFAA ,H,FR ,/fr/cheval/a2NQTXJ2NHZENk5sN0tSVGtUNFlCQT09
19,2012,NEW BAY                  ,bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09,PS   ,M,GB ,/fr/cheval/bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09
20,2012,FOUND                    ,RjBiUHlWMCs1OFJJb3NOd09HdytWdz09,PS   ,F,IRE,/fr/cheval/RjBiUHlWMCs1OFJJb3NOd09HdytWdz09
21,2007,JOSHUA TREE              ,WWxFUyt2Qmc4djI4VE9PM3FlRTAxQT09,PS   ,M,IRE,/fr/cheval/WWxFUyt2Qmc4djI4VE9PM3FlRTAxQT09
22,2011,TAGHROODA                ,T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09,PS   ,F,GB ,/fr/cheval/T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09
23,2017,CHACHNAK                 ,aE9ndDRLT1ZtMjZFQkJQb0x6MDZGUT09,PS   ,M,FR ,/fr/cheval/aE9ndDRLT1ZtMjZFQkJQb0x6MDZGUT09
24,2010,FRINE                    ,U3ErcmtqUjhsRDdPS0FheXdpNlBVQT09,PS   ,F,IRE,/fr/cheval/U3ErcmtqUjhsRDdPS0FheXdpNlBVQT09
25,2010,RULER OF THE WORLD       ,T284Ny8xbGpaUUxSQXhJUDcrNTl4dz09,PS   ,M,IRE,/fr/cheval/T284Ny8xbGpaUUxSQXhJUDcrNTl4dz09
26,2011,THE GREY GATSBY          ,eGEzek1uazFKVHQvbHIvWTJPMzlRUT09,PS   ,M,IRE,/fr/cheval/eGEzek1uazFKVHQvbHIvWTJPMzlRUT09
27,2011,POSTPONED                ,N3labVdLZXlaZHA2YVhtb2RrUmFidz09,PS   ,M,IRE,/fr/cheval/N3labVdLZXlaZHA2YVhtb2RrUmFidz09
28,2014,WALDGEIST                ,RG1DS2Y3R0tTdWJjNmk1ZWpuelpmQT09,PS   ,M,GB ,/fr/cheval/RG1DS2Y3R0tTdWJjNmk1ZWpuelpmQT09
29,2008,SEA MOON                 ,UjRyVVZ3Zi9RSk54WEs0M21IRVB2Zz09,PS   ,M,GB ,/fr/cheval/UjRyVVZ3Zi9RSk54WEs0M21IRVB2Zz09
30,2003,MEISHO SAMSON            ,czMzdVMvOTdNaTU4V1cvaHFUeU5kZz09,PS   ,M,JPN,/fr/cheval/czMzdVMvOTdNaTU4V1cvaHFUeU5kZz09
31,2013,TALISMANIC               ,Z2I5elZrWUt2dW1KQ0lvb2lvVFhTdz09,PS   ,M,GB ,/fr/cheval/Z2I5elZrWUt2dW1KQ0lvb2lvVFhTdz09
32,2007,LOPE DE VEGA             ,eTRZem96TFdpWjd0SXNHWU92R1h5Zz09,PS   ,M,IRE,/fr/cheval/eTRZem96TFdpWjd0SXNHWU92R1h5Zz09
33,2007,VICTOIRE PISA            ,MnRZSnpld2dENHZCQlpydS9RZkRZZz09,PS   ,M,JPN,/fr/cheval/MnRZSnpld2dENHZCQlpydS9RZkRZZz09
34,2014,NAGANO GOLD              ,bEZ1Zko4L2lMSG40aHRaa3owaVB4Zz09,PS   ,M,GB ,/fr/cheval/bEZ1Zko4L2lMSG40aHRaa3owaVB4Zz09
35,2009,ERNEST HEMINGWAY         ,d2krK3hvYUhLdlRLZjZMTzRZK2FnUT09,PS   ,M,IRE,/fr/cheval/d2krK3hvYUhLdlRLZjZMTzRZK2FnUT09
36,2005,LIANG KAY                ,dVd3OUVvWCtrdnFxcVVyMWRWNHNmdz09,PS   ,M,GER,/fr/cheval/dVd3OUVvWCtrdnFxcVVyMWRWNHNmdz09
37,2014,BRAMETOT                 ,M0FkVEhqWWFwdkMrTWw3VGtTa3VuUT09,PS   ,M,IRE,/fr/cheval/M0FkVEhqWWFwdkMrTWw3VGtTa3VuUT09
38,2013,MAKAHIKI                 ,eGFJU09vRmZhSTNoWmhCam95UkNWUT09,PS   ,M,JPN,/fr/cheval/eGFJU09vRmZhSTNoWmhCam95UkNWUT09
39,2003,LA BOUM                  ,THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09,PS   ,F,GER,/fr/cheval/THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09
40,2015,NEUFBOSC                 ,ZkZSOXRjWEVteXM3QXNBb1A2WUtZUT09,PS   ,M,FR ,/fr/cheval/ZkZSOXRjWEVteXM3QXNBb1A2WUtZUT09
41,2017,IN SWOOP                 ,OEtVY3N1ZmxHVTNwUTlQVWdDdXZDZz09,PS   ,M,IRE,/fr/cheval/OEtVY3N1ZmxHVTNwUTlQVWdDdXZDZz09
42,2008,DANEDREAM                ,Vmx6VGluUndKMzd2TDZZTnJpWHIwQT09,PS   ,F,GER,/fr/cheval/Vmx6VGluUndKMzd2TDZZTnJpWHIwQT09
