,id,nom,sexe,naissance,race,pays,id_francegalop
0,1,JUST A WAY               ,M,2009,PS   ,JPN,RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09
1,2,TAGHROODA                ,F,2011,PS   ,GB ,T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09
2,3,STACELITA                ,F,2006,PS   ,FR ,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09
3,4,BLAST ONEPIECE           ,M,2015,PS   ,JPN,bytINmx4MVZBT3Z1cGlVTTEzYUlTQT09
4,5,ORDER OF ST GEORGE       ,M,2012,PS   ,IRE,SXFsNEYvUmtRVERCV2RSeE93Skl6UT09
5,6,ZARKAVA                  ,F,2005,PS   ,IRE,YWNmUDA5eEQ3dFgyNElBa3B0MlRJQT09
6,7,STRADIVARIUS             ,H,2006,AQPS ,FR ,bzZzYUpzSExQc2lUN0s4cWg1SnFhUT09
7,8,JOSHUA TREE              ,M,2007,PS   ,IRE,WWxFUyt2Qmc4djI4VE9PM3FlRTAxQT09
8,9,SATONO NOBLESSE          ,M,2010,PS   ,JPN,cnphcHp4eGdSNHFJOVBFYk05MmZBZz09
9,10,GOLD TRIP                ,M,2017,PS   ,FR ,MHlnYUcrbnUvU0trTU1Gd1krQjhFQT09
10,11,POSTPONED                ,M,2011,PS   ,IRE,N3labVdLZXlaZHA2YVhtb2RrUmFidz09
11,12,PAPAL BULL               ,M,2003,PS   ,GB ,OHRGVnJJcVBuaExzMGxtQld4ckRJQT09
12,13,GRAND DUCAL              ,M,2006,PS   ,IRE,UTBLamNvYSs0QnZrWHJESXc2WDVkZz09
13,14,WALDGEIST                ,M,2014,PS   ,GB ,RG1DS2Y3R0tTdWJjNmk1ZWpuelpmQT09
14,15,LIANG KAY                ,M,2005,PS   ,GER,dVd3OUVvWCtrdnFxcVVyMWRWNHNmdz09
15,16,IN SWOOP                 ,M,2017,PS   ,IRE,OEtVY3N1ZmxHVTNwUTlQVWdDdXZDZz09
16,17,SEVENTH HEAVEN           ,F,2001,AR   ,FR ,YldBVGFrelh6VkpqRWtnOTVUYWR4UT09
17,18,VERY NICE NAME           ,M,2009,PS   ,FR ,RWZHOFk2dm1RMytaUCtzTU4xZ0Q3QT09
18,19,ECTOT                    ,M,2011,PS   ,GB ,Mlp1ejhKMHZENFhrUHlqanc5V3NFZz09
19,20,DEFOE                    ,H,2014,PS   ,IRE,dytmNjY1aXBDZzhnc1R2U2VlTk42dz09
20,21,ONE FOOT IN HEAVEN       ,H,2012,PS   ,IRE,RWR5RWt3QWVRWFdnRitibDhxbGh0UT09
21,22,IVANHOWE                 ,M,2010,PS   ,GER,ZGpkOS83OFFpWmJZWm1VOUdRQzk3dz09
22,23,CHICQUITA                ,F,2010,PS   ,IRE,eTNtTHY4SXAxczc5ajZOTVp0OWxMZz09
23,24,CHACHNAK                 ,M,2017,PS   ,FR ,aE9ndDRLT1ZtMjZFQkJQb0x6MDZGUT09
24,25,HIRUNO D'AMOUR           ,M,2007,PS   ,JPN,R1hVbXF5bW9rT2ZlK3YxSGU1NmlnZz09
25,26,GHAIYYATH                ,M,2015,PS   ,IRE,OEVXa3VKb1gwRzVtenBOdkFVdjJBZz09
26,27,MEANDRE                  ,M,2008,PS   ,FR ,YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09
27,28,FREE EAGLE               ,M,2011,PS   ,IRE,SGJDenBYdWpaWXFERUJ6eWRBU1lNUT09
28,29,HAYA LANDA               ,F,2008,PS   ,FR ,alJjOVppdmZJZ2RTaGZFMmVqZVZlUT09
29,30,PRINCE GIBRALTAR         ,M,2011,PS   ,FR ,T0FSOXFzQ0VpbVNickZvcm15c0FvQT09
30,31,MAKAHIKI                 ,M,2013,PS   ,JPN,eGFJU09vRmZhSTNoWmhCam95UkNWUT09
31,32,CLINCHER                 ,M,2014,PS   ,JPN,RWQ1TlhMdGFJMUhUS0dhQksxc3M1QT09
32,33,SILVERWAVE               ,M,2012,PS   ,FR ,eElISExrSmJ5bTJud3BsV0hIa09xdz09
33,34,DANEDREAM                ,F,2008,PS   ,GER,Vmx6VGluUndKMzd2TDZZTnJpWHIwQT09
34,35,ROYAL JULIUS             ,M,2013,PS   ,IRE,czliWEdqRDNROWtwMmtHMThuN3JEdz09
35,36,TAPESTRY                 ,F,2011,PS   ,IRE,a3ZsWE50QllNQ2p2M1hxM2pUQ2d2QT09
36,37,SOLEMIA                  ,F,2008,PS   ,IRE,c3NrdkxkRTJ2bnpBU1Jkckt1M2VkQT09
37,38,BEHKABAD                 ,M,2007,PS   ,FR ,MUFIbDcwdEM1TWVuQXBnckRKL3EvZz09
38,39,PERSIAN KING             ,M,2016,PS   ,IRE,eHZpS0hMSTB6OHFVZTlQMmZUTWY4dz09
39,40,DEIRDRE                  ,F,2014,PS   ,JPN,VEo0Z2ttM2xvSGhIdFV6aUVOUjBIUT09
40,41,MAGADAN                  ,M,2005,PS   ,IRE,OUdvYWhXcTdneHpmSGVNc3ZaMERxZz09
41,42,STUDY OF MAN             ,M,2015,PS   ,IRE,Q3Y2c2JyZ0IwdVhVYnhMRnk1UHVFZz09
42,43,CAPRI                    ,F,2012,AQPS ,FR ,Z3M2ZFhJZVBwRDBGOTd5a3lVZVJ6QT09
43,44,TIBERIAN                 ,M,2012,PS   ,FR ,Mm9SblZqMzJiYkUyK3EwNkdVTkJ1QT09
44,45,SOLDIER OF FORTUNE       ,M,2004,PS   ,IRE,TlVwdUJtc1N6SEFGZk1aTThYYVRGdz09
45,46,LEADING LIGHT            ,M,2010,PS   ,IRE,SW1mT05IeUpoYkVjSGl3M3BWbW9Tdz09
46,47,MIGWAR                   ,M,2014,AR   ,FR ,anptcjdXV2c4dE9DbE1QSGtmQ3Z2Zz09
47,48,FLINTSHIRE               ,M,2010,PS   ,GB ,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09
48,49,RULER OF THE WORLD       ,M,2010,PS   ,IRE,T284Ny8xbGpaUUxSQXhJUDcrNTl4dz09
49,50,HUNTING HORN             ,M,2015,PS   ,IRE,d3cyTC9aMW9MbnFkUk9JVUpYVzhyQT09
50,51,IDAHO                    ,M,2013,PS   ,IRE,TVhMSVg4TlJHU2EwZFVuVHFsRVVXUT09
51,52,VICTOIRE PISA            ,M,2007,PS   ,JPN,MnRZSnpld2dENHZCQlpydS9RZkRZZz09
52,53,KINGSTON HILL            ,M,2011,PS   ,GB ,MmZuaHFKMHNuc0RzbHJpN1Z3QUhEZz09
53,54,PENGLAI PAVILION         ,H,2010,PS   ,USA,c0hTZWZ6bWIyRHhkMEhsK3NYOTdZdz09
54,55,DAR RE MI                ,F,2005,PS   ,GB ,ekZpcjZmZk0wQ3dudmlQTGpnc2M1dz09
55,56,SNOW FAIRY               ,F,2007,PS   ,IRE,aEI5WHVyaVVDWGtHZExZWjlOUnBZZz09
56,57,IT'S GINO                ,M,2003,PS   ,GER,MjlMSlBkbnpHN0NCNXZ3aklVbG5jQT09
57,58,SOFT LIGHT               ,M,2016,PS   ,FR ,dlFLNFhzN2c3WStrNWd3a090Zy9pQT09
58,59,MASTERSTROKE             ,M,2009,PS   ,USA,eXB6YklZaWpoeitGVlN5Tko5MWdyQT09
59,60,GETAWAY                  ,M,2003,PS   ,GER,OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09
60,61,KEW GARDENS              ,M,2015,PS   ,IRE,OTE4NWgvczJmSkVIR0ROUnNpa09EZz09
61,62,ASK                      ,M,2003,PS   ,GB ,TUlnUHpYTm15RUo2Q2NVSjFqU0pDUT09
62,63,INTELLO                  ,M,2010,PS   ,GER,Rm8xbnU4bFU3SkNHTmUvajc2c0xYUT09
63,64,NEUFBOSC                 ,M,2015,PS   ,FR ,ZkZSOXRjWEVteXM3QXNBb1A2WUtZUT09
64,65,DOHA DREAM               ,M,2013,PS   ,FR ,NUp0OVJCUU5CVENhQUczcVJ4Y2JpZz09
65,66,BAYRIR                   ,M,2009,PS   ,FR ,bCtPVWJoQTlRMFNRSG8xd01DdGpuQT09
66,67,TULLAMORE                ,M,2005,PS   ,USA,aElqYUloS2ZkRzRIVFZXUmpBRTlRUT09
67,68,POUVOIR ABSOLU           ,M,2005,PS   ,GB ,SDl5SnR4Rmd6V3oyV0dFNVVTMkcxQT09
68,69,FRENCH KING              ,M,2015,PS   ,GB ,bUZEU1hQSjJkbXFqNDBtcGhSSVFydz09
69,70,YELLOW AND GREEN         ,F,2009,PS   ,GB ,YjIyaXo3a0RGVVNLMjZZVlFacjkyUT09
70,71,GALIKOVA                 ,F,2008,PS   ,FR ,Vmo0cmJtL052cGU0aW4xUVVPNEV4dz09
71,72,KISEKI                   ,M,2014,PS   ,JPN,RGpqVzFISThLazdkQm1zRVFKaDJuUT09
72,73,CAPE BLANCO              ,M,2007,PS   ,IRE,OUJEVm4yNXZYaDdFZFEvY1JudlZiUT09
73,74,MONTVIRON                ,M,2011,PS   ,FR ,NmlmTFY0WGZ6bTB0MGI1SkxLa2hwZz09
74,75,TESTOSTERONE             ,F,2008,PS   ,IRE,M28yQnU3bHkvTy9DYUROOUxKL0hCQT09
75,76,HIGHLAND REEL            ,M,2012,PS   ,IRE,QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09
76,77,PLUMANIA                 ,F,2006,PS   ,GB ,R1pOYmw0WDNHVEN5Vk1ZcXpJMVozUT09
77,78,WAY TO PARIS             ,M,2013,PS   ,GB ,RlZKZW5yTVkxQ2VLUG1OSTlMMytGZz09
78,79,PATASCOY                 ,H,2015,PS   ,FR ,MGhOQitWN0dBWE1aYWNXbXNQemNKZz09
79,80,TIMOS                    ,M,2005,PS   ,GER,N3pWTlNoMTFVRXd3R3hiVHV4SjVEdz09
80,81,LOUIS D'OR               ,M,2015,PS   ,IRE,WEtWMjBnZEtPSmV1SnAyOVg1dkpSUT09
81,82,SARAFINA                 ,F,2007,PS   ,FR ,aXFKbGxtY2wzeEU3Zno4SFFSTVhhZz09
82,83,SCHIAPARELLI             ,F,2016,AR   ,FR ,R2VpNXlyd0cyYzBzbWVhY0dLUk8zUT09
83,84,HARP STAR                ,F,2011,PS   ,JPN,aVIvN05EZW12VkNJa3ZyN1dXTU80QT09
84,85,NAGANO GOLD              ,M,2014,PS   ,GB ,bEZ1Zko4L2lMSG40aHRaa3owaVB4Zz09
85,86,MAGICAL                  ,F,2015,PS   ,IRE,SVBpN2FvMnJyN1hZYkJ2dUNVRWxDUT09
86,87,THE BOGBERRY             ,M,2005,PS   ,USA,SlFKWldCajFReWxLNG1wbnNYbldDZz09
87,88,NELSON                   ,H,2001,SFAA ,FR ,a2NQTXJ2NHZENk5sN0tSVGtUNFlCQT09
88,89,SET SAIL                 ,M,2006,PS   ,IRE,MlN2ZHRiU1VFcFllandZYmh1SFF1dz09
89,90,SAHAWAR                  ,M,2010,PS   ,FR ,a1hqWDF1YXFCdVFhNm45MjNSMzB5QT09
90,91,GREAT HEAVENS            ,F,2009,PS   ,GB ,TFZLdHZSZEpvVkVNSzlxeWM5dm4vZz09
91,92,DUKE OF MARMALADE        ,M,2004,PS   ,IRE,NUd5ZTFPNUQwNmp4OGlsY0hwOVliQT09
92,93,DSCHINGIS SECRET         ,M,2013,PS   ,GER,K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09
93,94,AVENIR CERTAIN           ,F,2011,PS   ,FR ,REdDazBNSHVPeDUxRzdXNElncFVBQT09
