id,nom,arc_participation,arc_best_place,arc_worst_place,arc_avg_place
cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09,ENABLE,4,1.0,6.0,2.5
Ymhld1Y4K1B0Ni81bEU2akFBK0MyZz09,PRIDE,4,1.0,7.0,3.3333333333333335
NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09,YOUMZAIN,4,2.0,10.0,4.0
aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09,SILJAN'S SAGA,4,1.0,12.0,6.25
eElISExrSmJ5bTJud3BsV0hIa09xdz09,SILVERWAVE,4,9.0,18.0,12.5
d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09,TREVE,3,1.0,4.0,2.0
dThvdkVybk85bHlNd0FTd3J0eWROUT09,HONORIFIQUE,3,2.0,3.0,2.5
bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09,NEW BAY,3,1.0,7.0,3.6666666666666665
WXNMTFRrS3h2Z3paQWNEb1RMTUh6Zz09,MILLKOM,3,1.0,9.0,3.6666666666666665
aXFKbGxtY2wzeEU3Zno4SFFSTVhhZz09,SARAFINA,3,1.0,7.0,3.6666666666666665
d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,FLINTSHIRE,3,2.0,8.0,4.0
QzNZVWIrMnp1SmI5ZTFkMGd3NmlOdz09,SILVER POND,3,1.0,8.0,4.0
bTF0a1pWZWQ3N29CUVFXMTVEM3NBQT09,EGYPTBAND,3,2.0,8.0,4.333333333333333
ZWhsREtNSWVCN0FBVUlKcmhUR2szQT09,SWAIN,3,3.0,7.0,4.666666666666667
RWNDQk00cG02VnVyMzVRaHFmS3RtZz09,FAIR MIX,3,2.0,8.0,5.0
VHBBQW5GSkhiWkNXaER1cEFYd1Jadz09,POLICY MAKER,3,1.0,10.0,5.5
OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09,GETAWAY,3,4.0,8.0,6.0
YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09,MEANDRE,3,6.0,10.0,8.0
WERKQUcxZHlmWnphSys3SjB4bXJSZz09,SPIRITJIM,3,1.0,16.0,9.666666666666666
Zk85ZCtxNkpUaUhtSm0xOVVwSTZBQT09,SAMANDO,2,1.0,1.0,1.0
bEhsakV6TzBxb1cxU3RkZ01mT2pxZz09,SUNRISE SONG,2,1.0,1.0,1.0
RXVXVUZDNTBmcW80a1lCNFBpa3Qwdz09,WORKFORCE,2,1.0,1.0,1.0
M28yQnU3bHkvTy9DYUROOUxKL0hCQT09,TESTOSTERONE,2,1.0,1.0,1.0
YWNmUDA5eEQ3dFgyNElBa3B0MlRJQT09,ZARKAVA,2,1.0,1.0,1.0
QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09,HIGHLAND REEL,2,2.0,2.0,2.0
NXhNQ3U3NHhTQ1k4ZU9tSTc5Qmprdz09,HURRICANE RUN,2,1.0,3.0,2.0
NzJIVnlBNlFhRzlic3JDWmFTZ1M5dz09,BAGO,2,1.0,3.0,2.0
QmV0ckRkNXI0Q0JseWNnMDhsQVNxdz09,CHERRY MIX,2,2.0,2.0,2.0
T1FSUTdXMWFzaEhxc2lINnVXTFFHZz09,PILSUDSKI,2,2.0,2.0,2.0
V0swazNFZzMvaCtad3ZUNTdiNmRVUT09,ORFEVRE,2,2.0,2.0,2.0
SklKaW9ZV0k2dnlobHR2Wlk0Q1Uydz09,HERNANDO,2,2.0,2.0,2.0
VmpxdVlzR1R1VGNtdUxJOGVxL0VGZz09,SOTTSASS,2,1.0,3.0,2.0
eHZpS0hMSTB6OHFVZTlQMmZUTWY4dz09,PERSIAN KING,2,1.0,3.0,2.0
ZzZtNWwyQzk1TytwNHJlUGxLUzNDZz09,FOUNDATION SPIRIT,2,2.0,2.0,2.0
NGI3dlJia3phMkVScElneitxdUJrdz09,TOT OU TARD,2,2.0,2.0,2.0
L0tOWlRjUkdkbWttb3FXeXhpVktzZz09,NAKAYAMA FESTA,2,2.0,2.0,2.0
SzlTc1FMTk5YODJpTUtITG4rdUY2QT09,DREAM WELL,2,2.0,2.0,2.0
c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09,CLOTH OF STARS,2,2.0,3.0,2.5
RG1DS2Y3R0tTdWJjNmk1ZWpuelpmQT09,WALDGEIST,2,1.0,4.0,2.5
alRCUjJscmNsR0xuQUFjV2d1cVpOZz09,MONTJEU,2,1.0,4.0,2.5
VHdMRTIwSU5ob1NRRkgzK2dSUHJ0dz09,CELTIC ARMS,2,3.0,3.0,3.0
